,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,galaxy,a89810195359cde15731e1198e9a13ad42b2a47a,create user profile page (fixes #6),Chris Van,2013-12-20T19:12:06Z,cvan,cvan,84,65,19
1,galaxy,9363e764549366b9e622597d19e32c8dabcb6fbf,add barebones user profile view,Chris Van,2013-12-20T06:58:56Z,cvan,cvan,10,10,0
2,galaxy,8ad8eebdde865bcbdae8bf550c612b79fff0bf11,do not stylise :valid/:invalid on [novalidate] elements,Chris Van,2013-12-20T08:58:34Z,cvan,cvan,76,43,33
3,galaxy,05ccad0e2ee090f9ca819d70e60d0d7602754d43,form help text lighten,Chris Van,2013-12-20T08:49:10Z,cvan,cvan,7,4,3
4,galaxy,1dcdc00b4119edf5c28187bad91d98109f022aa8,tweak labels for optional/empty values,Chris Van,2013-12-20T06:48:51Z,cvan,cvan,36,25,11
5,galaxy,bc69e929f4c2c934051cbca4c09844c8a98c86d5,add basic front end for friends list,Chris Van,2013-12-20T03:22:54Z,cvan,cvan,382,251,131
6,galaxy,4ce67d8c726f5df0b0d65cb9529e27ad5872d33a,tweak footer,Chris Van,2013-12-20T03:19:31Z,cvan,cvan,3,1,2
7,galaxy,57c8240afea63c45ad4bd6cf4d4f03c3875046a9,better handle name/slug toggling,Chris Van,2013-12-20T06:26:05Z,cvan,cvan,8,3,5
8,galaxy,e9aa09cdd6af3770948ebdb2a5464e5d3a49f438,add perfect to slugifying and success/error form validation,Chris Van,2013-12-20T06:18:03Z,cvan,cvan,31,19,12
9,galaxy,537f83d59dea528a1deb70ebc9b03cfed3d50068,be even more clever with the form field focussing/blurring validation,Chris Van,2013-12-20T05:30:11Z,cvan,cvan,49,33,16
10,galaxy,b23672a7ec32b209bffb5f7c670e4ddd79afe51c,add TODO for storing submission in localStorage before authentication,Chris Van,2013-12-20T03:47:15Z,cvan,cvan,1,1,0
11,galaxy,48e71f2d8da7996cc8dfa981a82ab74da2410ee7,mark slug as valid when name is valid,Chris Van,2013-12-20T03:46:18Z,cvan,cvan,3,2,1
12,galaxy,5764367f6b76d092b2042caff8f8382048f2b992,tweak phrasing on submission page for privacy policy,Chris Van,2013-12-20T03:39:10Z,cvan,cvan,2,1,1
13,galaxy,d2475225a329c7a033864bf90e623728baccbcf7,disable dropzone,Chris Van,2013-12-20T02:45:04Z,cvan,cvan,606,600,6
14,galaxy,9b1d133ad5741232f989ff12ec74523ab9b0e34d,tweak fallback file inputs,Chris Van,2013-12-20T02:03:26Z,cvan,cvan,53,37,16
15,galaxy,9f575549312cd3ed942764341506920d989df55a,add drag-and-drop file uploads,Chris Van,2013-12-20T01:52:38Z,cvan,cvan,1730,1729,1
16,galaxy,c502da670e21258339ea6b2e6880cba99fc661e7,style submit page,Chris Van,2013-12-19T22:57:57Z,cvan,cvan,1492,1133,359
17,galaxy,dfc9d8fdac7ef81c868dee2357dc4ca88416bd6c,remove unused lib/gravatar and lib/md5,Chris Van,2013-12-20T01:53:05Z,cvan,cvan,302,1,301
18,galaxy,b723d4280072c83ff26caa063be392eec9aeb6d3,show gravatar/username only if authenticated,Chris Van,2013-12-19T05:19:57Z,cvan,cvan,8,5,3
19,galaxy,39e3b158a2d97c17af11be7ddf27cd38da2bcf0f,add /user/login API route,Chris Van,2013-12-19T05:19:12Z,cvan,cvan,2,1,1
20,galaxy,865558f1f8ed22aeb009a364fd0f4743d530be09,use stylus parent selector,Chris Van,2013-12-19T00:15:11Z,cvan,cvan,17,9,8
21,galaxy,0f372641a8e4b0f927385a5f9b6ae1cd6fe41421,add padding for footer,Chris Van,2013-12-18T23:45:17Z,cvan,cvan,13,7,6
22,galaxy,2113e131b8b906fd662efed45bc07ae647519074,localise strings in footer,Chris Van,2013-12-18T10:36:10Z,cvan,cvan,8,4,4
23,galaxy,14eded55e2683e2f8ec352b925ba1692209416cb,add Activity Board,Chris Van,2013-12-18T08:54:49Z,cvan,cvan,475,269,206
24,galaxy,b32bc5d67d59b6151c0605b00189e2e6b2839b20,redesign,Chris Van,2013-12-18T03:13:13Z,cvan,cvan,648,497,151
25,galaxy,8306b34950222b50a21f6fce07e0f319578a5e33,upgrade commonplace,Chris Van,2013-12-17T23:45:41Z,cvan,cvan,654,439,215
26,galaxy,942432352b49844a6560a1a52335e4d07c058a14,add barebones submission form,Chris Van,2013-11-23T23:21:32Z,cvan,cvan,251,0,251
27,galaxy,4c5ea1e9a904a2f2d40a3beb30f4626959fa52ad,add barebones submission form,Chris Van,2013-11-23T23:21:32Z,cvan,cvan,86,78,8
28,galaxy,370223e59467c47a0dea9aed8a9017fba28a2243,add appcache_path during submission,Chris Van,2013-11-23T23:14:26Z,cvan,cvan,1,1,0
29,galaxy,53618df894ff03bc2be1b68a38a4d025fac3b9fe,upgrade commonplace,Chris Van,2013-11-23T23:14:13Z,cvan,cvan,2103,1463,640
30,galaxy,d9e191fc98109ca77ba30360c53fcae4405a0e45,remove games carousel from submit,Chris Van,2013-10-23T19:27:58Z,cvan,cvan,45,0,45
31,galaxy,4d7a33d126c8703cb58ccac02f23a0899f0fc854,make menu work,Chris Van,2013-10-23T08:27:22Z,cvan,cvan,12,6,6
32,galaxy,03e314bf48d152833f1ad17986391b7e5234a8ad,use rethinkdb,Chris Van,2013-10-21T23:51:20Z,cvan,cvan,1,1,0
33,galaxy,c559463aa1d0ef6b67ec9e6c36e8c5b60a8fab14,use restify for APi,Chris Van,2013-10-21T16:47:04Z,cvan,cvan,682,163,519
34,galaxy,e629f1177bfee201d9dc30c5d1ae5393cec458d5,add margin to right of search,Chris Van,2013-10-11T18:33:57Z,cvan,cvan,1,1,0
35,galaxy,76936a708df15f91be4575832b4bfa7be88b1e4b,add stripe and demo installer,Chris Van,2013-10-11T08:39:48Z,cvan,cvan,125,121,4
36,galaxy,be76b61c46990387ec38114c6aedbce6319a98d5,Add front-end,Matt Basta,2013-10-11T00:13:49Z,mattbasta,mattbasta,13713,13713,0
37,galaxy,5dcf9581661a988d445088505acb89966c6eb4d6,polish installer,Chris Van,2013-10-10T23:42:02Z,cvan,cvan,465,457,8
38,galaxy,9a1232b55756a44dd2669cf14f2b2113eb4d67af,add installer and launcher,Chris Van,2013-10-10T22:39:57Z,cvan,cvan,126,124,2
39,galaxy,18ee620273d0e4e48071faca58e92837c5cb01a1,add node app and placeholder API endpoints,Chris Van,2013-10-09T21:09:11Z,cvan,cvan,113,113,0
40,galaxy,bfd9cbc49054f80fb98fd7504270564094c25f7f,add gitignore,Chris Van,2013-10-09T10:18:33Z,cvan,cvan,41,41,0
41,galaxy,2edd18a46bce34876bb12e549300a4f89dfc1ffb,THIS IS GALAXY,Christopher Van,2013-10-09T10:17:48Z,cvan,cvan,2,2,0
42,galaxy,30ff6d38b8226388bda3ce923f577673b7ff07bb,merged,Birkan Uzun,2014-02-09T19:34:17Z,birkanu,birkanu,0,0,0
43,galaxy,15b2898217fec230ce55c7f9bf91b2aa84f0e912,Merged,Birkan Uzun,2014-02-09T19:32:27Z,birkanu,birkanu,176,1,175
44,galaxy,1d6ae4bd5c6b68098f5a84be432761e71f5ee9d7,Implement the difference between editing and submitting a game,Birkan Uzun,2014-02-09T19:11:34Z,birkanu,birkanu,25,21,4
45,galaxy,c4ca44e9008b3cca9fad136957d90e49272041a1,Modified textarea placeholder text for game form page,Tay Yang Shun,2014-02-09T18:58:13Z,yangshun,yangshun,2,1,1
46,galaxy,1451a27eabdee376d202345f4b696cbee2ca0ecf,Removed redundant HTML in submit.html,Tay Yang Shun,2014-02-09T18:06:39Z,yangshun,yangshun,174,0,174
