,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,games.mozilla.org,dcb1fe2905e769484335699bdf7c0529cfd0ba1b,"GO AWAY, ROBOTS",Christopher Van,2015-01-30T21:41:57Z,cvan,cvan,1,1,0
1,games.mozilla.org,01be527e40970c6ea0f05667592b40f6ecf24a00,hide bullets on partner list,Christopher Van,2015-01-29T23:07:42Z,cvan,cvan,4,4,0
2,games.mozilla.org,9e7fcda019c4304e6c4b14538c96af08b2953c18,add wrap to bottom sections,Christopher Van,2015-01-29T23:05:02Z,cvan,cvan,58,32,26
3,games.mozilla.org,f06a1d5a610bddbe2abc9d5004d19b6a50157775,stylise demos section,Christopher Van,2015-01-29T23:04:25Z,cvan,cvan,188,136,52
4,games.mozilla.org,c6fb132b3ab2cf47276eb2d5ad7d726a8a377cfd,stylise partners section,Christopher Van,2015-01-29T22:48:44Z,cvan,cvan,82,70,12
5,games.mozilla.org,ce34fc01a1437121136b9563df26976f3afeea45,stylise social media + countdown sections,Christopher Van,2015-01-29T22:41:45Z,cvan,cvan,54,40,14
6,games.mozilla.org,50d9ee38dc3b5b54c8c2f5d59cf1608d99d96ea5,stylise event info (date & time / location),Christopher Van,2015-01-29T22:35:24Z,cvan,cvan,147,119,28
7,games.mozilla.org,c8c2ca2054933d887e60cd29caf1a84d75dbb6b0,stylise header masthead,Christopher Van,2015-01-29T22:17:13Z,cvan,cvan,100,87,13
8,games.mozilla.org,82ef40cb808f796fb2f9f832591152efed8d67b2,add GDC Expo hours,Christopher Van,2015-01-29T21:41:28Z,cvan,cvan,9,9,0
9,games.mozilla.org,a7ec29c8154da6f6c4b1552fe5994524eab3da42,link to floor plan for GDC South Hall,Christopher Van,2015-01-29T21:39:45Z,cvan,cvan,2,1,1
10,games.mozilla.org,2117b456eb77ceb2f66895cdd8c8478ec04fbc85,add partner logo for Humble Bundle,Christopher Van,2015-01-29T21:38:45Z,cvan,cvan,0,0,0
11,games.mozilla.org,547e61662c894d7e393b58a7463dc73413aba80b,further compress partner logo for King,Christopher Van,2015-01-29T21:38:37Z,cvan,cvan,0,0,0
12,games.mozilla.org,af08ae6e44433dfb049b73326c72c2e0f96ddf9d,add graphics for demos,Christopher Van,2015-01-29T21:34:11Z,cvan,cvan,0,0,0
13,games.mozilla.org,b26fc31ee902e5ad7f8c53e00c88e6721b568f0d,"add GDC, social, partner, mozilla logos",Christopher Van,2015-01-29T21:02:53Z,cvan,cvan,90,90,0
14,games.mozilla.org,a34d66e270157b1d49f894100a71c74f8cf642e9,"Merge pull request #1 from cvan/outline-to-index

repurpose outline HTML for main document",Chris Van,2015-01-29T08:49:41Z,cvan,cvan,132,132,0
15,games.mozilla.org,6df83b8ad215dc8f2021aa7a0b923092a04dab94,"clean up HTML structure: remove outermost element, add useful classes everywhere (BEM-style too!)",Christopher Van,2015-01-29T08:32:08Z,cvan,cvan,178,89,89
16,games.mozilla.org,54c61773ad7a3a51b53d92527993710167348a6a,repurpose outline HTML for main document,Christopher Van,2015-01-29T04:38:20Z,cvan,cvan,132,132,0
17,games.mozilla.org,8e41a1990355712978dd5e5b8740f605e252c36f,THIS IS MOZ-GDC,Christopher Van,2015-01-29T03:23:37Z,cvan,cvan,264,264,0
18,games.mozilla.org,89b85456ec5287ec588875214849ab3cc8a6ef37,add endpoint for returning IP,Christopher Van,2015-02-27T22:36:16Z,cvan,cvan,5,5,0
19,games.mozilla.org,7bac84bffbdc3480361843cb2496b2374023a4e3,check if IP is in range,Christopher Van,2015-02-27T22:28:16Z,cvan,cvan,12,11,1
20,games.mozilla.org,db7f6c90c85d6ec8f03ddce443a9a1981f4aed4f,log IPs,Christopher Van,2015-02-27T19:57:10Z,cvan,cvan,3,3,0
21,games.mozilla.org,f191d1d0171e1ba10f73986a1ddb75439504f7da,allow only Mozilla IPs to access /gdc/,Christopher Van,2015-02-27T19:51:13Z,cvan,cvan,4,3,1
22,games.mozilla.org,b545b4bb0978c5397e5ce459a6a2879b1339917c,"Merge pull request #77 from cvan/redesign

design tweaks per change requests",Chris Van,2015-02-27T19:45:23Z,cvan,cvan,719,355,364
23,games.mozilla.org,17b79f77c2e154a8fdbf43fffffb641efe9f9de9,serve 404 page for missing resources,Christopher Van,2015-02-27T09:12:02Z,cvan,cvan,57,56,1
24,games.mozilla.org,6bb4e67a183b8e9b61c767edb5071413d1d88258,add single game view,Christopher Van,2015-02-27T08:31:42Z,cvan,cvan,21,21,0
25,games.mozilla.org,6559d9e5f5d5157735514cf20c69407d4c148a75,remove forever forever,Christopher Van,2015-02-27T08:28:26Z,cvan,cvan,8,3,5
26,games.mozilla.org,46664a75d220a041f78638b8f70f003d8119814d,bump ServiceWorker,Christopher Van,2015-02-26T23:17:43Z,cvan,cvan,2,1,1
27,games.mozilla.org,6fbdcb265891c8c4c0b0a216543f7a99e92e0680,do not stretch demo artwork,Christopher Van,2015-02-26T23:08:42Z,cvan,cvan,2,1,1
