,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,gamesaver,74e99cd7d2e6b14c10130bbd6344ad9777655800,"Merge pull request #1 from JSilver99/TestSuite

Add a test suite for API; r=dmose.",Dan Mosedale,2011-11-15T23:19:28Z,Dan Mosedale,Dan Mosedale,147,110,37
1,gamesaver,22f8a8948ecc9ebb7f822758c098c0240c037dc0,"Changed the tests to not require vows in your path, changed some 'beer' comments to 'GameSaver' comments.",Jesse Silver,2011-11-09T23:22:50Z,Jesse Silver,Jesse Silver,28,13,15
2,gamesaver,95d205e90d770a20add5fb717640bd5559e7ca14,Forgot to add back in the Makefile to git after the rename.,Jesse Silver,2011-11-09T03:00:03Z,Jesse Silver,Jesse Silver,14,14,0
3,gamesaver,205d85924f572a1c326cfa9d51e8bbcb6e45f31b,Fixed most of the issues recently commented on,Jesse Silver,2011-11-09T02:55:09Z,Jesse Silver,Jesse Silver,189,86,103
4,gamesaver,5467aff143b7af88769ceab24f7444b969401079,Fixed spacing on save-test.js,Jesse Silver,2011-11-03T20:02:20Z,Jesse Silver,Jesse Silver,12,6,6
5,gamesaver,b968d8d7ec216f2474b638e03bc30bd2682ad407,Got a prototype version of a saving/loading test ready.,JS,2011-11-03T18:48:23Z,JS,JS,11,10,1
6,gamesaver,6b115c9c02e5344c78d076a390165d0e39e7626a,Started work on the GameSaver server Test Suite.,Jesse Silver,2011-11-03T17:00:44Z,Jesse Silver,Jesse Silver,187,128,59
7,gamesaver,b2d3d789c30914d5d9726c31116e4c5d3ec70f1f,"Merge pull request #1 from JSilver99/TicTacToe

JSON GameSaver server prototype, with Tic Tac Toe prototype as basic API validation.",Dan Mosedale,2011-10-29T00:12:42Z,Dan Mosedale,Dan Mosedale,10858,10422,436
8,gamesaver,aea15db25daeee3faba808b3e34a229db31e289f,"Merge pull request #1 from jbraffoul/TicTacToe

Tic tac toe",JSilver99,2011-10-27T08:35:25Z,JSilver99,JSilver99,4,3,1
9,gamesaver,d52102ad42ea92ef0bca97dbb4e3e83fe983950e,fixed a syntax error that broke compatability in Chrome for example TicTacToe game.,Jordan Raffoul,2011-10-27T08:29:48Z,jraff,jraff,4,3,1
10,gamesaver,f06f9982807f9f683d795a5e2c1c26affe261164,"Changed the save/load buttons to actual buttons, and made them hidden/visible based on if they're logged in, and if they database is currently empty for the selected Game+Email pair.",Jesse Silver,2011-10-27T00:18:14Z,Jesse Silver,Jesse Silver,60,47,13
11,gamesaver,6f613befdc383b6c8ef0d0d9c0f06c8419dff8f0,Added a log out button to the test game so we can test everything.,Jesse Silver,2011-10-26T17:23:10Z,Jesse Silver,Jesse Silver,42,21,21
12,gamesaver,bfec907b513c4dcbd31ef29f0c55f9979b3c8f2c,Created a simple Tic Tac Toe test game with a history of games played to test saving and loading. Also started doing a working prototype of saving/loading based on myfavoritebeer.org.,Jesse Silver,2011-10-25T08:10:26Z,Jesse Silver,Jesse Silver,10796,10373,423
13,gamesaver,e325649505f26fe10e929d1b197c90b307bd60e6,Add .project to .gitignore,Dan Mosedale,2011-10-20T00:51:16Z,Dan Mosedale,Dan Mosedale,3,2,1
14,gamesaver,556e2157376035f4f086a554dc0d5b0675d866d4,Add a dummy HTML file for an example game,Dan Mosedale,2011-10-20T00:50:42Z,Dan Mosedale,Dan Mosedale,13,13,0
15,gamesaver,4ae3d3c0e3569c9b78cbae6e0a6710fdf8484c86,Make the top portion of overview clearer,Dan Mosedale,2011-10-20T00:49:52Z,Dan Mosedale,Dan Mosedale,14,9,5
