,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,geodude,0073841eda5ae56b40fd21ee1f091dfbed6b9601,"Merge pull request #9 from jasonthomas/fabfile-jenkins

fabfile: update to include jenkins deploy targets.",Jason Thomas,2015-01-29T17:58:36Z,jasonthomas,jasonthomas,26,26,0
1,geodude,1e1d5d31b46cd2410ea5d6a3291407e3957460f2,fabfile: update to include jenkins deploy targets.,Jason Thomas,2015-01-29T17:31:03Z,jasonthomas,jasonthomas,26,26,0
2,geodude,708b307fa64c2fe75c26f3899d6edaa43889cc0e,"Merge pull request #8 from glogiotatidis/newrelic

Update NewRelic.",Giorgos Logiotatidis,2015-01-16T08:30:41Z,glogiotatidis,glogiotatidis,215,2,213
3,geodude,381972f31417520eaa537c48cdcf3d3bd6736f68,"Update NewRelic.

- Removed custom newrelic.ini to avoid mixups with WebOps configuration
- Read config from NEWRELIC_PYTHON_INI_FILE",Giorgos Logiotatidis,2015-01-15T12:12:09Z,glogiotatidis,glogiotatidis,215,2,213
4,geodude,e2b8ddeba3f9e3c72ecb0518193bd6f37390969e,"Merge pull request #7 from glogiotatidis/newrelic

Add NewRelic.",Giorgos Logiotatidis,2015-01-12T08:21:57Z,glogiotatidis,glogiotatidis,230,230,0
5,geodude,d552e2be39c3b7240dbfa1986881d00be1fbf798,Add NewRelic.,Giorgos Logiotatidis,2015-01-09T10:31:14Z,glogiotatidis,glogiotatidis,230,230,0
6,geodude,6ce7a67a7c40e382bf74d211cf9c716837df127b,"Merge pull request #5 from jasonthomas/fix-wsgi

Update wsgi file name and move into wsgi directory.",Jason Thomas,2014-05-27T15:31:35Z,jasonthomas,jasonthomas,1,1,0
7,geodude,2537fda868704eb7b59aeae9645e1f1e76b80290,Update wsgi file name and move into wsgi directory.,Jason Thomas,2014-05-27T13:50:21Z,jasonthomas,jasonthomas,1,1,0
8,geodude,5653f1a8b37dd49859aa5ae199ff3a03d5232953,Add fabfile.py.,Jason Thomas,2014-05-23T22:29:45Z,jasonthomas,jasonthomas,63,63,0
9,geodude,034f29d0c1681c2787fd343e22c8eb3f2b29aa00,add maxminddb support (bug 984606),Allen Short,2014-03-18T21:30:43Z,Allen Short,Allen Short,263,165,98
10,geodude,fd837ae5fbad48637c6d243d89e8200264f6398f,Remove update_geodb task,Jason Thomas,2013-04-03T18:40:24Z,jasonthomas,jasonthomas,8,0,8
11,geodude,9ad9392e4bab4e7474c6ef17cfd4fcd3ce0dad17,Do not write git rev info to media/git-rev.txt,Jason Thomas,2013-04-03T18:39:22Z,jasonthomas,jasonthomas,1,0,1
12,geodude,26a983a2c7ee587b44f6ba471d1dc3bcb631e52d,Add gunicorn to prod requirements,Jason Thomas,2013-04-02T16:48:50Z,jasonthomas,jasonthomas,3,2,1
13,geodude,e8168b24df1886774cd4460d68b439f723a5566a,Add commander support so that we can push via chief,Jason Thomas,2013-04-02T16:48:16Z,jasonthomas,jasonthomas,120,120,0
14,geodude,56b4c43a32e650656625e40c9574612e84cfba84,add POST support for marketplace,Wraithan (Chris McDonald),2013-03-27T19:31:53Z,wraithan,wraithan,68,64,4
15,geodude,89324834c096100eb80f33f1ee9269389c63a6a1,README formatting.,Michael Kelly,2013-03-25T18:53:00Z,Michael Kelly,Michael Kelly,4,2,2
