,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,geoip_server,d89ffc96487ceff08fc24326df35c668dcbc946d,code base cleanup,Wraithan (Chris McDonald),2013-03-25T18:22:56Z,wraithan,wraithan,223,108,115
1,geoip_server,db51ac07cd26005dd0507978df846ad9fe08c5c9,"Fix to correct socket id for test script

removed zmq specific content
switched to powerhose",jrconlin,2012-09-26T16:10:14Z,jrconlin,jrconlin,727,49,678
2,geoip_server,a09f898f9e753e8cb05b0be31d1cb72b3167bce8,Added powerhose version,jrconlin,2012-09-21T21:29:34Z,jrconlin,jrconlin,220,195,25
3,geoip_server,f3239e451a107e93532b262425f312a720867bf3,"Added ZMQ implementation

* Added unit tests
* converted workers to use ipc to talk to local broker
* flake8 fixes",jrconlin,2012-09-20T19:42:38Z,jrconlin,jrconlin,303,278,25
4,geoip_server,7ed2e608ecfcc75f966f73cf384a787540341b15,ZeroMQ integration initial checkin -- NEEDS TESTS!,jrconlin,2012-09-20T00:15:40Z,jrconlin,jrconlin,322,322,0
5,geoip_server,d242e8e740eaaa47387746adef00131261ee53f2,Added missing file,jrconlin,2012-08-30T16:27:59Z,jrconlin,jrconlin,4,4,0
6,geoip_server,bd0fca24679bc8ee5f3fb81e35922b45f08dd0d3,fixed Makefile & exception import issues,jrconlin,2012-08-30T15:32:12Z,jrconlin,jrconlin,16,6,10
7,geoip_server,d21ee171b73a6d6a8a4170a6f08ea79f54c8c8e2,removed old func,jrconlin,2012-08-30T15:19:11Z,jrconlin,jrconlin,7,0,7
8,geoip_server,29f8eff5f65555a8726b6dc67e69a2f52a0827ad,"Merge pull request #3 from jrconlin/dev

Added IPv6 support",JR Conlin,2012-08-24T23:32:24Z,jrconlin,jrconlin,239,175,64
9,geoip_server,fc1673c85c78ff68834e204d2b31d4dd17114212,"Added IPv6 support

Added a bit of clarification to the settings to indicate how to
load paid data files.
flake8 fixups",jrconlin,2012-08-24T22:39:26Z,jrconlin,jrconlin,239,175,64
10,geoip_server,d95aa5a414756949d4a8d585e34b23caf3f5f17e,"Merge branch 'dev' of github.com:jrconlin/geoip_server into dev

Conflicts:
	geoip/geoip.py",jrconlin,2012-08-17T00:31:34Z,jrconlin,jrconlin,1,1,0
11,geoip_server,ad461bdd856005dfb3f180616b5f518fd5848f5b,"Added comments and docs pointers

Added fetch info step. (Note, may require manual action)
Wrapped data not found with handler. Fixed decl. race condition
flake8 fixes",jrconlin,2012-08-14T21:31:21Z,jrconlin,jrconlin,191,153,38
12,geoip_server,c443fa9912436d0ab47ffd78f5e581face39401e,"Added comments and docs pointers

Added fetch info step. (Note, may require manual action)
Wrapped data not found with handler. Fixed decl. race condition",jrconlin,2012-08-14T21:31:21Z,jrconlin,jrconlin,100,85,15
13,geoip_server,5b016efa3b8510c7eb2746e1a716a5fcb9d5adf0,initial checkin,jrconlin,2012-08-14T21:31:21Z,jrconlin,jrconlin,627,627,0
