,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,global-sprint,4192c4f5f3539ca6a900c80eeb83d2ba2a74a067,resize hero image,Abigail Cabunoc,2017-03-31T01:50:45Z,acabunoc,acabunoc,0,0,0
1,global-sprint,02ed047ac41c36511225c9fd270590d6a3da1fdd,edits,zee-moz,2017-03-30T23:04:36Z,zee-moz,zee-moz,31,12,19
2,global-sprint,e558687c13c2715eecead804a27c195b887310de,changed file name,zee-moz,2017-03-30T21:22:22Z,zee-moz,zee-moz,35,22,13
3,global-sprint,81ec287f01d1f8a430721a4cbcc46a02a89f8678,add run instructions,Abigail Cabunoc,2017-03-30T21:54:02Z,acabunoc,acabunoc,8,8,0
4,global-sprint,7aa0abd522343ef7065b6d38433bfbc3484196cd,text edits :),zee-moz,2017-03-30T21:17:53Z,zee-moz,zee-moz,33,22,11
5,global-sprint,4b5246bbc5b1a1d602e1531ab92ed0da4d2fbf0e,"new colours, new background",Abigail Cabunoc,2017-03-30T19:32:32Z,acabunoc,acabunoc,16,8,8
6,global-sprint,5725973f59cdb3a6ff0e56261f686e9a1831b36b,"leadership -> sprint
* and remove _site directory",Abigail Cabunoc,2017-03-30T18:58:53Z,acabunoc,acabunoc,6892,3,6889
7,global-sprint,2ea8ab1453d5a7334f6e3fa1845a37dcca0c420f,add jekyll site for global sprint,Abigail Cabunoc,2017-03-30T18:38:21Z,acabunoc,acabunoc,13168,13149,19
8,global-sprint,b41663560677ab782c34f3ae22ca431244247fda,edits,zee-moz,2017-03-30T18:21:45Z,zee-moz,zee-moz,37,21,16
9,global-sprint,62a2e9ff7499171a6c0577be246d35b5593d40ab,formatting change,zee-moz,2017-03-30T15:11:44Z,zee-moz,zee-moz,2,1,1
10,global-sprint,51d06398f49b0aa374cc566811e909dab1f007a2,added link,zee-moz,2017-03-30T15:05:43Z,zee-moz,zee-moz,2,1,1
11,global-sprint,821f205115a21c754b5f0651164a825daa86e786,organized and updated,zee-moz,2017-03-30T15:02:31Z,zee-moz,zee-moz,27,16,11
12,global-sprint,fbb04632a57fa6035f99ab10fc013939bebb5510,added checklist,zee-moz,2017-03-29T20:22:34Z,zee-moz,zee-moz,54,54,0
13,global-sprint,e96c21df9b67f9109c3fbff8e4835b81ea714727,edits,zee-moz,2017-03-29T17:55:29Z,zee-moz,zee-moz,4,2,2
14,global-sprint,6e0e924e79a582d1d0c286db6ccb5625a145d297,added sections,zee-moz,2017-03-29T15:51:21Z,zee-moz,zee-moz,30,26,4
15,global-sprint,b1f4f5e088444d29e90ab786cb220528c33c6941,add README yo,zee-moz,2017-03-28T18:46:41Z,zee-moz,zee-moz,11,11,0
16,global-sprint,820a4b46d3779ebcce0dd57c7c89a33ad75a657c,remove all the projects json / udpate scripts,Abigail Cabunoc,2017-04-17T18:25:06Z,acabunoc,acabunoc,7,0,7
17,global-sprint,0a820cc94294e50cddfd676a5a588261169fc4de,remove mozmaker,Abigail Cabunoc,2017-04-17T18:06:10Z,acabunoc,acabunoc,1,0,1
18,global-sprint,fd4f39e12881b898741b9941f78ea5e8ee8b3982,fetch projects from mozilla pulse,Abigail Cabunoc,2017-04-17T17:36:26Z,acabunoc,acabunoc,53,52,1
19,global-sprint,586659545c36a7a684022b6bb6fdd4dfc14b5c05,update projects,Abigail Cabunoc,2017-04-15T21:01:06Z,acabunoc,acabunoc,2,1,1
20,global-sprint,f620833bbd6aa3fa42e75de6e4642c44dd91297e,"Formatting, grammar & a couple content changes

Updated for first 50 registered sites to have swag packs.  Also added Mozilla Participation Guidelines.  Some formatting & grammar edits.",Stephanie Wright,2017-04-14T01:04:00Z,stephwright,stephwright,28,15,13
21,global-sprint,5972d8c4d4eb0dae8a5107cbaf66a24444e8eea7,Grammar and format editing,Stephanie Wright,2017-04-14T00:52:41Z,stephwright,stephwright,23,15,8
22,global-sprint,e4459e7328216c1829d504263027984ac24c9805,Formatting edits for clarity,Stephanie Wright,2017-04-14T00:41:38Z,stephwright,stephwright,4,2,2
23,global-sprint,cd1201a733bc1f7ae6af854f8826db4ca1928011,Formatting & grammar edits,Stephanie Wright,2017-04-14T00:33:32Z,stephwright,stephwright,32,16,16
24,global-sprint,5fdeeafa1d11d2e005ca852bb7e2879d89da2214,"format project cards
* don't show the entire image if it's really big",Abigail Cabunoc,2017-04-13T21:45:47Z,acabunoc,acabunoc,25,24,1
25,global-sprint,9f70be898db154892d214a721c0abb63d2dff6c2,"fix projects!
* manually update json for now",Abigail Cabunoc,2017-04-13T20:57:16Z,acabunoc,acabunoc,60,6,54
26,global-sprint,c496aa4cb1c3df1b663f7a17286f461657efd1ed,remove featured projects from sidebar,Abigail Cabunoc,2017-04-13T18:00:12Z,acabunoc,acabunoc,1,0,1
27,global-sprint,3c0a5036af5c2e1d153473e3a0356d1ab113d266,Update participants.md,Zannah Marsh,2017-04-13T16:39:30Z,zee-moz,zee-moz,2,1,1
28,global-sprint,b7cec89395d666d62c6ea848942bc43e5597b720,Update participants.md,Zannah Marsh,2017-04-13T16:36:36Z,zee-moz,zee-moz,5,4,1
29,global-sprint,42eb3113299c57a13ba2555b25d687a7ea93ee2b,Update project-lead.md,Zannah Marsh,2017-04-13T16:35:43Z,zee-moz,zee-moz,2,1,1
30,global-sprint,c552e5ae27003d48b057ef1ffd00ce3b6283aa86,Update site-hosts.md,Zannah Marsh,2017-04-13T16:34:54Z,zee-moz,zee-moz,2,1,1
31,global-sprint,0ead126664006f6d23a4e1897d87e42e85bdf3f5,Update site-hosts.md,Zannah Marsh,2017-04-13T16:34:26Z,zee-moz,zee-moz,36,33,3
32,global-sprint,af49e677070ede0c63ced35c3efe02723d1f9905,Update project-lead.md,Zannah Marsh,2017-04-13T16:21:13Z,zee-moz,zee-moz,2,2,0
33,global-sprint,6724be0ed07bd848f0ad676f828fa76a511d8755,Update project-lead.md,Zannah Marsh,2017-04-13T16:17:48Z,zee-moz,zee-moz,4,2,2
34,global-sprint,e6c2458000a3e4bcc01a930b1e351e1f2e74aef9,Update project-lead.md,Zannah Marsh,2017-04-13T16:15:49Z,zee-moz,zee-moz,6,3,3
35,global-sprint,59d2b2ab62288dc6211982cf688070f85c66ac0b,Update project-lead.md,Zannah Marsh,2017-04-13T16:03:11Z,zee-moz,zee-moz,15,12,3
36,global-sprint,68b5473fa55ddf8e6961c88e660e74eb4c711a09,Update participants.md,Zannah Marsh,2017-04-13T15:55:40Z,zee-moz,zee-moz,17,15,2
37,global-sprint,ffa27b8f5c95962eeeeba3930068b7ea6dc92014,Update participants.md,Zannah Marsh,2017-04-12T22:09:18Z,zee-moz,zee-moz,2,1,1
38,global-sprint,f967a7195c73518563f331c9869cb6b6d565f236,Update home.html,Zannah Marsh,2017-04-12T21:59:00Z,zee-moz,zee-moz,6,3,3
39,global-sprint,af0ec2cec6dabe2b401dd6f1f241757339b2dd17,Update README.md,Zannah Marsh,2017-04-12T20:17:23Z,zee-moz,zee-moz,3,1,2
40,global-sprint,f4b9b0319b16670d210529975d2073e9dfb938e6,Update project-requirements.md,Zannah Marsh,2017-04-12T19:59:54Z,zee-moz,zee-moz,5,3,2
41,global-sprint,1c9d3bbe66f3abda9826ce02084d3df98e782eff,Update project-requirements.md,Zannah Marsh,2017-04-12T19:59:03Z,zee-moz,zee-moz,7,4,3
42,global-sprint,b0f95dc1cc50da8a92a6f957c996d14afe552670,Update project-lead.md,Zannah Marsh,2017-04-12T19:57:40Z,zee-moz,zee-moz,2,2,0
43,global-sprint,71f7a2b02cbd19d858afa8b3b277e2ae61e71028,Update site-hosts.md,Zannah Marsh,2017-04-12T19:56:14Z,zee-moz,zee-moz,2,2,0
