,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,grunt-i18n-abide,192dfb71edb8e5155c1662210efc7806e9ea657d,Create js files if createJSFiles is true (fixes #9),Stuart Colville,2014-02-19T19:06:52Z,muffinresearch,muffinresearch,28,26,2
1,grunt-i18n-abide,5d84a867cad2ec350307f34ca345c19e005b4d43,Bump to version 0.0.6,Stuart Colville,2014-02-05T13:30:56Z,muffinresearch,muffinresearch,9,6,3
2,grunt-i18n-abide,8cb38f4eddb68963154e8ee684012c6387099296,"Merge pull request #7 from muffinresearch/createJSFiles-option

Add createJSFiles option to abideCompile (fixes #3)",Stuart Colville,2014-02-05T13:27:43Z,muffinresearch,muffinresearch,38,35,3
3,grunt-i18n-abide,da7538f887d1bf121ef823226ca4422d705dd9f2,"Merge pull request #6 from muffinresearch/create-only-new

abideCreate should be no-op if locale exists (fixes #4)",Stuart Colville,2014-02-05T13:15:59Z,muffinresearch,muffinresearch,41,39,2
4,grunt-i18n-abide,1e61f43c8c269884bd831919917ec8ab3d625e78,Add createJSFiles option to abideCompile (fixes #3),Stuart Colville,2014-02-05T12:51:14Z,muffinresearch,muffinresearch,38,35,3
5,grunt-i18n-abide,261c3446826d4dad61f4306b730fa2701190fa5a,abideCreate should be no-op if locale exists (fixes #4),Stuart Colville,2014-02-05T11:27:17Z,muffinresearch,muffinresearch,41,39,2
6,grunt-i18n-abide,56aa946f102e81e105dd99cec77fab9028decbd1,"Merge pull request #2 from muffinresearch/en-US-to-en_US

options.locales -> options.languages (fixes #1)",Stuart Colville,2014-02-04T15:13:35Z,muffinresearch,muffinresearch,79,61,18
7,grunt-i18n-abide,b27153c7931d5c3841c5c86ce8f8ee9827477a90,options.locales -> options.languages (fixes #1),Stuart Colville,2014-02-04T14:20:46Z,muffinresearch,muffinresearch,79,61,18
8,grunt-i18n-abide,8c52e666ff40d7d07d017e01f189cb4514964abb,bump version,Stuart Colville,2014-01-21T10:24:41Z,muffinresearch,muffinresearch,2,1,1
9,grunt-i18n-abide,12562c94db66f326d40fb783dd033662e5fbbdc4,Add badges for deps and npm version.,Stuart Colville,2014-01-21T10:21:36Z,muffinresearch,muffinresearch,3,3,0
10,grunt-i18n-abide,417d5c09561acec1430c6cb658715667a580a15f,"Merge pull request #5 from muffinresearch/update-deps

Update deps",Stuart Colville,2014-01-21T10:19:20Z,muffinresearch,muffinresearch,3,2,1
11,grunt-i18n-abide,d9818042a02e5e19b78200d2de4a88c9b20f8341,Update deps,Stuart Colville,2014-01-20T18:41:48Z,muffinresearch,muffinresearch,3,2,1
12,grunt-i18n-abide,848f19ba2129bc4e47b2d557fed5f6a3d749d066,Bump version and update docs + changelog,Stuart Colville,2013-12-12T17:00:53Z,muffinresearch,muffinresearch,6,3,3
13,grunt-i18n-abide,911b8990bfffa73d784de0fdf42e20e9ff0a4d52,Remove sort option which was removed from jsxgettext and update docs.,Stuart Colville,2013-12-10T15:13:38Z,muffinresearch,muffinresearch,11,0,11
14,grunt-i18n-abide,709f61eca5183a47dcf093d1442a6e16c8204315,Fix broken tests due to changes in jsxgettext,Stuart Colville,2013-12-10T13:46:09Z,muffinresearch,muffinresearch,115,47,68
15,grunt-i18n-abide,0ae70a05f11f065222217b78246262d59eada6d9,Add complete configuration example (fixes #1),Stuart Colville,2013-12-09T17:53:17Z,muffinresearch,muffinresearch,55,55,0
16,grunt-i18n-abide,6b3c1e166d42046871d93f4646a9c297fcec2eae,Fix broken version.,Stuart Colville,2013-12-05T18:44:23Z,muffinresearch,muffinresearch,2,1,1
17,grunt-i18n-abide,8f48a47dacd7d89d6ec52bac5e8c580fc84a5494,Update package.json,Stuart Colville,2013-12-05T18:43:53Z,muffinresearch,muffinresearch,2,1,1
18,grunt-i18n-abide,2cbf7140cc81de6e50df3c36a0654fbe20094497,Update package.json,Stuart Colville,2013-12-05T18:43:07Z,muffinresearch,muffinresearch,2,1,1
19,grunt-i18n-abide,8c294d6a4ef25fedf26579eb64b64c79944a98d9,Re-jig command names,Stuart Colville,2013-11-11T19:10:38Z,muffinresearch,muffinresearch,101,49,52
