,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,gzipServer,077b13f9fcb57c7d2ecb10c2edf2a6086d3e92d4,Update code to run in Python 3,Mark Reid,2019-10-11T14:02:39Z,mreid-moz,mreid-moz,12,6,6
1,gzipServer,7d43e41a05e9dd1ed7d5d3a72e33384ed8ca2b4f,Remove note about `requestChildPayloads()` as it hasn't been relevant for years.,Chris H-C,2019-01-18T18:01:45Z,chutten,chutten,1,0,1
2,gzipServer,3b73fc7ce10365c9d3956295f26b18923be39456,"Add option to print headers of received requests (#2)

* Add option to print headers of received requests

* change print_headers to printHeaders for style",Chris H-C,2018-04-12T14:14:27Z,chutten,chutten,5,5,0
3,gzipServer,f1e9afc4cd3a8c869fe72e21f6ec10d3790104e0,"Merge pull request #1 from mozilla/use-json-instead-of-simplejson

Use plain json instead of simplejson",Mark Reid,2018-04-11T16:10:29Z,mreid-moz,mreid-moz,2,1,1
4,gzipServer,575cfd3bb97ea1e4d64547b62eec95c9de586c8d,"Use plain json instead of simplejson

json is always available with modern versions of python, simplejson is not. simplejson is sometimes
faster than json, but that's not really a concern with test code like this.",William Lachance,2018-04-11T16:00:36Z,wlach,wlach,2,1,1
5,gzipServer,6e2c6b20ad5abb82edb4510490e05211ced565ba,"Update README to current state

- Fix the outdated console instruction.
- Improve readability a bit.
- Fix outdated instructions on where pings will be found on shutdown (we have the ping sender now)",Georg Fritzsche,2017-06-15T16:56:14Z,georgf,georgf,19,12,7
6,gzipServer,2af80eec50d6799c8970c1ee5faeddc280302a8a,Instructions for other ways to get the ping,Vladan Djeric,2015-09-30T22:16:56Z,vdjeric,vdjeric,6,6,0
7,gzipServer,2e9cd41913a090cbc7fe517fe81991058fc10531,Made gzipServer.py executable,Vladan Djeric,2015-09-30T21:51:23Z,Vladan Djeric,Vladan Djeric,0,0,0
8,gzipServer,2c0ae0a123ccbee64893a1fc585237e942897000,style fix-up,Vladan Djeric,2015-09-30T21:50:32Z,vdjeric,vdjeric,10,5,5
9,gzipServer,6235d9c4b75bf9b5cafe5fc6d9c72353ca716cb0,Updated HOWTO for triggering a Telemetry ping send,Vladan Djeric,2015-09-30T21:43:50Z,vdjeric,vdjeric,14,7,7
10,gzipServer,2c1238e15f14b2db97020b6d879725d24d221daa,"Merge pull request #1 from georgf/master

Save pings as formatted JSON",Vladan Djeric,2015-06-08T15:51:42Z,vdjeric,vdjeric,28,19,9
11,gzipServer,1fffa34c743e19d8a9dceb63c9ab3b39ce719fd2,"Add argument for storing raw ping

This adds argument parsing and an option to save incoming pings as raw.",Georg Fritzsche,2015-05-01T12:18:55Z,georgf,georgf,26,17,9
12,gzipServer,a04e9162486e801ee4ce86c3a6d7ac51ce74086c,"Save pings as formatted JSON

Save incoming pings in a pretty-printed JSON format.",Georg Fritzsche,2015-04-30T17:55:47Z,georgf,georgf,6,4,2
13,gzipServer,55521d5e5cfd7e7daff245a0b848009247b5fcd1,Updated README,Vladan Djeric,2015-02-13T03:31:11Z,Vladan Djeric,Vladan Djeric,11,11,0
14,gzipServer,5abf55b756a7614f498d52ecd3aaabb188256925,"Added gzipServer script, updated README",Vladan Djeric,2015-02-13T03:29:55Z,Vladan Djeric,Vladan Djeric,74,74,0
15,gzipServer,7ce75ccc4ddd20f1a7cddbb8c995052ec3aafc2c,Initial commit,Vladan Djeric,2015-02-13T03:20:17Z,vdjeric,vdjeric,396,396,0
