,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,hapi-fxa-oauth,f87b6f88a38fece9ed5b6b8bb4dd1d8adca096fc,3.0.0,vladikoff,2018-06-27T23:22:35Z,vladikoff,vladikoff,2,1,1
1,hapi-fxa-oauth,d48c09884e234a6dd2cd86d42fc0d1ac5d1b1c4e,"fix(hapi): hapi 17 compatiblity fixes (#8) r=@vladikoff,@rfk,@vbudhram",Deepti,2018-06-27T23:15:08Z,deeptibaghel,deeptibaghel,85,50,35
2,hapi-fxa-oauth,bb50d0d7b01aff07506ec21a3b341aac6f8d6f97,"chore(deps): update deps, fix nsp (#7) r=@rfk",Vlad Filippov,2018-02-28T01:20:34Z,vladikoff,vladikoff,15,6,9
3,hapi-fxa-oauth,e4860321997122fb1b0018656189c47f3d860955,"Merge pull request #6 from mozilla/i5

update to poolee 1.0.1",Sean McArthur,2016-09-07T20:40:55Z,seanmonstar,seanmonstar,2,1,1
4,hapi-fxa-oauth,a4a17d4ba14b8f288b514a7d56d19097d2b075bc,update to poolee 1.0.1,vladikoff,2016-09-07T20:19:46Z,vladikoff,vladikoff,2,1,1
5,hapi-fxa-oauth,085711c6ee1cacd1ca111814e7bd1e1678cbb309,v2.2.0,Sean McArthur,2015-11-12T21:38:26Z,seanmonstar,seanmonstar,3,2,1
6,hapi-fxa-oauth,517e60f19bc2554d85fd5d6cd0cd128d87d23985,remove trailing whitespace,Sean McArthur,2015-11-12T21:38:14Z,seanmonstar,seanmonstar,4,2,2
7,hapi-fxa-oauth,2895819f99f467dfe21099e806dc9e241f8d7a56,"Merge pull request #3 from mozilla/extra-parameters

allow passing an `extra` field on the options",Sean McArthur,2015-11-12T21:35:23Z,seanmonstar,seanmonstar,9,8,1
8,hapi-fxa-oauth,e1fc9cdc70171835514d2282240bb75690985fcc,"allow passing an `extra` field on the options

The values in `extra` will be passed to the verify endpoint.",Sean McArthur,2015-11-11T23:02:44Z,seanmonstar,seanmonstar,9,8,1
9,hapi-fxa-oauth,4c3e342227e896c4bc9576dabe41a22bf6c26fe3,Bump package version to 2.1.0,Ryan Kelly,2015-10-30T03:22:05Z,rfk,rfk,2,1,1
10,hapi-fxa-oauth,a1b57ddba7f3eb54fd92665fe4672771598cf262,Re-instance no-tests-shaming message to `npm test` output.,Ryan Kelly,2015-10-29T23:18:43Z,rfk,rfk,2,1,1
11,hapi-fxa-oauth,7e5c0721bd83b8abbf82c887fa21b7dd14f17fc9,"Merge pull request #2 from pdehaan/pdehaan/lint

Add ESLint and tweak package.json",Ryan Kelly,2015-10-29T20:49:31Z,rfk,rfk,20,13,7
12,hapi-fxa-oauth,82d43486852a65c55fde8b3900579cd54b53e72d,Add ESLint and tweak package.json,Peter deHaan,2015-10-29T17:51:13Z,pdehaan,pdehaan,20,13,7
13,hapi-fxa-oauth,7017b98084fafe10a855404475644dbb391d3409,"Merge pull request #1 from mozilla/rfk/auth-server-updates

Allow passing a single ""url"" option",Sean McArthur,2015-10-29T17:26:03Z,seanmonstar,seanmonstar,464,452,12
14,hapi-fxa-oauth,06ae8c921ccb7271bba1018a29a6ced9cddbb8a5,"Allow callers to specify a single url rather than host, port, etc.",Ryan Kelly,2015-10-29T06:05:36Z,rfk,rfk,61,46,15
15,hapi-fxa-oauth,78cfc9cd220f40efe9790a2ed49b224f28d95b4d,Add some boilerplate and simple docs.,Ryan Kelly,2015-10-29T05:38:17Z,rfk,rfk,411,410,1
16,hapi-fxa-oauth,ea1e5b3b53b38957aacd6152be66b4ca5de241f1,fixed missing auth response,Danny Coates,2015-01-06T00:57:30Z,dannycoates,dannycoates,4,2,2
17,hapi-fxa-oauth,d0b537a73c11b7ca00b004e7149c797115cc664c,updated for hapi 8.0,Danny Coates,2014-12-29T21:32:10Z,dannycoates,dannycoates,29,14,15
18,hapi-fxa-oauth,722f4415a35e26ffaaee1d7526f1c799da84ba3f,And so our story begins,Danny Coates,2014-10-23T20:50:28Z,dannycoates,dannycoates,75,75,0
