,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,heatmap,2963926d9d6989bafb5565394b6b2fb0319d4b66,added a delete data button in the pref,Victor Ng,2016-07-28T15:53:20Z,crankycoder,crankycoder,17,10,7
1,heatmap,512c221c99bedbec56195b0e6ff8ca5bb6f841f6,"updated termBlacklist to be black_list and hook the pref into the
heatmap library",Victor Ng,2016-07-27T21:15:31Z,crankycoder,crankycoder,33,27,6
2,heatmap,6e61374e7cfb7dd5a0a0e15b05504d6b318a7ca4,added onPrefChange hook for the tokenBlacklist,Victor Ng,2016-07-27T20:26:50Z,crankycoder,crankycoder,12,9,3
3,heatmap,18ec66a1e52429681b7dd10853c3c88a57c0c82c,fixed the dumb about:newtab shortcircuiting,Victor Ng,2016-07-27T13:07:20Z,crankycoder,crankycoder,5,2,3
4,heatmap,efa1bba00abfb3ebb1a4ed6a5ec953aeb1b97e06,"refactored heatmap to use message passing to send the session data
from tabtracker to the heatmap via Services.notifyObservers",Victor Ng,2016-07-26T19:21:34Z,crankycoder,crankycoder,117,33,84
5,heatmap,ff70b61efad00e36b66fb3e00f52fc11ba0a3a14,fixed the tabtracker to keep start_time,Victor Ng,2016-07-26T17:12:50Z,crankycoder,crankycoder,50,14,36
6,heatmap,014b80bfd35eb7191a0614033afd9d2f104ba078,updated submission to upload history based on session termination,Victor Ng,2016-07-25T13:36:16Z,crankycoder,crankycoder,69,17,52
7,heatmap,af247db68417d3cd8784f4d6d0f28cde2010d375,changed markdown syntax to restructured text,Victor Ng,2016-07-18T02:33:13Z,crankycoder,crankycoder,18,9,9
8,heatmap,5fa50fe544b32069003cd38c8f33f7a05ba74a8f,added docs for JSON schema,Victor Ng,2016-07-16T13:18:46Z,crankycoder,crankycoder,204,57,147
9,heatmap,626f2bc9aed57d3fcbb01a98b09476b27c938d7a,removed deactivate tab events as they were just confusing,Victor Ng,2016-07-15T15:20:34Z,crankycoder,crankycoder,156,62,94
10,heatmap,951ebd4188533bd76925d07ce304f7c473111773,dirty commit,Victor Ng,2016-07-13T17:42:17Z,crankycoder,crankycoder,157,113,44
11,heatmap,0a3f22d72fab48dab5af3a12a960eac03cadadf5,added event-contants.js from activity stream,Victor Ng,2016-07-11T19:06:09Z,crankycoder,crankycoder,37,37,0
12,heatmap,2e3ceb2a02ba2a93ebef8481f2303dc1b74f966d,more refactorings and code cleanup,Victor Ng,2016-07-11T19:05:58Z,crankycoder,crankycoder,218,218,0
13,heatmap,500de7ee9eec47a2fc9c7f44373cf3da84a68549,more refactoring fixes,Victor Ng,2016-06-24T18:40:17Z,crankycoder,crankycoder,62,26,36
14,heatmap,1e673a147ac56717edd6b397f125ca07e02b0889,fixed permissions when writing JSON history file,Victor Ng,2016-06-24T17:37:16Z,crankycoder,crankycoder,271,198,73
15,heatmap,f90f52580e006cc24195509c062e5e4f83df0a60,reworked scopes using fatarrow syntax,Victor Ng,2016-06-24T16:15:12Z,crankycoder,crankycoder,551,269,282
16,heatmap,4493aad78a1d6575ee044c06d697175977091279,initial refactoring of heatmap.js in the lib directory seems to be working,Victor Ng,2016-06-21T16:51:30Z,crankycoder,crankycoder,15,4,11
17,heatmap,0e0681e3d752b1f96ff9eea74fbc5efad4a21f23,started to refactor the addon into scaffolding around a bunch of libraries,Victor Ng,2016-06-21T16:29:40Z,crankycoder,crankycoder,3378,3034,344
18,heatmap,bf708d8b8246bfdf2255165a3fb81561acfbf6b8,renamed to cg_ingest,Victor Ng,2016-06-14T10:33:21Z,crankycoder,crankycoder,14,7,7
19,heatmap,e7c0176934df270e9a4ca9fa3a365430944394f7,added a simple-pref for blacklist tokens,Victor Ng,2016-06-09T20:15:22Z,crankycoder,crankycoder,9,8,1
