,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,home-snippets-server,2e7e828ccd86d3e5897f72fbbafb051febc54fd8,Trying a different approach for the about:home simulator,Leslie Michael Orchard,2010-10-18T20:23:40Z,lmorchard,lmorchard,27,24,3
1,home-snippets-server,5ff346b5d47388a33f58915abbda1ef1918e1ab6,Starting off a TODO list,Leslie Michael Orchard,2010-10-18T20:22:39Z,lmorchard,lmorchard,4,4,0
2,home-snippets-server,bee09818222e415b11dfc117a5de1ccff055ba17,Added tests for cache and cache invalidation behavior in snippets model; tweak to cache prefixes; snippet response now trying to be better well-formed XML / XHTML,Leslie Michael Orchard,2010-10-18T19:13:18Z,lmorchard,lmorchard,397,346,51
3,home-snippets-server,f7fb9696fec37ce890e2f6e17b8edefa9558257f,Adding caching and last-modified invalidation to model; removing unimplemented start/end pub times for snippets; disabling per-page caching for now since invalidation is not figured out,Leslie Michael Orchard,2010-10-15T19:45:18Z,lmorchard,lmorchard,224,154,70
4,home-snippets-server,baceb865a4f8a7a44e86038370f2a8419121ec4d,Added /regex/ parsing to client match rules; reworked testing a bit,Leslie Michael Orchard,2010-10-14T20:09:51Z,lmorchard,lmorchard,165,115,50
5,home-snippets-server,6e4e9d78f66726cafc5ce08b919a73080862c2b3,Adding client match rules for exact match and exclusions; lower-casing keys in url patterns; Adding instructions to README,Leslie Michael Orchard,2010-10-14T19:41:33Z,lmorchard,lmorchard,368,335,33
6,home-snippets-server,5b6940342d1d2a48ec0295ae5c25228e4cf2b8a5,"Injecting a debug snippet to show last time of content generation, along with a hacky link to force a snippet reload",Leslie Michael Orchard,2010-10-12T20:15:00Z,lmorchard,lmorchard,13,13,0
7,home-snippets-server,42686d4a76fd76a6bfc38ed1e22d3bfaf5f6cdf7,Adding Access-Control-Allow-Origin header for XHR in about:home,Leslie Michael Orchard,2010-10-12T19:39:11Z,lmorchard,lmorchard,24,8,16
8,home-snippets-server,748a40414352c2f4a10f706657bbc318f8994434,Adding root templates dir,Leslie Michael Orchard,2010-10-12T18:52:27Z,lmorchard,lmorchard,1,1,0
9,home-snippets-server,ebcb6bfb5a2d9b3edcbd344bae8f2f768158571f,Adding a 404 template,Leslie Michael Orchard,2010-10-12T18:50:26Z,lmorchard,lmorchard,1,1,0
10,home-snippets-server,a110588b9db0aad26e045ee57da301ccc0ede4d4,Tweaks to settings_local dist file,Leslie Michael Orchard,2010-10-12T18:14:41Z,lmorchard,lmorchard,144,65,79
