,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,http-mx,822849e1a205f92ecf5b22d4210c2c70d65baf25,"Merge pull request #1 from floatingatoll/floatingatoll-patch-1

Use localhost DNS rather than Google DNS",floatingatoll,2016-08-02T20:45:04Z,floatingatoll,floatingatoll,2,1,1
1,http-mx,12b948c134ca1f4efe271d207969aaf009441025,Use localhost DNS rather than Google DNS,floatingatoll,2016-08-02T20:44:01Z,floatingatoll,floatingatoll,2,1,1
2,http-mx,bf45741317d32405fbcfe3d53917fa5cb605da47,0.04,Philippe M. Chiasson,2013-05-13T16:46:19Z,gozer,gozer,4,2,2
3,http-mx,5ca8b881cd089e95003894813a6dae2516699678,Try and default to google public DNS servers,Philippe M. Chiasson,2013-05-13T16:45:39Z,gozer,gozer,11,9,2
4,http-mx,e2852ca3a7be7b50260fc8f0ad3784efa07f5cbb,bump version,Philippe M. Chiasson,2013-05-09T16:07:51Z,gozer,gozer,4,2,2
5,http-mx,03a3001663d38a876ed5f90b868fc068d8282a38,fix version number,Philippe M. Chiasson,2013-05-09T16:06:27Z,gozer,gozer,2,1,1
6,http-mx,048155c5dee36ba1ea45dee708cc321f05f73f07,remove bug debugging,Philippe M. Chiasson,2013-03-20T18:14:24Z,gozer,gozer,1,0,1
7,http-mx,64c2b05d30ac131cf82dda22c598f5b172692fb7,more descriptive status codes,Philippe M. Chiasson,2013-03-20T17:57:30Z,gozer,gozer,22,20,2
8,http-mx,8225be638f4ee14ba2a79801fe4df1b48816b6db,add current perl implementation,Philippe M. Chiasson,2013-03-06T17:47:40Z,gozer,gozer,53,53,0
9,http-mx,7f344965d14060ffada158e4cd3abc46910ee833,first commit,Philippe M. Chiasson,2012-01-25T18:12:46Z,gozer,gozer,83,83,0
