,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,http_helper,43db9c4c4af4f0e61c06ca116fcf3f5f3728d326,Random changes,JP Schneider,2014-09-29T21:08:05Z,JP Schneider,JP Schneider,7,3,4
1,http_helper,4b7912374d43d45741ce22323b3029e327ccd67e,Random changes,JP Schneider,2014-09-29T21:07:06Z,JP Schneider,JP Schneider,7,4,3
2,http_helper,04c3e9c5a2f0cd246ab2fe1afdb0f60857db2b91,"Merge pull request #3 from lonnen/refactor

improve code readability",JP Schneider,2014-09-05T20:39:48Z,JP Schneider,JP Schneider,97,69,28
3,http_helper,6bdaee1e7e9172c733edfb5d741c5ea5aadf913f,fixup some indentation,lonnen,2014-09-05T20:23:54Z,lonnen,lonnen,6,3,3
4,http_helper,ba9f8da2e11974ca06ca7e7c7e9c963e3bf647e9,dry out a variable used in both proxy and redirect requests,lonnen,2014-09-05T20:15:29Z,lonnen,lonnen,7,4,3
5,http_helper,152f23ffa609a7ca80db53a3b751f885377ae918,"improve code readability

Reformats code to appease the linter and adds a helper function for simple string formatting. Also adds a gitignore file and one backwards compatible change to default to port 80 when none is specified.",lonnen,2014-09-01T23:57:52Z,lonnen,lonnen,86,63,23
6,http_helper,9c49c9da443d35e5091e698c963757f4c19461f6,0.6.5,JP Schneider,2014-06-18T07:09:30Z,JP Schneider,JP Schneider,2,1,1
7,http_helper,0cb7f2cfcb8f5dfd83eff711465295d8fc4f54cc,0.6.4,JP Schneider,2014-06-18T07:05:37Z,JP Schneider,JP Schneider,2,1,1
8,http_helper,0d56447a1822a930df8507c03de7894ffe4aedbf,0.6.3,JP Schneider,2014-06-18T06:39:58Z,JP Schneider,JP Schneider,2,1,1
9,http_helper,e2974e78e7bcaf7ce4c7cc6ded3d0c838c37f4de,0.6.2,JP Schneider,2014-06-18T06:35:23Z,JP Schneider,JP Schneider,2,1,1
10,http_helper,88f0a5a51b218b5a35fdeefcedadea2ebff9381e,0.6.1,JP Schneider,2014-06-18T04:49:12Z,JP Schneider,JP Schneider,2,1,1
11,http_helper,27e878270a8ce7eeb1728ad39f3f070d066fdd7a,0.6.0,JP Schneider,2014-06-18T04:48:26Z,JP Schneider,JP Schneider,2,1,1
12,http_helper,9b908231225a00c1464b148507ae789971472c7c,0.5.0,JP Schneider,2014-06-18T04:48:18Z,JP Schneider,JP Schneider,2,1,1
13,http_helper,1e83a924a64b0c543f5b3b9a0483342e5934c63e,0.4.0,JP Schneider,2014-06-18T04:48:16Z,JP Schneider,JP Schneider,2,1,1
14,http_helper,e5a851ff71afe90b7fde12f33ce2bfbb033f6008,0.3.0,JP Schneider,2014-06-18T04:48:11Z,JP Schneider,JP Schneider,2,1,1
15,http_helper,04f706286e2fd66ef3c806868ac993157069d350,0.2.0,JP Schneider,2014-06-18T04:48:10Z,JP Schneider,JP Schneider,2,1,1
16,http_helper,225f1b3c85c1440b2a46de7be06943d49d62886d,0.1.0,JP Schneider,2014-06-18T04:48:08Z,JP Schneider,JP Schneider,2,1,1
17,http_helper,def5d955fdf5ce78545e6e4c57db4923f886ea2b,0.0.4,JP Schneider,2014-06-18T04:45:54Z,JP Schneider,JP Schneider,2,1,1
18,http_helper,cb3c062c5be0f8559d5c8f086087680b793318ec,Fix helmet,JP Schneider,2014-06-17T21:31:20Z,JP Schneider,JP Schneider,2,1,1
19,http_helper,3468e6d7d300837403efa1d2aeeadc5a2eb5a94b,Yup,JP Schneider,2014-06-17T15:08:57Z,JP Schneider,JP Schneider,2,1,1
20,http_helper,e4127d6a173162662c78bd45ca643a883f40b3f4,Hell yeah,JP Schneider,2014-06-17T04:56:05Z,JP Schneider,JP Schneider,4,2,2
21,http_helper,bf0a1c72823a010e624b81440e00afb8417d6ec5,Hell yeah,JP Schneider,2014-06-17T04:55:08Z,JP Schneider,JP Schneider,4,2,2
22,http_helper,53437cde510281593d8ca6b880b248c0af604164,Yup,JP Schneider,2014-06-17T04:53:39Z,JP Schneider,JP Schneider,2,1,1
23,http_helper,0fb17f1dea587aab1a7e7c9705a4b50dac0181d5,Yup,JP Schneider,2014-06-17T04:52:49Z,JP Schneider,JP Schneider,2,1,1
24,http_helper,37175214c722e7268aaf6478c3d962d6cce14d05,Yup,JP Schneider,2014-06-17T04:49:38Z,JP Schneider,JP Schneider,2,1,1
25,http_helper,8aff45fdaac5b603e741af277c8ffad3be592086,Yup,JP Schneider,2014-06-17T04:47:35Z,JP Schneider,JP Schneider,2,1,1
26,http_helper,caa3ac06bdf7d08485758351777ade89dcbc3bc5,Yup,JP Schneider,2014-06-17T04:46:53Z,JP Schneider,JP Schneider,2,1,1
27,http_helper,0d04fe0ebae1c292bcb53f7b6bfbc0da4d16e257,Yup,JP Schneider,2014-06-17T04:43:19Z,JP Schneider,JP Schneider,2,1,1
28,http_helper,c09696162ee2d057969f52e6bc5e95fc857ff609,Yup,JP Schneider,2014-06-17T04:41:46Z,JP Schneider,JP Schneider,2,1,1
29,http_helper,54e40ebf7f6cafc55edc8cd87d84fa678c405ebc,Yup,JP Schneider,2014-06-17T04:41:08Z,JP Schneider,JP Schneider,2,1,1
30,http_helper,152e5b8681a4c0fb3d50a4a8ff7bde8465c0d41b,Yup,JP Schneider,2014-06-17T04:36:43Z,JP Schneider,JP Schneider,2,1,1
31,http_helper,c4dfea7a0cd9308e002283aa196669340db92fc8,Yup,JP Schneider,2014-06-17T04:35:26Z,JP Schneider,JP Schneider,2,1,1
32,http_helper,00c7e0e84f1131156c07afe6f114efa769c25c56,Yup,JP Schneider,2014-06-17T04:34:57Z,JP Schneider,JP Schneider,2,1,1
