,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,httpfs,5d49e6168987f767474fe0438767c8775f6b0e66,Re-licensed to MPL 2.0,Tilman Kamp,2018-12-13T15:57:51Z,tilmankamp,tilmankamp,394,373,21
1,httpfs,5bbe83bfc868c39845d72e7459df4ed6bbec7ca6,Updated dependencies,Tilman Kamp,2018-12-13T13:24:05Z,tilmankamp,tilmankamp,142,82,60
2,httpfs,620deeb2a06f2a1f42a13272feae888b23ee8e7d,Cache exclusions on base of glob patterns,Tilman Kamp,2018-10-24T14:42:09Z,tilmankamp,tilmankamp,640,632,8
3,httpfs,5592b2e94fb16dc5536c750f242ead61bcd19144,Status code handling before parsing,Tilman Kamp,2018-10-10T11:53:45Z,tilmankamp,tilmankamp,10,5,5
4,httpfs,7c79bd54429589f6f89fa285b23a14dabfd7ea7e,Further improved logging,Tilman Kamp,2018-10-10T10:56:37Z,tilmankamp,tilmankamp,15,12,3
5,httpfs,ae371d1230496c0d5516da390bab29a83e61f70a,Fixed missing import,Tilman Kamp,2018-10-10T10:43:41Z,tilmankamp,tilmankamp,1,1,0
6,httpfs,e578b9e5af143a7600a059047bf9a95c4e402846,Extended debugging support,Tilman Kamp,2018-10-10T10:26:56Z,tilmankamp,tilmankamp,58,44,14
7,httpfs,47574fe29fb93f1a23d82a02fd90d4a24f2cb726,Better fault tolerance on interrupted requests,Tilman Kamp,2018-09-28T17:47:20Z,tilmankamp,tilmankamp,33,21,12
8,httpfs,750e1d10ea3177262de006413f85e3878524ffc8,Better error handling,Tilman Kamp,2018-09-27T17:54:56Z,tilmankamp,tilmankamp,14,9,5
9,httpfs,beefd079db46863274ef8afcdc45a6f469012341,WIP,Tilman Kamp,2018-09-26T18:12:55Z,tilmankamp,tilmankamp,666,339,327
10,httpfs,fa7a8e8bbd2bc93f50e96799036bbc5f3fcdcd20,WIP,Tilman Kamp,2018-09-26T12:35:24Z,tilmankamp,tilmankamp,2,1,1
11,httpfs,c4fd1d025ee9d529d63cc2f362c26606a3cc0115,Cloning read buffer for caching,Tilman Kamp,2018-09-26T10:16:55Z,tilmankamp,tilmankamp,2,1,1
12,httpfs,479fc929ad43481b48851ea5b762b7bcb38ef0f5,Caching,Tilman Kamp,2018-09-25T18:13:21Z,tilmankamp,tilmankamp,175,145,30
13,httpfs,c1be4004a49c17ff6d8b017b6c51ef50ec096c61,WIP,Tilman Kamp,2018-09-24T18:58:26Z,tilmankamp,tilmankamp,206,79,127
14,httpfs,8a5445444a2d741ab81ff7d40176184121d6cdee,WIP,Tilman Kamp,2018-09-21T17:01:35Z,tilmankamp,tilmankamp,147,128,19
15,httpfs,7514c407a8bc14e6480b0df240c7fe4ce0ee9053,Legacy support for older request API,Tilman Kamp,2018-09-19T15:01:37Z,tilmankamp,tilmankamp,42,22,20
16,httpfs,11e236a48b8f6f5245de35f10cf36ca42669305e,WIP,Tilman Kamp,2018-09-18T00:01:59Z,tilmankamp,tilmankamp,4,3,1
17,httpfs,16112493b9181b17b1da5f7ad86e4ac4d7e80dc6,Quiet option,Tilman Kamp,2018-09-11T14:46:24Z,tilmankamp,tilmankamp,15,12,3
18,httpfs,73c90ee6e995c8336ed8ddfca5d62ad2720e4840,"long staying connections, https, graceful ending",Tilman Kamp,2018-09-10T21:15:19Z,tilmankamp,tilmankamp,96,65,31
19,httpfs,cd6a75d032544bdc095eabff043d87c8850a2776,WIP,Tilman Kamp,2018-09-07T15:57:03Z,tilmankamp,tilmankamp,115,94,21
20,httpfs,7238331accda618fab9eb55d17f27f599e08a176,Update README.md,Tilman Kamp,2018-09-06T08:36:00Z,tilmankamp,tilmankamp,2,1,1
21,httpfs,d343d195b66030ad800b71aef1cf4bf62494c298,WIP,Tilman Kamp,2018-07-17T17:46:14Z,tilmankamp,tilmankamp,24,1,23
22,httpfs,b63b5dfa428dfde9b03720bd9b99a2b44e9f4c05,WIP,Tilman Kamp,2018-07-16T17:18:11Z,tilmankamp,tilmankamp,74,44,30
23,httpfs,d2bbda29ded204120c65aa26095b0309fbca7f7e,WIP,Tilman Kamp,2018-07-11T16:31:17Z,tilmankamp,tilmankamp,460,318,142
24,httpfs,b24ed89558d40a46ea78262dca59dc003bb7f4f5,Progress,Tilman Kamp,2018-07-10T16:46:25Z,tilmankamp,tilmankamp,91,43,48
25,httpfs,7ec1bf75850c239283db22412b6d8ef29047c10b,Initial code,Tilman Kamp,2018-07-10T15:26:54Z,tilmankamp,tilmankamp,402,402,0
26,httpfs,63f09d0af35c992d3bd6b28786c287a48554631e,Initial commit,Tilman Kamp,2018-07-10T11:42:39Z,tilmankamp,tilmankamp,84,84,0
