,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,iacomus,f7827606d1c0ce17bf40e51b4dadc3ca563b0466,Update release build.,Roberto Agostino Vitillo,2014-11-05T15:58:08Z,vitillo,vitillo,1375,688,687
1,iacomus,f1dd2b18bdbd4ca5d2c9838729040bdf29040e53,Update release build.,Roberto Agostino Vitillo,2014-11-05T15:34:05Z,vitillo,vitillo,1329,674,655
2,iacomus,231aac2ce9def10fd2727d4593a5337e568d69f5,Fix decoding bug on Webkit.,Roberto Agostino Vitillo,2014-11-05T15:26:34Z,vitillo,vitillo,2,1,1
3,iacomus,8bae431d6d337e0fdb0e463e4e0a4078f5e10322,Add optional documentation.,Roberto Agostino Vitillo,2014-11-05T14:45:39Z,vitillo,vitillo,72,50,22
4,iacomus,10f56565dbaf594d7511c0462309173ab3b83567,Use 3 digits after decimal place.,Roberto Agostino Vitillo,2014-10-30T17:09:40Z,vitillo,vitillo,2373,1187,1186
5,iacomus,d21f93cce3bdeae1e1cc614f991adfea3339d057,Use only 2 digits after decimal point.,Roberto Agostino Vitillo,2014-10-30T13:36:14Z,vitillo,vitillo,1337,670,667
6,iacomus,b979bb8526dcaadf9f780445b6b17b0b726c182b,Fix ranking coloring.,Roberto Agostino Vitillo,2014-10-24T12:37:04Z,vitillo,vitillo,1343,672,671
7,iacomus,440107b460aa5367b43467f865d9342806895186,Fix string sorting bug.,Roberto Agostino Vitillo,2014-10-15T15:34:01Z,vitillo,vitillo,1301,653,648
8,iacomus,83820bef698c915a0d68cb73f3929b7ef86d61d3,Add dependencies.,Roberto Agostino Vitillo,2014-09-30T16:26:41Z,vitillo,vitillo,109,109,0
9,iacomus,431bcb2925296dc982dfaa96b49360e0c8938122,"Merge pull request #3 from vitillo/master

Properly encode location URI.",Roberto Agostino Vitillo,2014-09-23T16:42:38Z,vitillo,vitillo,1381,692,689
10,iacomus,9e5f0157560fe18bc21fdeb416c1bb6687d83d20,Use local dependencies.,Roberto Agostino Vitillo,2014-09-23T15:36:23Z,vitillo,vitillo,22,11,11
11,iacomus,40b110a2b1aac949951efaf078d6b04f521c448e,Properly encode location URI.,Roberto Agostino Vitillo,2014-09-23T15:05:20Z,vitillo,vitillo,1359,681,678
12,iacomus,a06384a5f062df3289338e0f5080993d19682571,"Merge pull request #2 from vitillo/master

As the data might not refer to a whole week, don't mention it in the des...",Roberto Agostino Vitillo,2014-09-18T13:25:47Z,vitillo,vitillo,1381,687,694
13,iacomus,ff0c259f579e9f599d5b3319c744d40b1a9307f6,"As the data might not refer to a whole week, don't mention it in the description.",Roberto Agostino Vitillo,2014-09-18T13:24:05Z,vitillo,vitillo,1381,687,694
14,iacomus,36c0d3a92965f74ff03e224df41677d38ced4740,Add cljs middleware.,Roberto Agostino Vitillo,2014-08-24T18:09:07Z,vitillo,vitillo,2,2,0
15,iacomus,24f06e55b44dec3ac5d39d7d19252c468a8a58db,Fix filtering bug.,Roberto Agostino Vitillo,2014-08-19T13:34:46Z,vitillo,vitillo,289,144,145
