,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,icongrid,4af1052decb28c47c087853224cd5ac657a81eb7,additional init code for bug #711013,Dan Walkowski,2011-12-21T00:11:59Z,Dan Walkowski,Dan Walkowski,2,2,0
1,icongrid,38ed1cdc5ee4e0a64b1f5ce7efe52414e6064582,"initialize page array to single empty page, instead of empty array. bug #711013
save grid state after fixup, post icon deletion. also bug #711013",Dan Walkowski,2011-12-20T23:41:20Z,Dan Walkowski,Dan Walkowski,7,4,3
2,icongrid,6d7e1644df84a3b038dc15ccc7f30db5f0c69e8a,prevented adding another icon to the grid if the same guid is added more than once (ie: updated),Dan Walkowski,2011-12-13T00:46:39Z,Dan Walkowski,Dan Walkowski,15,10,5
3,icongrid,1dec9ef722f21e1310fc4d0551c0c419d84502b9,"remove empty pages after deleting an icon, since it might have been the last one on the last page.",Dan Walkowski,2011-12-07T22:33:02Z,Dan Walkowski,Dan Walkowski,5,5,0
4,icongrid,950be78d480f5b0e90f3fe9aecd5d901a0bb8254,"Merge pull request #2 from mozilla/bug/robustness

more robust checking of icon properties during grid constriuction",Dan Walkowski,2011-12-03T00:20:39Z,Dan Walkowski,Dan Walkowski,57,39,18
5,icongrid,88b97962b62a6f77aff8a104f4ab66922c2a8216,"more robust checking of icon properties during grid constriuction, and slight cleanup of demo page",Dan Walkowski,2011-12-03T00:02:00Z,Dan Walkowski,Dan Walkowski,57,39,18
6,icongrid,9128cad843454394a364b2dd07763bd7e7d88fe0,"removed unnecessarily complicated and unneeded update callback registry code.  all gone now, and much simpler.",Dan Walkowski,2011-10-05T23:06:48Z,Dan Walkowski,Dan Walkowski,50,13,37
7,icongrid,ec06ed4d7643bf52fdcc73f32ca75e081c065a8e,changed css of apps tolook much nicer,Dan Walkowski,2011-10-04T21:26:52Z,Dan Walkowski,Dan Walkowski,18,9,9
8,icongrid,1b5c0d77817945bfcc32765b1ab5dee2290f707c,restructured icongrid folder layout and paths to allow for simpler reuse,Dan Walkowski,2011-10-04T20:19:48Z,Dan Walkowski,Dan Walkowski,51,26,25
9,icongrid,8828a82edb30d23788f4e6f06f6dd2baabe1a0ce,updated html to include description of deletion UI,Dan Walkowski,2011-10-03T21:13:42Z,Dan Walkowski,Dan Walkowski,1,1,0
