,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,input-lib,90e59e457c59ece98c26a3dc41d1119ae4fb599d,Update Django to 1.4.4,Mike Cooper,2013-02-19T23:53:46Z,mythmon,mythmon,2,1,1
1,input-lib,c07246d594697926cd783f6a19f6674bb83461af,"[Bug 820050] Upgrade to Django 1.4.3.

This is a security update.",Mike Cooper,2012-12-10T22:10:13Z,mythmon,mythmon,2,1,1
2,input-lib,353890aad1e29a746b132a7f05946eb7764460d5,"[Bug 805015] Upgrade to Django 1.4.

Also includes various library upgrades that were need for django 1.4
compatibility.",Mike Cooper,2012-11-02T17:54:48Z,mythmon,mythmon,42,34,8
3,input-lib,6e3a9bf627d22ee93de62b9fa2b75e3afa4e1b21,[bug 778945] Upgrade to django 1.3.2,Will Kahn-Greene,2012-07-30T23:12:53Z,willkg,willkg,2,1,1
4,input-lib,c0b4f5dcbb25e9b4be803a4f566776a39bfed835,"[bug 756554] Update elasticutils remote

It was previously Dave Dash's repository. This points it to the correct
remote.",Will Kahn-Greene,2012-05-18T19:26:10Z,willkg,willkg,2,1,1
5,input-lib,12d911b38442f0b7b968444f2ac430fdec2366a6,"Merge pull request #1 from nigelbabu/unFOOBAR-django

Fix django's hash.",Tim Watts,2012-05-10T20:29:15Z,readevalprint,readevalprint,2,1,1
6,input-lib,743c83777205eda625da82726bd4e1044a34cb4a,Fix django's hash.,Nigel Babu,2012-05-10T19:58:50Z,Nigel Babu,Nigel Babu,2,1,1
7,input-lib,f7e7e80ae55053d450b5f5f2aeb2dc56e4c83694,adding celery-haystack,Dave Dash,2012-02-09T19:16:43Z,davedash,davedash,416,416,0
8,input-lib,0125410d3397a5453c33116f7c2b099573d32809,adding django-appconf,Dave Dash,2012-02-09T19:15:32Z,davedash,davedash,276,276,0
9,input-lib,de4426b32e3fd123a11ab141a4611e275abfee52,adding versiontools,Dave Dash,2012-02-09T19:15:16Z,davedash,davedash,895,895,0
10,input-lib,60f1c9926390e6a460e5fd07e5cff1524bcf2819,adding pyelasticsearch,Dave Dash,2012-02-08T22:10:26Z,davedash,davedash,5,5,0
11,input-lib,79a4372a3256258e44c08c5ee32d2b3a87b47935,removing pyelasticsearch,Dave Dash,2012-02-08T22:09:26Z,davedash,davedash,401,0,401
