,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,input.mozilla.org,c1709d9fd0ae81e147cd765f68924fcbef82c61a,"fix URL checkbox text on ""sad"" submission page (bug 571064)",Fred Wenzel,2010-06-10T17:11:25Z,Fred Wenzel,Fred Wenzel,5,2,3
1,input.mozilla.org,cff59814706095883ece5c6828c7ba6b87381f9e,apply already chosen search options to terms/demographics/etc. links on search results page,Fred Wenzel,2010-06-10T17:06:03Z,Fred Wenzel,Fred Wenzel,42,27,15
2,input.mozilla.org,140fe6d9475fd8d4189ee0f98a4e3410740264dc,search results pagination (bug 570733),Fred Wenzel,2010-06-10T16:58:30Z,Fred Wenzel,Fred Wenzel,90,67,23
3,input.mozilla.org,82b333513cc3c0d44ea46db65e0579d4278978ad,"allow searching for happy/sad only, linking to these searches from the sentiments box (bug 570771)",Fred Wenzel,2010-06-10T15:22:19Z,Fred Wenzel,Fred Wenzel,85,34,51
4,input.mozilla.org,9700031a6c9b891f475b3d2ddaa8c9713212d636,search url helper should be unicode-safe,Fred Wenzel,2010-06-10T14:57:59Z,Fred Wenzel,Fred Wenzel,4,2,2
5,input.mozilla.org,bc1d2d2582be538bba38d1a52143e0f0e94f6e70,simplify pseudo-beta versions to regular version format (bug 571214),Fred Wenzel,2010-06-10T14:41:46Z,Fred Wenzel,Fred Wenzel,46,39,7
6,input.mozilla.org,693e621e91b80813218441eee56275f1d26f8c3c,Limit user agent validation to major and minor numbers only for pseudo-beta versions (bug 571214),Fred Wenzel,2010-06-10T13:59:52Z,Fred Wenzel,Fred Wenzel,21,16,5
7,input.mozilla.org,8bc188af63d557923a39a05ca882a85c84d7bffb,created intermediary page for users not on the latest beta (bug 570729),Fred Wenzel,2010-06-10T13:43:57Z,Fred Wenzel,Fred Wenzel,60,44,16
8,input.mozilla.org,0582917c4870efecb2f5c165a128a73ba614cca7,search_url helper for building search URLs with default values.,Fred Wenzel,2010-06-10T12:02:42Z,Fred Wenzel,Fred Wenzel,29,26,3
9,input.mozilla.org,ea21fac87775432f97b0bf9cfb477d905a317e8c,Dropping lame Django templates in favor of Jinja2.,Fred Wenzel,2010-06-10T10:35:55Z,Fred Wenzel,Fred Wenzel,228,133,95
10,input.mozilla.org,f4d6d271fb5f56e960dd6becd21a82d5224470c2,search links on demographics numbers (bug 570769),Fred Wenzel,2010-06-09T16:40:05Z,Fred Wenzel,Fred Wenzel,88,34,54
11,input.mozilla.org,345529b9037308b289b2561645fc4bbb1f4b92c2,use linked terms on search results page as well,Fred Wenzel,2010-06-09T15:16:47Z,Fred Wenzel,Fred Wenzel,10,5,5
12,input.mozilla.org,e5f169d887052a97bfea84494b751f0b5ec4be49,Make trends as clickable links to search with default modifiers (bug 570768),Fred Wenzel,2010-06-09T15:10:28Z,Fred Wenzel,Fred Wenzel,29,16,13
13,input.mozilla.org,321d7dd7f8f0bc00adc4047b23724bbc49dc20ae,"Disable ""add URL"" box by default, making it opt-in (bug 570763)",Fred Wenzel,2010-06-09T13:31:56Z,Fred Wenzel,Fred Wenzel,5,2,3
14,input.mozilla.org,3e4f381d5fc3c47aac7a0a338baf86f06b671218,added robots.txt to keep googlebot and friends out (bug 570757),Fred Wenzel,2010-06-09T12:52:39Z,Fred Wenzel,Fred Wenzel,6,6,0
15,input.mozilla.org,e83614a232dda339e0a7dab9c9d8a09cf95f7e2b,adding some view caching to the front page AJAX actions.,Fred Wenzel,2010-06-08T15:28:36Z,Fred Wenzel,Fred Wenzel,28,20,8
16,input.mozilla.org,0a43092be84aa3c4c022342ec18bd9fc7335cfe7,extra search fields: product and version. Firefox only for now.,Fred Wenzel,2010-06-07T17:14:04Z,Fred Wenzel,Fred Wenzel,87,53,34
17,input.mozilla.org,e46234d69985ea4b77fa2beffded809192ef0009,JS/CSS tweaks,Fred Wenzel,2010-06-07T16:30:24Z,Fred Wenzel,Fred Wenzel,10,6,4
18,input.mozilla.org,2a4fe35cb65d4b076d1a1d2a1e609769bc710e85,"oops, wrong version of haystack.",Fred Wenzel,2010-06-07T16:13:24Z,Fred Wenzel,Fred Wenzel,2,1,1
19,input.mozilla.org,3f4412a646f52dea57fb496d96d8b890e4346a60,Reusing search form on the landing page.,Fred Wenzel,2010-06-07T16:10:07Z,Fred Wenzel,Fred Wenzel,33,10,23
20,input.mozilla.org,7e54d538014663d4fb88cc64b4e69a86a36db79a,Advanced search fields: Locale and OS.,Fred Wenzel,2010-06-07T15:59:48Z,Fred Wenzel,Fred Wenzel,193,143,50
21,input.mozilla.org,62ca7d1b2a17976d4f18f89ad6115507376da601,"make product data readonly on admin pages, as it is derived from the user agent.",Fred Wenzel,2010-06-07T15:53:57Z,Fred Wenzel,Fred Wenzel,7,5,2
22,input.mozilla.org,42d0369a4d0e7122a07dfd7a2d6930a3288c4712,simplified math expression,Fred Wenzel,2010-06-07T14:33:52Z,Fred Wenzel,Fred Wenzel,108,2,106
23,input.mozilla.org,86852aa293b7559fc1de39c33130d73bb61322d8,show search box even with JS disabled.,Fred Wenzel,2010-06-07T08:50:50Z,Fred Wenzel,Fred Wenzel,23,13,10
24,input.mozilla.org,f5befd16c11ad9e47500a5ea538ded96bd2b14a6,"restrict results by date, defaults to the last 30 days.",Fred Wenzel,2010-06-04T15:18:37Z,Fred Wenzel,Fred Wenzel,502,495,7
25,input.mozilla.org,c9ce354c33c38071bf6115d7fa723932c335bb40,Aggregates on search results page.,Fred Wenzel,2010-06-04T12:09:45Z,Fred Wenzel,Fred Wenzel,292,232,60
26,input.mozilla.org,b093c3bd75197111bdc95eff0788516dddf79616,added missing link,Fred Wenzel,2010-06-04T08:35:24Z,Fred Wenzel,Fred Wenzel,2,2,0
27,input.mozilla.org,7ab592aa1546c531d509c6ad1f8c7d4dc04e0dfb,"half-done search page. Need: aggregates, narrowing options.",Fred Wenzel,2010-06-02T17:43:36Z,Fred Wenzel,Fred Wenzel,211,193,18
28,input.mozilla.org,b0f9f4f52ba51f69719003b6b1512952f1f08bc1,adding WSGI entry point like the README promises,Fred Wenzel,2010-06-02T10:45:29Z,Fred Wenzel,Fred Wenzel,16,16,0
29,input.mozilla.org,7663b2eaa8f3ddd0f4d72fa3688c9146bebb6838,Disallowed all HTML in feedback submissions.,Fred Wenzel,2010-06-02T10:41:53Z,Fred Wenzel,Fred Wenzel,15,11,4
30,input.mozilla.org,90dbfac3f93f72d2be645bc4506e6ead0d254bc6,auto-update messages on front page. URL preview.,Fred Wenzel,2010-06-02T10:18:08Z,Fred Wenzel,Fred Wenzel,45,38,7
31,input.mozilla.org,dec4110b5d7bb34c7c414f73111df206e5d2cd9b,"wording on submission pages, as well as CSS tweaks",Fred Wenzel,2010-06-02T10:17:49Z,Fred Wenzel,Fred Wenzel,28,17,11
32,input.mozilla.org,83746c76034b796d1a5426fd76a22b902d99bc9b,front-page messages. Do not refresh automatically yet.,Fred Wenzel,2010-06-01T15:18:27Z,Fred Wenzel,Fred Wenzel,74,73,1
33,input.mozilla.org,f67e1dfa58bf0515612e845ae463214d1df38bf8,"bye bye, YUI.",Fred Wenzel,2010-06-01T14:52:16Z,Fred Wenzel,Fred Wenzel,3,2,1
34,input.mozilla.org,224d3b3eec20b8d1455124a55d80deacd896be1b,added demographics box on dashboard,Fred Wenzel,2010-06-01T14:10:27Z,Fred Wenzel,Fred Wenzel,73,69,4
35,input.mozilla.org,2f285684b8dd9e8dd90160c58432668135379d0e,admin interface for opinions and terms. Allow hidden terms.,Fred Wenzel,2010-06-01T13:22:52Z,Fred Wenzel,Fred Wenzel,140,119,21
