,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,jsxgettext,f9dbeed11572c921723837a3de6d2b624c36c6a7,"Add support for concatenated strings

Fixes issue #10.",Burak Yigit Kaya,2013-09-19T15:28:52Z,BYK,BYK,76,73,3
1,jsxgettext,52d8727be797bb5debb91f1cb668caece4cdfc07,"Merge pull request #29 from BYK/patch-1

Fix not specifying a keyword matches anonymous function calls",Zach Carter,2013-09-23T06:06:09Z,zaach,zaach,66,64,2
2,jsxgettext,4fb305c52ecd252bc1d41f078b3f76b760714523,Ignore IntelliJ based IDE files,Burak Yigit Kaya,2013-09-19T11:10:10Z,BYK,BYK,1,1,0
3,jsxgettext,55f38b35c92aa098aefbfd309b9a2efbe1077ce8,Fix bug in expressions.js preventing any further tests to run.,Burak Yigit Kaya,2013-09-19T11:09:02Z,BYK,BYK,2,1,1
4,jsxgettext,e2d40871c7f1897d12db8a86366b71c1b3701328,Add tests for anonymous_function calls,Burak Yigit Kaya,2013-09-19T11:07:49Z,BYK,BYK,61,61,0
5,jsxgettext,4924e33b6510e3a3f626a72558a94098371caf56,Simply check if `callee.name` is truthy,Burak Yigit Kaya,2013-09-19T11:07:32Z,BYK,BYK,5,1,4
6,jsxgettext,4a4acd6f0dedbf56158213cd895d98c29bb982a2,Fix not specifying a keyword matches anonymous function calls,Burak Yiğit Kaya,2013-09-17T12:00:35Z,BYK,BYK,6,5,1
7,jsxgettext,b6ea00147ead6d8e770a85051f67c4e9b5491275,0.1.7,Zachary Carter,2013-08-21T21:16:54Z,zaach,zaach,2,1,1
8,jsxgettext,68da152cf6d8ecfe1085e8819861d90dfb034773,"Merge pull request #28 from ozten/jinja-support-nunjucks

Jinja support nunjucks",Zach Carter,2013-08-21T21:16:27Z,zaach,zaach,14,13,1
9,jsxgettext,9643c03020fe5eee3f68bb0d86cf6cb766a79436,"Merge remote-tracking branch 'upstream/master' into jinja-support-nunjucks

Conflicts:
	lib/cli.js
	lib/jsxgettext.js",Austin King,2013-08-21T20:16:38Z,ozten,ozten,298,277,21
10,jsxgettext,4804bb9fd2124d72d71fdcce2cc4066568b70142,Add support for jinja2 templates for nunjucks,Austin King,2013-08-21T19:19:53Z,ozten,ozten,14,13,1
11,jsxgettext,21f27d6457ab1652c0227e009b9d1e7a2d813b04,update readme,Zachary Carter,2013-08-16T00:50:49Z,zaach,zaach,2,1,1
12,jsxgettext,ade2da5e7d699db4a5be5c7cbd22a9f0135a164a,0.1.6,Zachary Carter,2013-08-16T00:49:36Z,zaach,zaach,2,1,1
13,jsxgettext,50075994e03f204146ca564075c5bf967e72b6e7,switch JS to JavaScript - fixes #27,Zachary Carter,2013-08-16T00:48:34Z,zaach,zaach,4,2,2
14,jsxgettext,7f92f8c513e3f62603936c0ff8bbe5e42c02d966,0.1.5,Zachary Carter,2013-08-14T02:12:30Z,zaach,zaach,2,1,1
15,jsxgettext,0b9e17e49bc81d0afaf0b92034dbfa554258e74a,remove log,Zachary Carter,2013-08-14T02:12:22Z,zaach,zaach,1,0,1
16,jsxgettext,976c26e614d9f71f512a8aec2929b78a7d0c71c9,"Merge pull request #26 from andris9/master

msgid values needs to be escaped when folded",Zach Carter,2013-08-14T02:10:55Z,zaach,zaach,34,32,2
17,jsxgettext,ff119eecf70b975e2458a510a4f6a6a3162eeadb,msgid values needs to be escaped when folded. currently only short strings get escaped properly but long strings are just split and used as is without escaping. This commit forces JSON.stringify to every line of folded msgid,Andris Reinman,2013-07-30T19:57:45Z,andris9,andris9,34,32,2
18,jsxgettext,356f39ca50d18ffdf074f3b3e793e28c34978b6e,0.1.4,Zachary Carter,2013-07-26T21:46:58Z,zaach,zaach,2,1,1
19,jsxgettext,3fe26236c6589bebb947da8aaf510dc29b208ccb,handle empty arguments - fixes #25,Zachary Carter,2013-07-26T21:46:45Z,zaach,zaach,18,18,0
20,jsxgettext,acdc878c54ec3b99702a06ea3fecfc066d51e5d7,0.1.3,Zachary Carter,2013-06-25T23:53:28Z,zaach,zaach,2,1,1
21,jsxgettext,3f58b80bed4c65d9d3830ddaf57d5462f954b066,support member exprs - fixes #24,Zachary Carter,2013-06-25T23:53:07Z,zaach,zaach,77,72,5
22,jsxgettext,95577b0de8a993ff5efd4ea2cad5f2034b920dd8,0.1.2,Zachary Carter,2013-06-20T23:29:21Z,zaach,zaach,2,1,1
23,jsxgettext,ecc7ce45527458d6fdd8c56e15f584097c45c05a,"Merge pull request #23 from lloyd/issue22

support `include` syntax in EJS",Zach Carter,2013-06-20T23:28:40Z,zaach,zaach,27,27,0
24,jsxgettext,5510662ea731b7bdb9f3d9fcbd12944edaf67337,fix and test for issue #22 - ignore non-javascript include statements in EJS,Lloyd Hilaiel,2013-06-20T21:39:55Z,lloyd,lloyd,7,5,2
25,jsxgettext,c3c54d3019b2ba0346c13544b1b8d54035c2ca6e,a test the demonstrates the EJS parsing error - issue #22,Lloyd Hilaiel,2013-06-20T21:31:55Z,lloyd,lloyd,24,24,0
26,jsxgettext,9b3415e796889b6f8591a868ad516bca98749352,0.1.1,Zachary Carter,2013-06-18T20:55:12Z,zaach,zaach,2,1,1
27,jsxgettext,edfc8fe50b45806795cbf29dbaef12b278fd9710,estraverse removed its previous version from npm -_-,Zachary Carter,2013-06-18T20:53:46Z,zaach,zaach,2,1,1
28,jsxgettext,8c6e10b791bca83ce5e70740cc1fba2a48f1b70f,0.1.0,Zachary Carter,2013-06-14T18:58:57Z,zaach,zaach,2,1,1
29,jsxgettext,2a2da9d71134b300afa20ae67828dbd17eadd7aa,update dependencies and tests,Zachary Carter,2013-06-14T18:58:44Z,zaach,zaach,53,42,11
30,jsxgettext,c9ee6ea0e3e1ea3e8282c7c75361d0f717a073fb,"Merge pull request #20 from vladikoff/master

Fixing repository npm warnings",Zach Carter,2013-06-14T18:24:59Z,zaach,zaach,4,4,0
31,jsxgettext,f927340717183a028e70dba12049c682ece861ff,"Merge branch 'jade-support' of git://github.com/kaareal/jsxgettext into kaareal-jade-support

Conflicts:
	package.json",Zachary Carter,2013-06-14T18:23:00Z,zaach,zaach,84,82,2
32,jsxgettext,e3aef8ecb6ed4bcb0ffe91f844d896d11a6d48f0,Fixing repository npm warnings,Vlad Filippov,2013-06-12T15:30:08Z,vladikoff,vladikoff,4,4,0
33,jsxgettext,6cc33712c65a81914a13e474a4e16bdbbdd62714,0.0.6,Zachary Carter,2013-06-04T16:58:57Z,zaach,zaach,2,1,1
34,jsxgettext,d6f976a110efb6c1f9f924bba9d344d842b2dc6d,pin down dependency versions,Zachary Carter,2013-06-04T16:58:50Z,zaach,zaach,6,3,3
35,jsxgettext,f5ea6f8a23616079f8f43e8ffde4a60ef71a1350,"Merge branch 'master' of git://github.com/zaach/jsxgettext

Conflicts:
	lib/jsxgettext.js",Austin King,2013-06-04T16:34:27Z,ozten,ozten,663,635,28
36,jsxgettext,dfffa3af40a272cdf79b56f5be02ac3c25eb8f8e,tweaks,Kaare Larsen,2013-05-04T11:04:17Z,kaareal,kaareal,4,3,1
37,jsxgettext,f7a37f715d5a32596653c45d64f46710a0e4277f,fixed regexp,Kaare Larsen,2013-05-02T21:51:38Z,kaareal,kaareal,17,10,7
38,jsxgettext,40df549ea85449d1c8122a2c67a69a8624a530ff,removed options,Kaare Larsen,2013-05-02T21:07:09Z,kaareal,kaareal,3,0,3
39,jsxgettext,eaa201989e086343b3cc196fb0828585ec7b2cb5,rewrote parseJade,Kaare Larsen,2013-05-02T19:58:19Z,kaareal,kaareal,85,61,24
40,jsxgettext,91fad80a305b0ec7dc8b6f7130518a07340d18dc,Added basic support for jade,Kaare Larsen,2013-04-22T18:01:32Z,kaareal,kaareal,43,42,1
41,jsxgettext,f23258f692c67874332f607fef75c110e407dcf7,"Merge pull request #14 from fmarier/add_copy_of_mpl2

Add missing LICENSE text",Zach Carter,2013-04-12T22:37:43Z,zaach,zaach,373,373,0
42,jsxgettext,ea33ce7e4d64107b92ee9d92d9c213be90855971,Add missing LICENSE text,Francois Marier,2013-04-12T20:55:24Z,fmarier,fmarier,373,373,0
43,jsxgettext,b70ff84185515497c8af8640dd7c129e9e4106a8,0.0.5,Zachary Carter,2013-04-12T16:37:38Z,zaach,zaach,2,1,1
44,jsxgettext,c15459891829bb64968067029b3bba9f97566889,"Merge pull request #13 from fmarier/use_estraverse

Use estraverse since traverse was removed from escodegen",Zach Carter,2013-04-12T14:43:20Z,zaach,zaach,4,3,1
45,jsxgettext,8acd2c9c07a1b817ab9ced99d3b1626362123c86,"Use estraverse since traverse was removed from escodegen (fixes #12)

The traverse function was removed in escodegen 0.0.16 and replaced
with an extra dependency on estraverse:

  https://github.com/Constellation/escodegen/commit/237e5f23a4f66027b4fe1647ddda974d7a7271ec",Francois Marier,2013-04-12T04:30:24Z,Francois Marier,Francois Marier,4,3,1
46,jsxgettext,c3bbdac8ab9e3ffbce1a830e1e6a10ce11035dc6,0.0.4,Zachary Carter,2012-07-31T00:36:01Z,zaach,zaach,2,1,1
47,jsxgettext,6fe098bd4ef565e87f5d304b13db9d56036745bf,Fix ejs to js code generation and test suite - fixes issue #9,Zachary Carter,2012-07-31T00:33:18Z,zaach,zaach,45,32,13
48,jsxgettext,d3145d0f395e16913971f27442c4e8fbfda070cb,strip leading hash bangs - fixes #8,Zachary Carter,2012-07-30T23:39:25Z,zaach,zaach,42,38,4
49,jsxgettext,ae173fa221282e40c538de5ff00ccc72a3e9069b,0.0.3,Zachary Carter,2012-07-24T23:53:43Z,zaach,zaach,2,1,1
50,jsxgettext,11bbe4b298185a098909d5264f99dd4fd74cf004,Merge branch 'master' of github.com:zaach/jsxgettext,Zachary Carter,2012-07-21T01:25:39Z,zaach,zaach,190,187,3
51,jsxgettext,715822b700208c241c97b3bc0ff09bd6e47ad5c5,"Merge pull request #7 from ozten/join-existing-tests

Add tests for --join-existing.",Zach Carter,2012-07-21T01:24:07Z,zaach,zaach,190,187,3
52,jsxgettext,835da5e6f6fbb78021d92c502521d7afb00fdc34,"Add tests for --join-existing.

A couple (lamely implemented) tweaks to make output more closely
match xgettext's comments for multiple source files.",Austin King,2012-07-19T03:14:57Z,ozten,ozten,190,187,3
