,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,jupyter-notebook-gist,b30cdf78ad874df2dcafcc6e0c35eaf19aee32d5,"Merge pull request #30 from mreid-moz/include_package_files

Include 'gist.js' in the generated package.",musicaljelly,2016-02-03T21:57:23Z,musicaljelly,musicaljelly,3,2,1
1,jupyter-notebook-gist,80a2358b788b11426ea373096a0f8ae8c924d22a,More test cases for get_notebook_contents and request_access_token.  Added more sanity checks to pass tests.,agjwong,2016-02-03T20:27:26Z,agjwong,agjwong,104,95,9
2,jupyter-notebook-gist,184131dd6de467157838eebcfa7787645bc2c4ca,"Include 'gist.js' in the generated package.

By default it appears that only .py files are included in a PyPI
package. Add a snippet to explicitly include the 'gist.js' file.

Bump the package version too.",Mark Reid,2016-02-03T20:20:32Z,mreid-moz,mreid-moz,3,2,1
3,jupyter-notebook-gist,f69dbe8ef862cfc336738dc941b994bea6af8ba2,Update to use Jupyter modals instead of alerts.,James Liu,2016-02-03T06:40:25Z,yeah568,yeah568,8,7,1
4,jupyter-notebook-gist,ba5bc7a7aad2a4dd945a4c4e4fbf6c52e4da4809,Add basic check to see if client id has been changed from the default values.,James Liu,2016-02-03T06:32:14Z,yeah568,yeah568,16,16,0
5,jupyter-notebook-gist,8ec12096e4015c3e02cd4952a5291d2d2a423705,Added tests + sanity checks for extract_notebook_path_from_args and get_notebook_filename,agjwong,2016-02-01T06:03:34Z,agjwong,agjwong,194,186,8
6,jupyter-notebook-gist,62283a7ade3e5c1661655402806c340fb1b33819,initial implementation of loading all user gists,shaybeau731,2016-02-01T04:26:59Z,shaybeau731,shaybeau731,78,47,31
7,jupyter-notebook-gist,29b7fb7c307beeb8d2605122668b6ac819d235c6,rendering of 'last updated' date,shaybeau731,2016-01-28T20:33:47Z,shaybeau731,shaybeau731,22,19,3
8,jupyter-notebook-gist,732b0b91c819da91b5e1989ab3cfa0704942e601,merge master to load-users-gists branch,shaybeau731,2016-01-28T20:16:02Z,shaybeau731,shaybeau731,115,87,28
9,jupyter-notebook-gist,92517361505f2cbe6014a2e54ecf6b8a933853f6,"Merge pull request #25 from mreid-moz/install-with-pip

Install with pip",Mark Reid,2016-01-28T14:17:24Z,mreid-moz,mreid-moz,78,55,23
10,jupyter-notebook-gist,7910776c5288e8eaa4eda691c217f56ff848084e,"Added empty __init__.py
Added version number and description to setup.py",Musicaljelly,2016-01-28T00:18:45Z,musicaljelly,musicaljelly,3,2,1
11,jupyter-notebook-gist,dfbaec7dd38d7995d4926e6053a2199f786aefcd,refactoring of load gists from url function,shaybeau731,2016-01-27T19:35:06Z,shaybeau731,shaybeau731,101,39,62
12,jupyter-notebook-gist,24d14255e634e10e1a46feb30ea920d319009339,prompt user for GitHub username to load public gists,shaybeau731,2016-01-27T06:10:16Z,shaybeau731,shaybeau731,70,58,12
13,jupyter-notebook-gist,eec5d36168d06d318d3391de9c684f4364f19f65,"Minor fixes in setup.py.
Added readme instructions for installing with pip.",Musicaljelly,2016-01-25T21:27:07Z,musicaljelly,musicaljelly,15,12,3
14,jupyter-notebook-gist,81451ae673885fafb3ce3627468609f103b7b9e2,basic load gists modal dialog,shaybeau731,2016-01-24T22:09:27Z,shaybeau731,shaybeau731,215,80,135
15,jupyter-notebook-gist,6f253a1b34f19c7c6856e76108e384938603bd12,Added tests and some corner cases,agjwong,2016-01-24T21:54:51Z,agjwong,agjwong,184,183,1
16,jupyter-notebook-gist,d756d52245890ebbe5f84a39d99a0221b0cec16b,Merge branch 'master' of https://github.com/mreid-moz/jupyter-notebook-gist into install-with-pip,Musicaljelly,2016-01-22T22:05:20Z,musicaljelly,musicaljelly,28,22,6
17,jupyter-notebook-gist,76627e27db52fcb9f271e2ac47a18a79031d88a8,Project can now be installed via 'pip install jupyter-notebook-gist',Musicaljelly,2016-01-22T22:03:02Z,musicaljelly,musicaljelly,68,45,23
18,jupyter-notebook-gist,587c951040ccfbb3273c0419e1d01f649fc78a06,merge master into branch,shaybeau731,2016-01-21T20:24:35Z,shaybeau731,shaybeau731,335,318,17
19,jupyter-notebook-gist,df1a8b2dbfa0e6e962e67df817e0c8ea13245a69,"Merge pull request #24 from mreid-moz/js_error_handling

Add some additional validation steps for Javascript",Mark Reid,2016-01-21T19:59:09Z,mreid-moz,mreid-moz,28,22,6
20,jupyter-notebook-gist,27538d5603ac538b82c78625bd183b1d7ec755d4,Remove jQuery from dependencies and update prompt message,James Liu,2016-01-20T22:33:19Z,yeah568,yeah568,4,2,2
21,jupyter-notebook-gist,fedc198d9b875d72f1dda67d906609374dc14d7e,"Merge pull request #18 from mreid-moz/fix_create_new_gist

Assign the response to the expected variable",James Liu,2016-01-18T19:47:00Z,yeah568,yeah568,2,1,1
22,jupyter-notebook-gist,8b2ee4b1d88805238d4dacde8c10e07955360363,Assign the response to the expected variable,Mark Reid,2016-01-18T17:14:22Z,mreid-moz,mreid-moz,2,1,1
23,jupyter-notebook-gist,8358baf37b682fb901fdab1176d664a639cb4e5d,Add basic URL validation.,James Liu,2016-01-17T17:00:23Z,yeah568,yeah568,20,13,7
24,jupyter-notebook-gist,b07a4dfa88546cb9a53b052518d3ef3c1b45c3cb,"Merge pull request #17 from mreid-moz/refactor_and_clean

Refactor and clean",Mark Reid,2016-01-17T16:28:59Z,mreid-moz,mreid-moz,177,129,48
25,jupyter-notebook-gist,6330caa63e89a223d54b20545a474d0e23912fcf,Moved functions into base class,agjwong,2016-01-17T16:27:21Z,agjwong,agjwong,59,30,29
26,jupyter-notebook-gist,4eaa9c199471a15a986bd2765c227f0b103cfe0f,Add checks for empty value/cancel button on prompts,James Liu,2016-01-17T16:23:56Z,yeah568,yeah568,10,10,0
27,jupyter-notebook-gist,50006158fa0ffa8cb2642f5b9f05f96a52ccf2c4,"Merge branch 'master' into refactor_and_clean

Conflicts:
	create_gist.py",agjwong,2016-01-17T16:21:44Z,agjwong,agjwong,143,126,17
28,jupyter-notebook-gist,3eb694f911444ab1089f7ae604d3a88607ed09ea,"Merge pull request #15 from mreid-moz/load_from_gist_url

Load from notebook url",Mark Reid,2016-01-17T16:07:30Z,mreid-moz,mreid-moz,115,111,4
29,jupyter-notebook-gist,d122807c150dc0fee4a164e7878d0392359784e7,Refactored create_gist and made modular functions for testing,agjwong,2016-01-17T16:06:48Z,agjwong,agjwong,122,78,44
30,jupyter-notebook-gist,712dfe5e1f91dcd227d5417abf1f84a2e0c2785d,"Merge branch 'master' into load_from_gist_url

# Conflicts:
#	create_gist.py
#	extensions/gist.js",James Liu,2016-01-17T16:02:00Z,yeah568,yeah568,21,11,10
31,jupyter-notebook-gist,952471a88a603e75f262b4067e798e697d86f353,"Add check to see if file already exists, and prompt the user for a new name if it does.",James Liu,2016-01-17T15:57:22Z,yeah568,yeah568,57,32,25
32,jupyter-notebook-gist,717bb3bc42fa08400a698712805bde4f87e0f803,Refactored code and added BaseHandler class,agjwong,2016-01-17T15:35:30Z,agjwong,agjwong,109,77,32
33,jupyter-notebook-gist,a9e5ce8b6e73bea3278a8d42e2d6c524af128f17,"Merge pull request #14 from mreid-moz/cleanup_js

Remove a console.log, cleanup comments.",musicaljelly,2016-01-17T15:23:20Z,musicaljelly,musicaljelly,15,6,9
34,jupyter-notebook-gist,365068966e29280936cfafc87a1e3cb8a5b02e87,"Merge pull request #16 from mreid-moz/tornado-logging

Use tornado logging instead of print statements",Mark Reid,2016-01-17T15:08:15Z,mreid-moz,mreid-moz,6,5,1
35,jupyter-notebook-gist,818ebb73a35401191c7753659a3a780f2d722881,Use tornado logging instead of print statements,Lewis Nicolle,2016-01-17T17:46:44Z,lewisnicolle,lewisnicolle,6,5,1
36,jupyter-notebook-gist,ae9016e3e4de6ba4bc6f3bcc5d010e1c08a3517e,Change downloading notebook  to be handled  by requests and remove extra imports,James Liu,2016-01-17T14:53:29Z,yeah568,yeah568,9,4,5
37,jupyter-notebook-gist,2b5bdb00dce5cd03d8a7021067a15b63b194985a,Add changes that add support for .ipynb linking,James Liu,2016-01-17T14:29:40Z,yeah568,yeah568,81,48,33
38,jupyter-notebook-gist,7d07f028aff793b9968d36e7ff2a9c0159be01c0,"Remove a console.log, cleanup comments.",Mark Reid,2016-01-17T14:14:21Z,mreid-moz,mreid-moz,15,6,9
39,jupyter-notebook-gist,7cdeb1cc9a3dcdfbe85b9b434b70f8785b67f654,Fix merge conflict,James Liu,2016-01-17T14:13:33Z,yeah568,yeah568,4,0,4
40,jupyter-notebook-gist,68db80c2ac2f9c4e2a7d831457b0c1bfca377d93,"Merge remote-tracking branch 'origin/master' into load_from_gist_url

# Conflicts:
#	create_gist.py",James Liu,2016-01-17T14:12:14Z,yeah568,yeah568,110,68,42
41,jupyter-notebook-gist,0eb1fe6fa49ebb2952b3eab6fdb74ec420bc8826,make handler for downloading a notebook a little bit more generic,James Liu,2016-01-17T14:11:16Z,yeah568,yeah568,8,4,4
42,jupyter-notebook-gist,ab14e626e9ce1c9a2404eb02e508e588d0abbce7,server extension to load user gists,shaybeau731,2016-01-17T02:58:01Z,shaybeau731,shaybeau731,161,128,33
43,jupyter-notebook-gist,74e84e80090a76c0551be04ed682b8c4989e8370,"Merge pull request #13 from mreid-moz/improve-error-handling

Improve error handling",Mark Reid,2016-01-16T22:03:01Z,mreid-moz,mreid-moz,107,65,42
44,jupyter-notebook-gist,2eb26d3559c02f38a4f1bcb25105952a2b0c10bb,Renamed some stuff and removed unneeded returns,Lewis Nicolle,2016-01-17T01:01:00Z,lewisnicolle,lewisnicolle,28,10,18
45,jupyter-notebook-gist,4e3e7423859a75fea8914f3a854862f890591414,Improved error message,Lewis Nicolle,2016-01-17T00:56:09Z,lewisnicolle,lewisnicolle,5,3,2
46,jupyter-notebook-gist,3f9cf7ab099e25956b80fb44ffbee319366a3d04,Merge branch 'master' of https://github.com/mreid-moz/jupyter-notebook-gist into improve-error-handling,Lewis Nicolle,2016-01-17T00:29:52Z,lewisnicolle,lewisnicolle,90,70,20
47,jupyter-notebook-gist,d5d044d14772b26bf5d8fa8c3b6068b8b4e48e47,Added more error handling,Lewis Nicolle,2016-01-16T23:57:08Z,lewisnicolle,lewisnicolle,41,27,14
48,jupyter-notebook-gist,d9b708483404601cb9c2ccf364c93242e4c5304a,Merge branch 'fix-gist-name' into improve-error-handling,Lewis Nicolle,2016-01-16T23:13:22Z,lewisnicolle,lewisnicolle,73,46,27
49,jupyter-notebook-gist,cdf4e8b6e7db8ac853053a9011f60420ed949c52,General cleanup and first pass at error handling,Lewis Nicolle,2016-01-16T23:11:04Z,lewisnicolle,lewisnicolle,73,46,27
50,jupyter-notebook-gist,f5b3a9246d3572b75a38323ce59665bd15ed5de7,Fix gist name,Lewis Nicolle,2016-01-16T22:26:09Z,lewisnicolle,lewisnicolle,2,1,1
51,jupyter-notebook-gist,16d11f4c4c1bd0f7548e06ac783af0898472ee3f,Load notebook from gist URL,James Liu,2016-01-16T21:05:58Z,yeah568,yeah568,91,89,2
52,jupyter-notebook-gist,05d4d393ab6b0e1356ca51fc296ea570f3b49cbd,"Merge pull request #12 from mreid-moz/Editing_gists

Creating a new revision for existing gists",Mark Reid,2016-01-16T20:56:26Z,mreid-moz,mreid-moz,56,47,9
53,jupyter-notebook-gist,84bb9a180a2b7d0801a2ff26346283674788c114,"Merge pull request #11 from mreid-moz/dynamic_redirect_uri_base

Dynamic redirect uri base",Adam Wong,2016-01-16T20:53:52Z,agjwong,agjwong,18,16,2
54,jupyter-notebook-gist,836e400aeffb53e083fb37d304a12dcb6ffbd8c5,Changing all camelCash to pothole variables.,agjwong,2016-01-16T20:53:28Z,agjwong,agjwong,28,14,14
55,jupyter-notebook-gist,5f5f718d3ea7c843c907976587bbad2bc1dc2d6b,Added accept format for requests to headers,agjwong,2016-01-16T20:38:31Z,agjwong,agjwong,10,5,5
56,jupyter-notebook-gist,cb50cdd531e636fe56f1284b62c6d6820c44c406,"When exporting a notebook to GitHub gists, it will now:
1) Save as a new gist if no other gists exist with the notebook files
2) Create a new revision of an existing gist if possible
3) Error if there are multiple gists with the same files.",agjwong,2016-01-16T20:26:34Z,agjwong,agjwong,52,45,7
