,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,jydoop,da0b6ff3682b1735796107b7045d55bcf3fe9978,Fix the instructions for running local analysis.,Mark Reid,2013-04-09T14:11:54Z,mreid-moz,mreid-moz,6,3,3
1,jydoop,e60c5076565a6861477283a113d30761b8aff58b,Merge branch 'hbase_full_scan' with rename of pydoop->jydoop,Benjamin Smedberg,2013-04-08T23:14:50Z,bsmedberg,bsmedberg,56,56,0
2,jydoop,85a98f2487f28a0099f80aadf253a997d4daec71,"Merge pull request #15 from bsmedberg/jydoop-rename

Rename pydoop->jydoop",Benjamin Smedberg,2013-04-08T23:08:57Z,bsmedberg,bsmedberg,64,32,32
3,jydoop,2fdda52ddda15c838a5d51d72f4809beb5024aff,Rename pydoop->jydoop because there is already a pretty well-known project called pydoop.,Benjamin Smedberg,2013-04-08T23:07:14Z,bsmedberg,bsmedberg,64,32,32
4,jydoop,fe02b06326d33da175665a21be988718e470ee2d,Fix conversion to byte[],Mark Reid,2013-04-08T19:51:47Z,mreid-moz,mreid-moz,2,1,1
5,jydoop,9326ca828a046d63d6dc15742c2de2c50ff428ca,Add an example to analyze Health Report data.,Mark Reid,2013-04-08T19:33:43Z,mreid-moz,mreid-moz,31,31,0
6,jydoop,364e7ca6ba35575ce454d7dcabf9e6e56af3018a,Add a full-table hbase scanner for FHR,Mark Reid,2013-04-08T19:33:19Z,mreid-moz,mreid-moz,25,25,0
7,jydoop,bba8aa970603d3260f57a7a8d028d412bf60c917,"Merge pull request #13 from bsmedberg/customcolumns

Allow scripts to specify which hbase columns they are expecting.",tarasglek,2013-04-08T17:56:32Z,tarasglek,tarasglek,134,128,6
8,jydoop,daa6636d67d67f48f7eebfa99ac0c89263056b67,"Clarify error message for json.loads("""")",Benjamin Smedberg,2013-04-08T14:30:25Z,bsmedberg,bsmedberg,2,1,1
9,jydoop,a419cd442c752f4f6b96da78efe67aa1c6b41d2b,"When a cell is not present in hbase, convert it to None.",Benjamin Smedberg,2013-04-08T14:29:44Z,bsmedberg,bsmedberg,2,1,1
10,jydoop,0faab76e175c819bdc65b018cdd005ded404a611,"Example script which groups crash reports by (signature, graphicsvendor)",Benjamin Smedberg,2013-04-08T14:29:01Z,bsmedberg,bsmedberg,86,86,0
11,jydoop,72e1747d398e15a7fe9f200bd5235e370b778fde,Make the column list customizable by annotating the column list from script (preparation for crash-stats queries).,Benjamin Smedberg,2013-04-08T11:45:18Z,bsmedberg,bsmedberg,46,41,5
12,jydoop,71553c2493f2b3c89a2e3ea0f4a3b8af920e0e07,Add reasonable .gitignore,Benjamin Smedberg,2013-04-06T18:12:26Z,bsmedberg,bsmedberg,7,7,0
13,jydoop,64ae9ecb0267120d539a01b34c08331f44689443,"Merge pull request #12 from bsmedberg/JacksonJSON

Use Jackson for JSON",tarasglek,2013-04-06T17:42:15Z,tarasglek,tarasglek,190,166,24
14,jydoop,3ffed3736e7669e41401d86a0aa04c7ef8f03cde,Use Jackson instead of Jyson for speed. See also TODO for future speed improvements in JacksonWrapper.loads.,Benjamin Smedberg,2013-04-06T16:35:28Z,bsmedberg,bsmedberg,154,148,6
15,jydoop,1ab4f6dc45872613b8916788a386be315b08d871,"Make the map/combine/reduce invocations more efficient. Convert and store the ContextWrapper once. Turn keys and values into PyString directly rather than relying on dynamic conversion, and use byte-expansion rather than unicode conversion for the key and value; keys are not ASCII and unicode conversion on them fails miserably.",Benjamin Smedberg,2013-04-06T16:00:06Z,bsmedberg,bsmedberg,36,18,18
16,jydoop,b3f8dd517c32bd8f49ecfaecd34daeae548d6456,"Merge pull request #11 from bsmedberg/FileDriver

File driver changes for proper importing and combining",Benjamin Smedberg,2013-04-06T15:09:20Z,bsmedberg,bsmedberg,21,19,2
17,jydoop,ad0e12634010378097f804cdf0b98b837f986b65,Make FileDriver work with no combine function.,Benjamin Smedberg,2013-04-06T15:07:28Z,bsmedberg,bsmedberg,2,2,0
18,jydoop,bdf5dce603cab0a98cb172d7523632a3fe636e9f,"The combine function shouldn't recombine, so keep combine results separate from map results and merge them after we're finished mapping.",Benjamin Smedberg,2013-04-05T15:39:37Z,bsmedberg,bsmedberg,15,14,1
19,jydoop,da77cb341d76edcda332273052ed4e6c2d5dbbc4,Merge branch 'master' of https://github.com/tarasglek/pydoop into FileDriver,Benjamin Smedberg,2013-04-05T15:37:00Z,bsmedberg,bsmedberg,0,0,0
20,jydoop,3a669093294dfc94df8455f3f7279118ae29c151,"Merge pull request #10 from bsmedberg/telemetryutils

Implement HBase table and range selection as a python library `telemetryutils`",Benjamin Smedberg,2013-04-05T15:35:36Z,bsmedberg,bsmedberg,116,83,33
21,jydoop,865fd0c913d5394ba3dcc137bac80b7ec6b40d0a,Set up sys.path properly in FileDriver to enable imports.,Benjamin Smedberg,2013-04-05T14:35:18Z,bsmedberg,bsmedberg,4,3,1
22,jydoop,7aea4be6afcbea7727c1a63a0edae61300d6cc12,Remove debugging print and correct formatting.,Benjamin Smedberg,2013-04-04T22:05:19Z,bsmedberg,bsmedberg,4,1,3
23,jydoop,14c00d9b5bc9e371397813d69ae7038502ee3479,"Implement HBase table and range selection as a python library `telemetryutils`. This prepares for being able to use pydoop with crash-stats and FHR as well. NOTE: this requires the change from https://github.com/mozilla-metrics/akela/pull/7, removing and re-downloading the akela jar.",Benjamin Smedberg,2013-04-04T20:47:09Z,bsmedberg,bsmedberg,118,85,33
24,jydoop,36438621e6e75adf2a79d2a23685335fe40eabb3,Address review comments from pydoop PR 9,Benjamin Smedberg,2013-04-04T19:14:01Z,bsmedberg,bsmedberg,28,12,16
25,jydoop,612663a41b249cdf4a71e5ae9c973ae6059d87b7,"Merge pull request #9 from bsmedberg/setpath

The idea looks good, please fix the nits in followup


Allow relative imports to work by adding an entry to sys.path, and add a pydoop utility library which will be a repository of shared functons.",tarasglek,2013-04-04T19:08:24Z,tarasglek,tarasglek,90,63,27
26,jydoop,30f2b97b6703dcaa824872ea70c456e125f85640,Set a more complete name for jobs so that the job information shows up in the admin console.,Benjamin Smedberg,2013-04-04T18:58:55Z,bsmedberg,bsmedberg,4,3,1
27,jydoop,ca5aa64342736211679842b46634ec15844a1fdc,"Allow relative imports to work by adding an entry to sys.path, and add a pydoop utility library which will be a repository of shared functons.",Benjamin Smedberg,2013-04-04T18:50:33Z,bsmedberg,bsmedberg,86,60,26
