,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,kaldi,1c7e7d75640babbfc0add5beb52f1af1966f6a3e,"documentation fixes and extensions

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@24 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-16T05:57:31Z,danpovey,danpovey,86,76,10
1,kaldi,15dfdbe3337af856b7104fe625130bd8364abf94,"Documentation changes and script fixes.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@23 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-16T05:01:35Z,danpovey,danpovey,459,73,386
2,kaldi,5573e2ba55f0d90b73807551fe6af9a7ffed642f,"History changes.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@22 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-16T02:03:55Z,danpovey,danpovey,2,1,1
3,kaldi,b24472dee35e420229c2a54086bb5521c935a499,"History changes.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@21 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-16T01:58:37Z,danpovey,danpovey,7,4,3
4,kaldi,6ec9537eeff1ae0360d55c94884bc0731659338b,"History changes.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@20 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-16T01:57:01Z,danpovey,danpovey,10,5,5
5,kaldi,325541e5d90b8aac796c10793ac025e08d61cf3e,"History changes.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@19 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-16T01:55:41Z,danpovey,danpovey,8,6,2
6,kaldi,c594940597d4389f901d0e46ddd022ca837241c7,"History changes.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@18 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-16T01:49:03Z,danpovey,danpovey,2,1,1
7,kaldi,b0a0454a81198d4e405dbe6c30c32331bb5f8a51,"History changes.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@17 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-16T01:48:10Z,danpovey,danpovey,7,5,2
8,kaldi,f6904fb9af885a10432817946aaa74df648c5220,"Deleted stuff we don't need; minor fixes, some related to Valgrind issues and others cosmetic.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@16 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T20:23:01Z,danpovey,danpovey,4426,37,4389
9,kaldi,e4616c96dcde3eb7fee7c91cd88ce4790c89b384,"Minor changes to install script.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@15 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T19:35:05Z,danpovey,danpovey,24,17,7
10,kaldi,701775fdd2cda0eaf53b1a8be182337348ca50bc,"Fixes to SGMM training scripts.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@14 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T18:37:03Z,danpovey,danpovey,4,2,2
11,kaldi,e7ee0537bbee7d300f155eaf9f35b3d4cfe3f686,"Fixes to SGMM training scripts.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@13 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T18:26:18Z,danpovey,danpovey,19,17,2
12,kaldi,8661ed1ea675b17472151694d8ab6eb5ae3929b9,"Configuration script and documentation changes.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@12 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T07:24:47Z,danpovey,danpovey,127,66,61
13,kaldi,fc59d023f84b79bea1bb801e715e2d900e40f650,"Fixes to SGMM training scripts.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@11 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T06:00:40Z,danpovey,danpovey,6,4,2
14,kaldi,4330846ff0b3e34abe5be6a90c7abec931e0c95c,"Script changes (esp. RE SGMMs).

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@10 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T05:18:18Z,danpovey,danpovey,213,113,100
15,kaldi,e92655c7be85dbf43cae8a6da324fc27de9cd1df,"Modified install script.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@9 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T02:24:39Z,danpovey,danpovey,4,3,1
16,kaldi,273777b907977fa152e07435c73ff69158a488fb,"Changes to documentation.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@8 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-15T00:56:09Z,danpovey,danpovey,22,14,8
17,kaldi,f56203166d4cdba4a779d4b1659dae78e463dfc5,"Fixed input to Doxygen.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@6 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-14T22:54:06Z,danpovey,danpovey,2,1,1
18,kaldi,17c39a51b087f38c4d57d4f630dad7389f2eeed4,"Fix to doxyfile.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@5 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-14T22:32:30Z,danpovey,danpovey,14,2,12
19,kaldi,55e3e249390fc6fc2811f7c4bd4f724bb0f5e063,"Changed install instructions.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@4 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-14T22:31:05Z,danpovey,danpovey,5,3,2
20,kaldi,10e9002c8800dbde67592b2232cc06e37620564e,"Committing initial version of Kaldi

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@2 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-05-14T21:48:08Z,danpovey,danpovey,114670,114670,0
21,kaldi,88c5ee94afb853341d79f2676f43b900c5481085,"Name changes in some math stuff to agree with papers.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@124 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-08T07:17:52Z,danpovey,danpovey,229,114,115
22,kaldi,ed263f97d344c0ba7a72676eda906339a4e1432e,"Name changes in matrix exponential and ET code.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@123 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-08T00:09:50Z,danpovey,danpovey,18,9,9
23,kaldi,c0498febfa85e70146290d33c1f21cf4cb3f60a2,"Small fixes to stop compiler warnings.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@122 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Arnab Ghoshal,2011-07-06T16:35:33Z,arnab4,arnab4,29,15,14
24,kaldi,80101525fd051b6a9b36b117aa0692bf196051cb,"Changing to binary mode for reading FSTs

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@121 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-05T20:22:52Z,danpovey,danpovey,16,8,8
25,kaldi,3a6098f4f99e6d8f4a40b0491aeb373d6183e027,"Added option to check auxf impr for v, to estimate-am-sgmm

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@120 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-05T03:19:22Z,danpovey,danpovey,154,148,6
26,kaldi,a70d3f856bfdfc85f3f5279437bf53ed69a4c6d4,"Finishing the scripts for the ASRU papers.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@119 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-04T22:23:02Z,danpovey,danpovey,1265,681,584
27,kaldi,b4bd583a07f6fce74b0dc3e80f57fc4ebeb75d5a,"Improvement to ATLAS install script.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@118 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-04T07:43:35Z,danpovey,danpovey,12,11,1
28,kaldi,d4de21acc44df2a2e1b72c58e14574ff36e8eff9,"Modified WSJ RESULTS file

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@117 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-02T06:33:32Z,danpovey,danpovey,19,14,5
29,kaldi,3c0169f4299bb68a7e3409ac05976c56f83831d8,"Fixes to some SGMM decoding scripts.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@116 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-01T23:32:25Z,danpovey,danpovey,78,19,59
30,kaldi,08f94ede4c2f58c1b148180f0010200cc28e64e8,"Updates to RESULTS file

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@115 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-07-01T19:56:14Z,danpovey,danpovey,8,5,3
31,kaldi,2a589477117accd9059b92c83531865c06c6caed,"Script fixes and additions, and minor fixes and README rearrangements.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@114 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-06-30T23:17:11Z,danpovey,danpovey,968,960,8
32,kaldi,75883cff6802309c13f2c14b8b9de164d01de04b,"Fixes to recipes; updating RESULTS files [nearly finished with WSJ one].

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@113 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-06-29T21:58:41Z,danpovey,danpovey,1736,1459,277
33,kaldi,7b0f9e2169603388313e9f3852b6e5846635af2b,"bugfix compare pdf/transition ids, initial pruning


git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@112 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Mirko Hannemann,2011-06-28T12:18:47Z,mhanneman,mhanneman,40,32,8
34,kaldi,5832216d2231d4f13ae6cef0363dec904bfcbd77,"script fix.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@111 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-06-28T08:23:58Z,danpovey,danpovey,1,0,1
35,kaldi,cd045d13481961d73749126b5a463fcd266b60ee,"Committing hopefully almost final version of WSJ scripts.

git-svn-id: https://svn.code.sf.net/p/kaldi/code/trunk@110 5e6a8d80-dfce-4ca6-a32a-6e07a63d50c8",Dan Povey,2011-06-28T02:31:09Z,danpovey,danpovey,529,404,125
