,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,kanbanzilla,67c2991f933221da4d5e86d87edc61d1bbd7fd21,"fixed header bar bug, and non-angular1.1.5 track by issue",Derek Ries,2013-08-07T18:52:36Z,DerekRies,DerekRies,7,4,3
1,kanbanzilla,4e83f3f0ca8442b4202b6443da2f15518e592c13,ability to define multiple memcache URLs,Peter Bengtsson,2013-08-07T18:45:38Z,peterbe,peterbe,4,2,2
2,kanbanzilla,d2d29b3e7c5534e37a6e964d07640e23043f57ea,config options taken from environment variables instead,Peter Bengtsson,2013-08-07T18:42:44Z,peterbe,peterbe,28,25,3
3,kanbanzilla,556d09bc9b3cc78cc66673064e44bfda0a36b4fa,fixed readme,Derek Ries,2013-08-07T18:39:07Z,DerekRies,DerekRies,4,2,2
4,kanbanzilla,015a54d3bd13d0c6da49194348fc10b6eae87e72,Merge branch 'master' of github.com:mozilla/kanbanzilla,Peter Bengtsson,2013-08-07T18:36:33Z,peterbe,peterbe,186,93,93
5,kanbanzilla,9526e1d1118480f4b2bec4a725824abcc5c75ae6,Merge branch 'requirements',Peter Bengtsson,2013-08-07T18:32:20Z,peterbe,peterbe,4,4,0
6,kanbanzilla,3836b360c6f7596672aff30656cd0a23b0c7e5f6,convert 2 spaces to 4 in python files,Derek Ries,2013-08-07T18:31:14Z,DerekRies,DerekRies,186,93,93
7,kanbanzilla,8cff504a081ef0bb20ed100f767df4e57950b8d9,removed angular 1.1.5 and fell back to the components version from bower,Derek Ries,2013-08-07T18:23:18Z,DerekRies,DerekRies,66,41,25
8,kanbanzilla,9862337feead3c490e96406b4b5fc52a03223b31,requirements,Peter Bengtsson,2013-08-07T18:23:00Z,peterbe,peterbe,4,4,0
9,kanbanzilla,949305a16172b5c358dd95289e866dd23e7fe5bd,fixed angular-bootstrap component,Derek Ries,2013-08-07T17:58:35Z,DerekRies,DerekRies,2,1,1
10,kanbanzilla,72c57abde1cf802cd862065201703a157a97ad52,remove animate.css,Derek Ries,2013-08-07T17:56:25Z,DerekRies,DerekRies,1,0,1
11,kanbanzilla,635a5c2c79939064e0f72a4101c014d0bf56cdf0,added ui-bootstrap to component.json,Derek Ries,2013-08-07T17:55:22Z,DerekRies,DerekRies,3,2,1
12,kanbanzilla,2c6cf835457340ee9ae8fe455123abfc02fc499e,added new angular versions as non-components from bower,Derek Ries,2013-08-07T17:52:46Z,DerekRies,DerekRies,128970,128965,5
13,kanbanzilla,257c579c896c70c73e66af2fada75e0151b2aaf4,latest stuff for the server,Derek Ries,2013-08-07T17:34:16Z,DerekRies,DerekRies,52,41,11
14,kanbanzilla,da74aabb6327b88281ed593bc13e199766c34325,"Implemented Server Side Auth. Added Memcache, and a proxy server to the gruntfile. Use grunt proxy server and start the flask server now.",Derek Ries,2013-08-06T23:43:49Z,DerekRies,DerekRies,300,171,129
15,kanbanzilla,366ab55d675585b9f579063b0c46407f13901f64,removed htaccess nonsense from yeoman,Derek Ries,2013-07-31T21:03:10Z,DerekRies,DerekRies,554,0,554
16,kanbanzilla,a91f9c6649a2bfc80ead10acdccd5316e65f3594,clean up,Derek Ries,2013-07-31T20:46:30Z,DerekRies,DerekRies,21,2,19
17,kanbanzilla,26ea564d09a71df9bf88d461e88315d78dab27e7,removed dead bugzilla module,Derek Ries,2013-07-31T19:49:41Z,DerekRies,DerekRies,3,0,3
18,kanbanzilla,95310c1667e08f3fccd863228ec3327186c376ed,started bugzilla proxy in flask. laid out endpoint for new /board methods.,Derek Ries,2013-07-31T02:03:41Z,DerekRies,DerekRies,72,72,0
19,kanbanzilla,8671d2f7c0e41ef80bfe65fd7c7badb3e3ab717e,removed some old code,Derek Ries,2013-07-26T00:47:31Z,DerekRies,DerekRies,14,1,13
20,kanbanzilla,6e5ce5aea9d8bce2a52e4b7763efcb06ac2fd84d,fixes crash when viewing custom boards that don't exist,Derek Ries,2013-07-25T21:25:31Z,DerekRies,DerekRies,49,27,22
21,kanbanzilla,fddae56a7669146f3ba18672703f54093bc618d2,bumped up fontsize on popovers and comment modal now autofocuses when appearing.,Derek Ries,2013-07-25T18:54:16Z,DerekRies,DerekRies,17,12,5
22,kanbanzilla,4a9acf43b9d4966586e90b53826ae2ec64a9d962,added ability to post comments on bugs with a comment modal,Derek Ries,2013-07-25T18:42:05Z,DerekRies,DerekRies,102,86,16
23,kanbanzilla,40251a9251061f6a28fa7a99a0131117277572b4,changed jquery-ui dependency to a minimal version of jquery ui containing only the core and sortable stuff,Derek Ries,2013-07-25T17:58:04Z,DerekRies,DerekRies,8,7,1
24,kanbanzilla,0adcdb730fb6e813b6ace0cca5422519c4a6aa6b,fixed popovers by removing the include_fields from the interceptor and just including it in the /bug api calls,Derek Ries,2013-07-25T17:49:49Z,DerekRies,DerekRies,4,2,2
25,kanbanzilla,71e8514bfc1286493c4871ec185af1a8774a378b,fixed firefox click card bug when dropping cards in the same column,Derek Ries,2013-07-25T17:37:08Z,DerekRies,DerekRies,22,13,9
26,kanbanzilla,35fad266194173b6732a51755d95bb659ed4022d,added styling to card being dragged.,Derek Ries,2013-07-24T17:45:59Z,DerekRies,DerekRies,4,4,0
27,kanbanzilla,3918eeacf274d7b0ebe1c043beecad230862bfe5,updated bower deps. removed placeholder dom element for empty list sorting and replaced it with some padding,Derek Ries,2013-07-24T00:10:25Z,DerekRies,DerekRies,13,8,5
28,kanbanzilla,291d010df22774f057f49d5ff18653fef7422ae4,"can now drag and drop between columns. fixed chrome compositing issue caused by animating opacity on hover of cards and then dragging that card around. Just removed the animations, works kthnx",Derek Ries,2013-07-23T23:43:26Z,DerekRies,DerekRies,39,33,6
29,kanbanzilla,faa287990fe1ef3475a5d3bd0cf5499591686b88,"angular-ui-sortable directive version of card sorting, doesn't have connected lists at the moment though",Derek Ries,2013-07-23T19:10:54Z,DerekRies,DerekRies,6,4,2
30,kanbanzilla,28c4a4fdf3d23713cce83709e23b878a1e7b811a,moved cards into li tags,Derek Ries,2013-07-23T19:02:34Z,DerekRies,DerekRies,63,45,18
