,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,learning-api,d0081806f0d4af29d48f380b9fd6e6ac2e0455b1,Remove competency app (#8),Ali Al Dallal,2016-09-01T13:51:39Z,alicoding,alicoding,74,1,73
1,learning-api,08a08005f08f5c8205b3dd59f531a912395f2c76,"Add views and serializers for weblit skills (#7)

* Add views and serializers for weblit skills

* Update rview

* oopsy",Ali Al Dallal,2016-08-26T21:52:33Z,alicoding,alicoding,55,55,0
2,learning-api,320763616b3a7ef4b35065ba065bb36cd916bebf,"Teachingkits (#5)

* Add GET endpoint for getting single and list of activities

* Adding serilizer for activity
* Adding URLs GET endpoint for single and list views
* Updated version of DRF
* Added single and list views for activity

* Reviews",Ali Al Dallal,2016-08-25T19:44:10Z,alicoding,alicoding,78,78,0
3,learning-api,9ef614f1fa15e5625a633b1bc85a5c78c42ad072,Update README (#6),Gideon Thomas,2016-08-25T16:08:33Z,gideonthomas,gideonthomas,22,12,10
4,learning-api,58f21f2baf383d41b3ec379a2d7b4ebac9ffbba0,"Merge pull request #3 from alicoding/addActivityendpoint

Add GET endpoint for getting single and list of activities",Ali Al Dallal,2016-08-25T16:06:51Z,alicoding,alicoding,73,71,2
5,learning-api,08960e365f875e04f4d974b859d2fde7425153b3,"Add GET endpoint for getting single and list of activities

* Adding serilizer for activity
* Adding URLs GET endpoint for single and list views
* Updated version of DRF
* Added single and list views for activity",alicoding,2016-08-24T15:33:17Z,alicoding,alicoding,73,71,2
6,learning-api,4388e62089240a7b052e8649a657ef1e04420bc8,"Merge pull request #4 from alicoding/updateMigration

Update migration scripts for all tables",Ali Al Dallal,2016-08-24T17:51:03Z,alicoding,alicoding,435,32,403
7,learning-api,e76b328d3e24b6d34a37047de95e4b8476b81d49,Update migration scripts for all tables,alicoding,2016-08-24T17:50:34Z,alicoding,alicoding,435,32,403
8,learning-api,c62a5f4c7be6b9ccd5b25dc1e10e2140b5ece114,Update env file,alicoding,2016-08-23T17:03:22Z,alicoding,alicoding,2,0,2
9,learning-api,70ed4dba5ecea42206fa1f78fd1fef676a8ed037,Update readme,alicoding,2016-08-23T17:01:04Z,alicoding,alicoding,36,36,0
10,learning-api,3f14a2860283a3a019cb7780feaf46611d59c1e6,"Merge pull request #1 from alicoding/teach-api

Initial work to add learning API for teaching activities",Ali Al Dallal,2016-08-23T16:55:57Z,alicoding,alicoding,1164,1164,0
11,learning-api,8775ace3df8a4b5b4eaad39fc1367967db61ae53,Initial work to add learning API for teaching activities,alicoding,2016-08-15T18:15:59Z,alicoding,alicoding,1164,1164,0
12,learning-api,ab64386ae516df4c0dd8a84b173b9157f58b3a7e,Initial commit,Ali Al Dallal,2016-08-09T18:33:47Z,alicoding,alicoding,462,462,0
