,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,libprio,f64487577ce4cad5a93b1e2d9f539f02da3f3b38,move extern C above includes,Robert Helmer,2018-08-09T05:24:14Z,rhelmer,rhelmer,8,4,4
1,libprio,ab526aa1d5af8264f901b7655e36e1272db07321,Use NSS_InitContext instead of NSS_Init (#2),Henry Corrigan-Gibbs,2018-08-06T02:11:47Z,henrycg,henrycg,37,22,15
2,libprio,5779b9cde2e21786d4cf55823e021b8c172990f0,"Code for libprio pilot (#1)

* The core libprio code for Prio client and server.

These files contain the core cryptographic routines needed
to implement the Prio client and Prio server.

* Tests and example code for libprio.

* A copy of NSS's MPI library.

Since NSS does not export the MPI bignum library, we ship a copy
with the standalone version of libprio.

* Build file and README for libprio.

* Edits per code review by franziskuskiefer

* More edits per code review by franziskuskiefer

* Fix memory bugs found by clang-analyzer

* Remove ugly hack from PublicKey_import method

Now we can import a 32-byte curve25519 public key into NSS without
having to generate a new keypair from scratch.

* Replace SConstruct file with simpler one

* Update README to incorporate code review edits

* Allow importing and exporting public keys in hex

- Public functions PublicKey_import_hex and PublicKey_export_hex
- Tests for these functions

* Add end-to-end test program for PrioEncoder.

Add browser-test utility that
1) generates new server keypairs,
2) uses xpcshell to call the PrioEncoder DOM routines,
3) parses the output of PrioEncoder,
4) validates the encoded packet, and
5) checks that the submitted data is what we expected.

* Fixes to make browser-test compile on Linux",Henry Corrigan-Gibbs,2018-07-17T18:26:39Z,henrycg,henrycg,87749,87730,19
3,libprio,b7ef5dd432ad5577a0d1a11ab75bc75afe231296,Initial commit,Robert Helmer,2018-06-22T16:00:05Z,rhelmer,rhelmer,425,425,0
4,libprio,b9de0de37e9103421f7088ab8d9e7e6beb789197,Fixed comment,Daniel Reusche,2020-11-19T11:34:58Z,degregat,degregat,3,2,1
5,libprio,13c2d0ede5081ea361053a9d00791b5040d968f3,add deprecation warning with pointer to libprio-rs,Robert Helmer,2020-11-18T19:09:29Z,rhelmer,rhelmer,2,2,0
6,libprio,ffda9aa966be1a87ae9ac5f8b8dfb1076662db04,Fix and test zeroing of t->data_shares in set_data_uint,Daniel Reusche,2020-11-05T17:19:10Z,degregat,degregat,33,18,15
7,libprio,aebda0ea3e6f61229a191520b859d66f7cf4ec71,Declare private functions as static,Henry Corrigan-Gibbs,2020-07-28T19:22:14Z,henrycg,henrycg,4,2,2
8,libprio,c926280e2f65af49e5d6fef93518aa11d2694d1c,Add checks for server index and public keys,Anthony Miyaguchi,2020-07-27T19:35:28Z,acmiyaguchi,acmiyaguchi,134,109,25
9,libprio,5a97f57a9ea1fc66d7186818fed69b490770914d,Clean up testing resource (fix memory leak),Anthony Miyaguchi,2020-07-25T03:22:49Z,acmiyaguchi,acmiyaguchi,4,4,0
10,libprio,ed7c157a2a7764bf71b575d08cf6248194e6966c,Add more formatting fixes,Anthony Miyaguchi,2020-07-25T03:05:57Z,acmiyaguchi,acmiyaguchi,10,5,5
11,libprio,9f142c750e32a4ff4b805c2cc34e3867720b2665,Add implementation of server merge test (and formatting),Anthony Miyaguchi,2020-07-25T02:59:04Z,acmiyaguchi,acmiyaguchi,96,86,10
12,libprio,46ed0ac6666bcfa5f10ea077c03a7404e177f624,Add test for serializing server state,Anthony Miyaguchi,2020-07-25T00:36:03Z,acmiyaguchi,acmiyaguchi,107,88,19
13,libprio,dafbe58b518d8a247cdfe21c287bea18dc9d965e,Add test for merging uint,Anthony Miyaguchi,2020-07-24T23:54:32Z,acmiyaguchi,acmiyaguchi,59,57,2
14,libprio,2e63cb55c99641d1f2c5202a17fdd28a36f801ba,Add version bump,Anthony Miyaguchi,2020-07-08T19:43:12Z,acmiyaguchi,acmiyaguchi,2,1,1
15,libprio,4677eb94705084466c1e209ca64f740592ca5649,Update swig interface for server serialization,Anthony Miyaguchi,2020-07-08T08:24:51Z,acmiyaguchi,acmiyaguchi,232,226,6
16,libprio,bf1856df455efc66278ad95ac477d3632dc88746,Add implementations for the serialization and merge interface,Anthony Miyaguchi,2020-07-08T07:39:49Z,acmiyaguchi,acmiyaguchi,37,37,0
17,libprio,78a034dd377f5f99632739464e31f34f4c34ae0f,Add a test of the new interface from the Python bindings,Anthony Miyaguchi,2020-07-08T06:51:20Z,acmiyaguchi,acmiyaguchi,83,83,0
18,libprio,47aeebf345ff63f5a12b7d5ad259fb5d843f6c5b,Add interface for server serialization,Anthony Miyaguchi,2020-07-08T06:49:00Z,acmiyaguchi,acmiyaguchi,12,12,0
19,libprio,ceb1da0548fd7ade9bdd49c1c21e1e967b34fdcc,"Add script to distribute binary wheels (#103)

* Add Dockerfile that can generate linux wheels

* Add script for distributing binary eggs and wheels

* Remove eggs from the build process

* Use manylinux2014 for building linux wheels and update readme

* Add update script and readme to reflect final testing",Anthony Miyaguchi,2020-07-27T23:51:07Z,acmiyaguchi,acmiyaguchi,219,217,2
20,libprio,80647f4887886114bc35a5af428172319a2909d1,Hash batchID with shared secret to get PRG seed. (#104),Henry Corrigan-Gibbs,2020-07-27T23:49:30Z,henrycg,henrycg,145,127,18
21,libprio,951cbd2b04ab27730810b2edc1e606be1f8ab2ce,"CI: chase scons package rename on FreeBSD

scons became scons-py27 + scons-py37.",Jan Beich,2020-07-18T04:36:33Z,jbeich,jbeich,3,2,1
22,libprio,beed0d9d3c95cede4d6706fb95923db232ae11c8,"Add generated Python bindings (#98)

* Fix SConstruct to build on macOS again

* Add dockerfile with centos8

* Add initial set of files for python binding

* Add build that works in linux

* Add functional build of python bindings

* Use setuptools and document failure mode

* Rename prio to src

* Move swig interface into separate folder

* Update readme and tests

* Reformat swig file and add in generated swig wrapper

* Organize swig interface with modules and macros

* Remove libprio namespace from tests

* Add BBIT_PREC_MAX to swig interface

* Fix implicit declaration of MIN function in binding

* Add tests for config and move bigger test to the bottom

* Accidentally change thing with keys

* Add wrapper for PrioTotalShare_final_uint

* Add working interface to uint encodings

* Move MSGPACK_* macros to end of interface due to inline code

* Add tests for most of the serialization

* Update config and key tests

* Fix hex exports of keys from including null byte

* Add documentation to failing multiprocessing test

* Remove automatic prio context at module load and fix tests

* Fix multi-processing test

* Remove MANIFEST from clean

* Fix travis by updating msgpack instead of installing",Anthony Miyaguchi,2020-07-16T23:57:40Z,acmiyaguchi,acmiyaguchi,8177,8168,9
23,libprio,bfa543bfaa07bc085881c506669073cdcedb90fd,"Run code through clang-format 9.0. (#97)

Generated by running the following command in the top-level dir:

> clang-format --style=Mozilla \
   -i include/*.h pclient/*.c prio/*.c prio/*.h ptest/*.c ptest/*.h

Update .travis.yml and clang-format.sh to use 9.0",Henry Corrigan-Gibbs,2020-06-02T06:38:23Z,henrycg,henrycg,1804,1083,721
24,libprio,e7e7527dd567307588b2fcf7d981bce077712567,Fix a couple of typos in code comments.,Henry Corrigan-Gibbs,2020-05-29T16:41:38Z,henrycg,henrycg,6,3,3
25,libprio,f41e3f12c11f76d0380a4226619424305551677a,Increase verbosity of tests in travis,Daniel Reusche,2020-05-29T15:31:16Z,degregat,degregat,2,1,1
26,libprio,e46deabfef9d955fdc3c7c1d5c1b6044dd590496,Check wether prec set correctly on server,Daniel Reusche,2020-05-29T13:41:54Z,degregat,degregat,50,35,15
27,libprio,1f909c585fe0a7131e084bdbeea995af4f1f96f8,"Lowered BBIT_PREC_MAX, added tests and documentation",Daniel Reusche,2020-05-23T21:12:55Z,degregat,degregat,28,23,5
28,libprio,c9943d5a291684ec314832c1d7cc04080203105b,Added documentation,Daniel Reusche,2020-05-23T20:54:18Z,degregat,degregat,52,41,11
29,libprio,838800065e800f767271722f136060740d7b2bce,Renamed to _uint,Daniel Reusche,2020-05-23T18:11:23Z,degregat,degregat,259,130,129
30,libprio,3b2b8488ac3ad20b0c5c564c05162b9af9bb96f8,Amended as discussed in the review,Daniel Reusche,2020-05-21T15:16:22Z,degregat,degregat,223,211,12
31,libprio,b2e256f4852461dfa2cd4753ebcad8f08a585c76,Added b-bit integer circuit,Daniel Reusche,2020-05-19T10:30:30Z,degregat,degregat,774,772,2
32,libprio,a1b48a81c215b9376a4161db4d9a6adfddfa9b52,Run changes through clang-format-3.9,Henry Corrigan-Gibbs,2020-05-21T12:11:00Z,henrycg,henrycg,52,35,17
33,libprio,a96921775987d59f2dbf37411b5ece97a42e57a2,Add fuzzing documentation,Christian Holler (:decoder),2020-05-11T09:33:51Z,choller,choller,42,42,0
34,libprio,3881ea04bb9c0998418a6bb44cf2b85fd3afb635,Add a zipped corpus for the server_verify_fuzz target.,Christian Holler (:decoder),2020-05-11T09:05:36Z,choller,choller,0,0,0
35,libprio,f9be52a70644475c03b7bc6577b552f37919378b,"Add server_verify fuzzing target

This target performs a full server verify cycle similar to the server
test. Since two data blobs are required, we use a simple custom mutator
that internally splits the data in two fields A and B and ensures that
one of the two is mutated per iteration.",Christian Holler (:decoder),2020-04-23T16:59:20Z,choller,choller,251,251,0
36,libprio,3b2fba41240032b9bfa072ffe92d52431aff6958,"Add FUZZING support

This adds the FUZZING variable to the build system, which will build all
code with libFuzzer instrumentation and activate the pfuzz subdirectory.
Inside this subdirectory, all .c files will be built as standalone
fuzzing targets. This flag is supposed to be combined with SANITIZE=1
but there are cases where it is desirable to build without sanitizers,
hence I left the flags separated.",Christian Holler (:decoder),2020-04-23T11:35:51Z,choller,choller,33,33,0
37,libprio,f16bceefda00bc0eb920917e0f2c39427bcfc85f,"Add -gline-tables-only when building with sanitizers but without DEBUG

Sanitizers require debugging symbols to provide proper tracebacks. It is
however not required to build with full debug symbols (-g), instead it
suffices to use -gline-tables-only to reduce the binary size.",Christian Holler (:decoder),2020-04-23T11:30:13Z,choller,choller,2,2,0
38,libprio,bfff803062d80644bc764697309079f578382ce5,"CI: fix install errors on macOS

Error: nss 3.48 is already installed
To upgrade to 3.52, run `brew upgrade nss`.
Error: nspr 4.24 is already installed
To upgrade to 4.25, run `brew upgrade nspr`.",Jan Beich,2020-05-21T11:56:41Z,jbeich,jbeich,3,2,1
39,libprio,c70dfd6ab2748a299edfdb17c457793aab3aa42d,CI: drop LD_LIBRARY_PATH after 52643cefe666,Jan Beich,2020-05-21T10:04:06Z,jbeich,jbeich,1,0,1
40,libprio,244aa016bbc2b521c20ffd1fca167f7dbd3378d0,CI: drop extra flags on macOS after 854d87d8a15b,Jan Beich,2020-05-21T10:05:50Z,jbeich,jbeich,2,0,2
41,libprio,19faab7083873ea48704928aa3479d9933d260e4,"Keep using old CK_GCM_PARAMS on NSS >= 3.52

Based on https://hg.mozilla.org/mozilla-central/rev/463069687b3d",Jan Beich,2020-05-20T15:56:53Z,jbeich,jbeich,5,1,4
42,libprio,548c33cf6f6eef94a52af573048f1d8d76c3efc7,CI: add FreeBSD job,Jan Beich,2020-05-20T13:02:59Z,jbeich,jbeich,9,8,1
