,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,lightbeam-we,85519f1a0e8e25aba42c3d5dd50678eaa6e95f11,Fix store.getWebsite method,Bianca Danforth,2017-07-18T04:05:42Z,biancadanforth,biancadanforth,13,8,5
1,lightbeam-we,48714d8eca90aaca45676ceccf70148e00ba843a,"Add Disconnect Entity List (AKA whitelist). Fixes #98.

This PR includes the following changes:
Add [Shavar-Prod-Lists](https://github.com/mozilla-services/shavar-prod-lists) repo as a submodule to use their maintained `disconnect-entitylist.json` whitelist. The submodule is located in the `shavar-prod-lists` subfolder in this repo's root directory.
Update `README.md` with new instructions for cloning the repo with the submodule and updating the submodule
Import the `disconnect-entitylist.json` object, parsed, into `capture.js`
Reformat the object to more easily check if a first and third party pair are whitelisted
Update `capture.shouldStore` method to return `false` if the first and third party from a request are on the whitelist
Add `.eslintignore` to ignore submodule",Bianca Danforth,2017-07-11T23:47:16Z,biancadanforth,biancadanforth,166,149,17
2,lightbeam-we,d62e110d8c2a3111d328687a04ea7e7c8ff2ea43,labels updated,Princiya,2017-07-17T17:29:50Z,princiya,princiya,10,5,5
3,lightbeam-we,8ff20d91fea13bdb7bb40f4888c273fa1edccfb8,force center coordinates added.,Princiya,2017-07-17T17:09:21Z,princiya,princiya,28,8,20
4,lightbeam-we,866e219f16dfcefa3cf945eb6608dbf0fd19a2f6,objects in memory. fixes #90,Princiya,2017-07-17T16:04:08Z,princiya,princiya,101,32,69
5,lightbeam-we,4d8293e3d7d194206090c144d28f530d9faa9f83,minor change,Princiya,2017-07-14T20:14:50Z,princiya,princiya,6,1,5
6,lightbeam-we,a1bea7dfed6ed5732d59b08e5aa3ea129f2d7e08,onupdate links are drawn. fixes #90,Princiya,2017-07-14T20:00:34Z,princiya,princiya,8,6,2
7,lightbeam-we,669690feb8ebb223cfb18c864024875c7fec9b94,colors added,Princiya,2017-07-14T19:30:14Z,princiya,princiya,18,14,4
8,lightbeam-we,2bc366aacfa7b2db3f4e271230ba229002fa8e43,migration to canvas. fixes #90,Princiya,2017-07-14T18:59:17Z,princiya,princiya,145,86,59
9,lightbeam-we,f10b4998cef5b0cd4b24367f81ceecd5a286cf83,"Revert ""Add Disconnect Entity List (AKA whitelist). Fixes #98.""

This reverts commit a9636c7ee69737f762eeef415bc908e9eaaee519.",Jonathan Kingston,2017-07-17T18:36:32Z,jonathanKingston,jonathanKingston,166,17,149
10,lightbeam-we,a9636c7ee69737f762eeef415bc908e9eaaee519,"Add Disconnect Entity List (AKA whitelist). Fixes #98.

This PR includes the following changes:
Add [Shavar-Prod-Lists](https://github.com/mozilla-services/shavar-prod-lists) repo as a submodule to use their maintained `disconnect-entitylist.json` whitelist. The submodule is located in the `shavar-prod-lists` subfolder in this repo's root directory.
Update `README.md` with new instructions for cloning the repo with the submodule and updating the submodule
Import the `disconnect-entitylist.json` object, parsed, into `capture.js`
Reformat the object to more easily check if a first and third party pair are whitelisted
Update `capture.shouldStore` method to return `false` if the first and third party from a request are on the whitelist
Add `.eslintignore` to ignore submodule",Bianca Danforth,2017-07-11T23:47:16Z,biancadanforth,biancadanforth,166,149,17
11,lightbeam-we,b586392caa45d41bfd0c2050f0c0c64b84d7c6b5,hover for text labels,Princiya,2017-07-12T12:53:52Z,princiya,princiya,47,34,13
12,lightbeam-we,2c2664adbbe838ee87fb70171c8db8a4b23cb3ff,function renamed,Princiya,2017-07-11T15:49:27Z,princiya,princiya,6,3,3
13,lightbeam-we,e3ad4efd6e41ba87b0bd62034f4e4f83c593db0a,x y positions reverted,Princiya,2017-07-11T15:45:15Z,princiya,princiya,18,4,14
14,lightbeam-we,d613bfe67c767562cbbebe2276d4758dbcfd7ce7,misc changes. fixes #94,Princiya,2017-07-10T19:12:25Z,princiya,princiya,57,28,29
