,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,loci,03629304f8494d76fc83135d7ecb1b4d54e46fd8,"Merge pull request #36 from rittme/eslint-chore

chore(worker): update linting to match activity stream main repo",Bernardo Rittmeyer,2016-08-24T20:26:33Z,rittme,rittme,1426,793,633
1,loci,29d4b67fe6372e5cc77145696ab127b01e1e2e2c,chore(worker): update linting to match activity stream main repo,Bernardo Rittmeyer,2016-08-11T16:36:55Z,rittme,rittme,1426,793,633
2,loci,de6518020663a5902ddb7cbed2e13777f7ff7de5,"Merge pull request #30 from rittme/canonical

feat(workers): #20 Canonicalize and normalize URLs",Bernardo Rittmeyer,2016-08-11T18:59:36Z,rittme,rittme,142,141,1
3,loci,8446ce2d17dc6c38fd8e8164c8bc56af7ca39629,feat(workers): #20 Canonicalize and normalize URLs,Bernardo Rittmeyer,2016-08-10T21:46:57Z,rittme,rittme,142,141,1
4,loci,cca784b208d78ba84583e851d973e54f3ae505af,"Merge pull request #29 from rittme/ff-version

fix(worker): change Firefox version to the same on Activity Stream",Bernardo Rittmeyer,2016-08-09T00:40:31Z,rittme,rittme,11,7,4
5,loci,be2d76a271c18616c1444d88fccd75470f94837e,fix(worker): change Firefox version to the same on Activity Stream,Bernardo Rittmeyer,2016-08-08T17:32:25Z,rittme,rittme,11,7,4
6,loci,a5a16fc33c6fe4de5c42bf418b1aea4b356e79ac,"Merge pull request #24 from rittme/database-tweaks

feat(workers): #23 database indexes and configuration",Bernardo Rittmeyer,2016-08-08T17:58:09Z,rittme,rittme,32,29,3
7,loci,82d709f7631fe11b8aa89921524b6964683948d2,feat(workers): #23 database indexes and configuration,Bernardo Rittmeyer,2016-08-04T00:14:49Z,rittme,rittme,32,29,3
8,loci,cd3b4f24fbadd8018ad7f7880d108baaa5597a0a,"Merge pull request #22 from rittme/task-router

feat(workers): #4 Message to task router",Bernardo Rittmeyer,2016-08-05T23:51:40Z,rittme,rittme,969,930,39
9,loci,0e393f6e337ae220cbd7062c3af47d2a2941e513,feat(workers): #4 Message to task router,Bernardo Rittmeyer,2016-07-29T19:15:05Z,rittme,rittme,969,930,39
