,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,login.webmaker.org,2d51a2b359c669febec8e85d60e6cd87195af4e5,[bug-866646] Bringing the webmaker nav into the login app,Ross Bruniges,2013-04-29T11:30:37Z,rossbruniges,rossbruniges,196,89,107
1,login.webmaker.org,b5b6ef3ebf9a52d323ba96c043692900503d8c67,[865758] Improved error handling of MongoDB connection problems,ksedge,2013-04-29T15:04:43Z,sedge,sedge,1,1,0
2,login.webmaker.org,d19c430b9460b40ba2292891bbcaba0cab17a5c6,[#860364] Style updates to webmaker-nav and added my email to delete list.,Kate Hudson,2013-04-25T14:52:02Z,k88hudson,k88hudson,401,219,182
3,login.webmaker.org,7167929f3fda8756c617a080e4b68c6905f123c6,"Merge pull request #21 from rossbruniges/bug-862333

[Bug-862333] Adding in habitat",Ross Bruniges,2013-04-26T16:57:54Z,rossbruniges,rossbruniges,56,34,22
4,login.webmaker.org,26bf23ab1e60fb2304baaa0700bcc8d34c506677,[Bug-862333] Adding in habitat,Ross Bruniges,2013-04-24T19:59:31Z,rossbruniges,rossbruniges,56,34,22
5,login.webmaker.org,0c5e45ae27e2f774699c352b6f384a5953a8dbff,"Merge pull request #24 from ksedge/b865761

[865761] Updated dev tool 'dev/delete/' to use GET instead of POST",Kieran Sedgwick,2013-04-26T16:09:45Z,sedge,sedge,10,4,6
6,login.webmaker.org,f29e89789433b74ef03925d59f8857289eb98e18,[865761] Updated dev tool 'dev/delete/' to use GET instead of POST,ksedge,2013-04-26T15:11:29Z,sedge,sedge,10,4,6
7,login.webmaker.org,f506d2e21aa31ce6c2a1a68626ce94a5608d6fe6,"Merge pull request #16 from rossbruniges/user-info

[bug-861360] Displaying the signed in user data from the UI",Ross Bruniges,2013-04-25T14:55:00Z,rossbruniges,rossbruniges,80,42,38
8,login.webmaker.org,e80975254367b63e14ea113a3f4ffb7f3e0e4916,"[bug-861360] Displaying the signed in user data from the UI - for returning users, brand new users and currently logged in users",Ross Bruniges,2013-04-23T16:30:06Z,rossbruniges,rossbruniges,80,42,38
9,login.webmaker.org,890bbe2888ddb1a362b0246ea672c31ffc23c7e0,"Merge pull request #20 from ksedge/b865402

[865402] Fixed bug in custom validation",Ross Bruniges,2013-04-24T19:23:27Z,rossbruniges,rossbruniges,14,8,6
10,login.webmaker.org,3cd70e69c73b115d7d194bb2b323b41dc0f93d4c,[865402] Fixed custom validation bug,ksedge,2013-04-24T19:01:03Z,sedge,sedge,14,8,6
11,login.webmaker.org,8cc4b00d89fd3dd5671d80c3852bc66e2f8e3617,"Merge pull request #19 from ksedge/b863746

[Bug 863746] Optimize error handling and HTTP error codes in API calls",Kieran Sedgwick,2013-04-24T15:31:47Z,sedge,sedge,8,4,4
12,login.webmaker.org,87074c2d981624763f4e3dcf55e34f1ba80addf1,"Merge pull request #17 from ksedge/b864397

[Bug 864397] Add custom validation to user model",Kieran Sedgwick,2013-04-24T15:31:28Z,sedge,sedge,12,11,1
13,login.webmaker.org,02fd428f9cca243ea85163c6c4c370590d135646,[863746] Error handling plus error codes for API logic,ksedge,2013-04-24T15:11:07Z,sedge,sedge,8,4,4
14,login.webmaker.org,7a6156dbefdc793d682fc2bbda3603cbdca2b1a1,[Bug 864397] Added validation for the name field of the user model,ksedge,2013-04-23T17:23:51Z,sedge,sedge,12,11,1
15,login.webmaker.org,062ee599e1d79088e267aa67cdd6a3544f12becf,login.webmaker.org v0.0.1,Jon Buckley,2013-04-23T20:47:52Z,jbuck,jbuck,4,2,2
16,login.webmaker.org,2dabb271a064e722f27f31bd88e7ec14d21df8ad,"Merge pull request #18 from ksedge/b863746

[Bug 864882] Remove verifiedEmail field from user model",Ross Bruniges,2013-04-23T19:02:57Z,rossbruniges,rossbruniges,4,0,4
17,login.webmaker.org,73e372f985371c89f1d077dbe0f7afb8ea30de03,[864882] Removed verifiedEmail field from user model,ksedge,2013-04-23T17:46:09Z,sedge,sedge,4,0,4
18,login.webmaker.org,610ec1c68f1cd5d8a4af4b46420b2153584409eb,"Merge pull request #14 from ksedge/b860391

Finished Login APIs + model changes",Simon Wex,2013-04-22T20:48:28Z,simonwex,simonwex,281,182,99
