,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,maintainer-cohort,d51db334d3833c82ab7b78c8ae8665bbcd76272c,"Merge pull request #12 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Emma,2019-03-31T18:39:01Z,emmairwin,emmairwin,15,15,0
1,maintainer-cohort,ccf5dd3e2ff5e6a96b453a7d3eef9a0b25d80ba2,"Add Mozilla Code of Conduct file

Fixes #11.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T07:04:10Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,maintainer-cohort,3b67889ef8ca3c45dce25c53c41b894ba8c31750,"Merge pull request #9 from emmairwin/master

added files for week 3",Emma,2018-12-14T00:16:03Z,emmairwin,emmairwin,231,225,6
3,maintainer-cohort,3c7bc82fc8b0db352992f774a3241bad3d62a06e,hotfix for menu ordering and links,Emma Irwin,2018-12-14T00:12:47Z,emmairwin,emmairwin,16,8,8
4,maintainer-cohort,3acd4e488b920ff787e56b6f2775205dadb09377,added files for week 3,Emma Irwin,2018-12-04T15:08:46Z,emmairwin,emmairwin,219,219,0
5,maintainer-cohort,4f6dc79b8b62243d94cacb82c251eccf80dcd28d,"Merge pull request #8 from emmairwin/master

week 3 content",Emma,2018-12-04T15:03:48Z,emmairwin,emmairwin,69,44,25
6,maintainer-cohort,45788793f933f2bc7b56d3710001d3665538e29f,week 3 content,Emma Irwin,2018-12-04T15:02:30Z,emmairwin,emmairwin,69,44,25
7,maintainer-cohort,9abd6e23af93b6eec556e876b5f761babadd826a,"Merge pull request #7 from emmairwin/master

updated activities with slack channel",Emma,2018-11-27T15:54:54Z,emmairwin,emmairwin,7,7,0
8,maintainer-cohort,65602d59a858adefd86564259d46c8a69a8246f6,updated activities with slack channel,Emma Irwin,2018-11-27T15:53:02Z,emmairwin,emmairwin,7,7,0
9,maintainer-cohort,ce8bf2ac948f75bc27c7b1704eb5d5a1374480b3,"Merge pull request #6 from emmairwin/master

updated activities",Emma,2018-11-27T15:39:06Z,emmairwin,emmairwin,8,6,2
10,maintainer-cohort,9c88a8bf78c50e190a50d911fa474c7f47cde922,updated activities,Emma Irwin,2018-11-27T15:34:16Z,emmairwin,emmairwin,8,6,2
11,maintainer-cohort,2581c99faccc84b554a2a6fe2966a420b9a4419c,"Merge pull request #5 from emmairwin/master

Updates to Week 1, and Release of Week 2",Emma,2018-11-24T21:49:23Z,emmairwin,emmairwin,401,352,49
12,maintainer-cohort,1505d2747e3c559c2b8759381b4df40f740ce44c,hotfix to week 2 links,Emma Irwin,2018-11-24T21:47:55Z,emmairwin,emmairwin,6,3,3
13,maintainer-cohort,c6f0acc1f262bc6340c8b18bbadbfe62d8e7d081,week 2 published,Emma Irwin,2018-11-24T21:35:20Z,emmairwin,emmairwin,395,349,46
14,maintainer-cohort,0df610f56645172d4dca7261dedfd0b34b2678c1,"Merge pull request #4 from emmairwin/master

actvitiy update",Emma,2018-11-19T19:30:32Z,emmairwin,emmairwin,63,17,46
15,maintainer-cohort,4c6ea89735e60f65d9fd8ad1349c0ee8c8b27d3e,actvitiy update,Emma Irwin,2018-11-19T18:50:56Z,emmairwin,emmairwin,63,17,46
16,maintainer-cohort,1cf7e35f279cb6887022a60c1ae006acf89d6d43,"Merge pull request #3 from emmairwin/master

updates to first week content",Emma,2018-11-13T22:12:38Z,emmairwin,emmairwin,168,84,84
17,maintainer-cohort,67079752c96528903095ad894ea81d2d9e7c613f,updated to front page,Emma Irwin,2018-11-13T21:29:59Z,emmairwin,emmairwin,22,11,11
18,maintainer-cohort,0c3566f0a129b3c0bb0f1bc03a2715e41643f549,updated first week,Emma Irwin,2018-11-13T21:26:22Z,emmairwin,emmairwin,146,73,73
19,maintainer-cohort,c7635667060fde183e55a01d81799802aabe5e26,"Merge pull request #2 from emmairwin/master

updated baseurl",Emma,2018-11-06T05:39:36Z,emmairwin,emmairwin,484,242,242
20,maintainer-cohort,9a1cc5a08d2918083bc983809fcf38714dcf5510,updated baseurl,Emma Irwin,2018-11-06T05:37:58Z,emmairwin,emmairwin,484,242,242
21,maintainer-cohort,126bd8cb7ef9aa4cd7dabdfb44aaa53ba6867d1d,"Merge pull request #1 from emmairwin/master

Initial cohort commit",Emma,2018-11-06T05:31:51Z,emmairwin,emmairwin,14582,14582,0
22,maintainer-cohort,128a82e009e8ce37fd829a6dac6e0b4c9661656e,initial commit,Emma Irwin,2018-11-06T05:20:23Z,emmairwin,emmairwin,4053,609,3444
23,maintainer-cohort,101d1f78a2996fa511db3ebee04dabc2bc0e4cdc,initial commit of learning open source fork jekyll theme,Emma Irwin,2018-11-03T04:15:36Z,emmairwin,emmairwin,17417,17417,0
24,maintainer-cohort,d6db3e5b7cbc36f27036a277d30aa8604fa96a54,Update README.md,Emma,2018-10-31T19:38:14Z,emmairwin,emmairwin,5,3,2
25,maintainer-cohort,310768d63a477d7dc2978e36f215bdc413755daa,Create CODE_OF_CONDUCT.MD,Emma,2018-10-31T19:37:35Z,emmairwin,emmairwin,6,6,0
26,maintainer-cohort,0755ff548b62642e41fe1724de90307d4fe2395a,Initial commit,Emma,2018-10-31T19:36:51Z,emmairwin,emmairwin,2,2,0
