,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,makerstrap,651a41d6da287e75fa41974ab22de8d65922ab7d,"Merge pull request #25 from mlveis/issue23b

Fix #23: Add logo to repo",Kate Hudson,2014-03-06T14:42:38Z,k88hudson,k88hudson,51,48,3
1,makerstrap,d0787b9e5f04798ef407016a7be2da07b8efa43b,Fix #24: Set border radius to 0,mlveis,2014-03-06T06:18:46Z,mlveis,mlveis,9,4,5
2,makerstrap,b3c2ca315b3de0dccb7ef778119650e72415b412,Fix #23: Add logo to repo,mlveis,2014-02-27T17:32:13Z,mlveis,mlveis,51,48,3
3,makerstrap,7a735c0f9d7ca9c7729b82f5926cb330b3a719d4,"Merge pull request #9 from k88hudson/bower

Bower Path",Kate Hudson,2014-03-05T16:27:47Z,k88hudson,k88hudson,3,2,1
4,makerstrap,ca1e505f272bf2b13ea39b5b39173bc7c1f49245,Fix #9: Wrong bower path variable ordering in docs,Kate Hudson,2014-02-27T23:48:26Z,k88hudson,k88hudson,3,2,1
5,makerstrap,36ac89f22438e2a0195d10598d8b3c5d21c0a4eb,Fix #8: make skin alerts Webmaker-appropriate and update documentation for skin alerts with editable thimble page,mlveis,2014-02-16T23:58:17Z,mlveis,mlveis,73,70,3
6,makerstrap,4fe876041a29747e434da7da300cf73245abc11f,Fix #19: Change Hover state of button from navy to green,mlveis,2014-02-18T00:28:26Z,mlveis,mlveis,11,0,11
7,makerstrap,0dc56da2cfc35e2512e3c11d54de112b754e10af,"Merge pull request #21 from dirkcuys/patch-1

Fix link for reporting issues",Kate Hudson,2014-02-18T18:52:34Z,k88hudson,k88hudson,2,1,1
8,makerstrap,ff1ec86b6da284a71948258f2b2d4d501f876186,Fix link for reporting issues,Dirk Uys,2014-02-17T19:39:21Z,dirkcuys,dirkcuys,2,1,1
9,makerstrap,3ec3345d38c3ff23f274e773d7dd929995e2c6df,"Merge pull request #14 from gvn/master

Updating README and making a color a var",gvn lazar suntop,2014-02-13T00:35:19Z,gvn,gvn,26,15,11
10,makerstrap,e3af73f29ee9640d8d8c96971d97915694bc24d6,Merge branch 'master' of https://github.com/gvn/makerstrap,Gvn Lazar Suntop,2014-02-13T00:34:24Z,gvn,gvn,12,7,5
11,makerstrap,9b7a207331669c718d67ef65dbf06dccdeb0c93a,repo tweak,Gvn Lazar Suntop,2014-02-13T00:33:48Z,gvn,gvn,2,1,1
12,makerstrap,d1c5f6f6b8fcb702d1dc9be4db8d9bf0dc2e34ec,"Fix 16: Navigation for buttons,tables,forms and gallery in docs section",mlveis,2014-02-06T06:52:22Z,mlveis,mlveis,14,9,5
13,makerstrap,a6cf3c4bb49285d34405e5a9e6ab70f0e19414c0,Fix #1: Updated Demo Page with two forms and two tables with Thimble Pages,mlveis,2014-01-30T04:19:09Z,mlveis,mlveis,101,100,1
14,makerstrap,5fb6756e7d4792757b5ffe15d0d97844d14f1a04,"Merge pull request #18 from alicoding/master

Update link in example page",Kate Hudson,2014-02-10T15:16:23Z,k88hudson,k88hudson,2,1,1
15,makerstrap,ab293bdb917eafb7a6effd194e1e6801d6e07ce2,Update link in example page,Ali Al Dallal,2014-02-07T18:02:08Z,alicoding,alicoding,2,1,1
16,makerstrap,6bdb673b7557086fab94fc291d50373cb18b8ce6,Update README.md,gvn lazar suntop,2014-02-03T22:59:56Z,gvn,gvn,12,7,5
17,makerstrap,661e093d32082e5f3100ae98a67a42f5940c8a7a,updating README; color -> variable,Gvn Lazar Suntop,2014-02-03T22:56:42Z,gvn,gvn,16,9,7
