,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,marketing-project-template,ac68d27e378fc4a3aaef6ac1188c9e73e97f0c97,"Merge pull request #11 from stupchiy/upgrade_libs

upgraded pytest-mozwebqa and requests libs",Stephen Donner,2014-11-06T00:30:47Z,stephendonner,stephendonner,4,2,2
1,marketing-project-template,c20b61514203be93d78c573fb0714ac5e79a6129,upgraded pytest-mozwebqa and requests libs,Sergey Tupchiy,2014-11-06T00:02:52Z,stupchiy,stupchiy,4,2,2
2,marketing-project-template,c45505aa808624f55029a0e1e4092af665dd20ae,Upgrading chardet to 2.1.1,Stephen Donner,2013-09-06T01:06:23Z,stephendonner,stephendonner,2,1,1
3,marketing-project-template,f228a972be6d1157baee5248f35c35682e2e092a,Upgrading requests to 1.2.3,Stephen Donner,2013-09-05T23:31:41Z,stephendonner,stephendonner,4,2,2
4,marketing-project-template,0c9b84ba2d6cc3c27e03fb2c49d82de58ec4d3cf,"Merge pull request #9 from bebef1987/master

fix except issue",Stephen Donner,2013-02-13T21:10:46Z,stephendonner,stephendonner,2,1,1
5,marketing-project-template,d88d948e14e1a134c5c06e38542878e55f7f531d,fix except issue,bebef1987,2013-02-13T13:49:07Z,bebef1987,bebef1987,2,1,1
6,marketing-project-template,94f2149dff4c1b1286eab60f0e1a71b117dae5f4,"Merge pull request #8 from bobsilverberg/requirementsUpdate

Updated requirements.txt to allow use of pytest-mozwebqa 1.0",Stephen Donner,2012-09-06T17:27:16Z,stephendonner,stephendonner,26,20,6
7,marketing-project-template,0eb6ce83646aaabdab8409789c6cefbab1ee70e4,Updated requirements.txt,Bob Silverberg,2012-07-26T13:14:10Z,bobsilverberg,bobsilverberg,26,20,6
8,marketing-project-template,b8ab6f5a9442c4ba2b870b33a50ebd4b76af7a4a,"Merge pull request #7 from stupchiy/fixes

stephend request to remove 404 status page check",Stephen Donner,2012-05-01T06:25:07Z,stephendonner,stephendonner,1,0,1
9,marketing-project-template,42f7ec7be2168253ac85d153e0e4d43fbc6befc7,removed ui 404 check,Sergey Tupchiy,2012-03-13T18:55:16Z,stupchiy,stupchiy,1,0,1
