,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,marketplace-ctf,a48a8e90eb43e53ac553df2304bf62dfa7bcd9c8,correct year,Andy McKay,2015-03-09T17:39:43Z,Andy McKay,Andy McKay,2,1,1
1,marketplace-ctf,f3c3074b997eb66fd2fd1838124bd3ae8ad60dbb,fix routes in round 4 and add readmes,Andy McKay,2014-02-05T05:59:36Z,Andy McKay,Andy McKay,53,50,3
2,marketplace-ctf,8334b84a88dea63607d78c36594e70a688415fa5,and when...,Andy McKay,2014-02-05T03:23:30Z,Andy McKay,Andy McKay,3,2,1
3,marketplace-ctf,290431753c190a2214770fa1b5581896416e0375,clean up presentation,Andy McKay,2014-02-05T03:22:24Z,Andy McKay,Andy McKay,18,8,10
4,marketplace-ctf,da43a98054e5d74020a5d4805f558e08e6623bac,fix data.url,Andy McKay,2014-01-30T00:42:22Z,Andy McKay,Andy McKay,2,1,1
5,marketplace-ctf,9cbe44eb56121fa418ec10ab2011851e9d96817d,add in zip script,Andy McKay,2014-01-29T21:19:10Z,Andy McKay,Andy McKay,7,7,0
6,marketplace-ctf,709a97f99308a420ab5f3c57ad496ef2914529ca,a few more fixes,Andy McKay,2014-01-29T21:09:42Z,Andy McKay,Andy McKay,6,4,2
7,marketplace-ctf,95682402252536f6b20c8f0c9b1e57837f1c8cd0,fix up,Andy McKay,2014-01-29T08:01:24Z,Andy McKay,Andy McKay,18,9,9
8,marketplace-ctf,bd8760d11996a964d49521099c84af3ef7c3c2d9,round 6 and convert slides,Andy McKay,2014-01-27T03:10:58Z,Andy McKay,Andy McKay,638,308,330
9,marketplace-ctf,ca49fa7e0fc0c537f370c84252a7e540ecdbbba0,let there be a round 6,Andy McKay,2014-01-27T02:47:48Z,Andy McKay,Andy McKay,161,159,2
10,marketplace-ctf,b348e0d579f889cd39251d9e6f2222fea7430f2d,and a round 5,Andy McKay,2014-01-20T03:51:33Z,Andy McKay,Andy McKay,145,134,11
11,marketplace-ctf,bc4ce4089b527cb55c845adc72b99e0d015b4afe,add in stats,Andy McKay,2014-01-14T21:51:26Z,Andy McKay,Andy McKay,47,47,0
12,marketplace-ctf,d09abe5a28f0f3283407fc18bccf1a872f1fd09d,add the start of the presentation,Andy McKay,2014-01-11T04:05:05Z,Andy McKay,Andy McKay,247,243,4
13,marketplace-ctf,b4148a950f2c45716d50fdee03e4a52dc6c46b58,more template cleaning,Andy McKay,2014-01-11T03:21:33Z,Andy McKay,Andy McKay,13,7,6
14,marketplace-ctf,1073f9977a1d2de536f8e87a14ed053c85568691,template clean up,Andy McKay,2014-01-11T03:15:57Z,Andy McKay,Andy McKay,69,31,38
15,marketplace-ctf,e8a4ff4cf45a39040fa1bd0eae27906799684842,remove bootstrap js,Andy McKay,2014-01-11T03:02:07Z,Andy McKay,Andy McKay,1,0,1
16,marketplace-ctf,e4eb5ff6e11351682b7e49b703bab6fc7a3947e6,working xss example,Andy McKay,2014-01-11T03:00:24Z,Andy McKay,Andy McKay,36,11,25
17,marketplace-ctf,f09246cf5d3b3020f7583dbe5c55e6316410dac0,Don't give away the answer in round-2.,Rob Hudson,2014-01-11T00:52:13Z,robhudson,robhudson,4,3,1
18,marketplace-ctf,6fb9d0c7e458be50474a4170faee874e8f6c8687,Fixed missing bracket in html,Rob Hudson,2014-01-11T00:19:52Z,robhudson,robhudson,14,6,8
19,marketplace-ctf,e6c5c4ab4cf87ceead8335be5a6e865eda0e1ad6,add in round 4,Andy McKay,2014-01-10T23:48:55Z,Andy McKay,Andy McKay,182,179,3
20,marketplace-ctf,e07b2eb88a30d1b3255a65a767c1db52617e7284,round 3,Andy McKay,2013-12-30T05:06:09Z,Andy McKay,Andy McKay,141,139,2
21,marketplace-ctf,a25512ecc34d76913b0b5140e954d14050991549,move round 3 to the bucket,Andy McKay,2013-12-15T16:12:57Z,Andy McKay,Andy McKay,1,1,0
22,marketplace-ctf,a4b03521dc522c834152f19b2650a66eb45e4e1d,and the start of round 3,Andy McKay,2013-12-10T07:01:34Z,Andy McKay,Andy McKay,93,93,0
23,marketplace-ctf,5dd04f5e8ad78f20cee4bca36f606882e159dbb1,round 2,Andy McKay,2013-12-10T04:52:02Z,Andy McKay,Andy McKay,97,95,2
24,marketplace-ctf,255051449cccb5c75a245d6d10bb524cd10c7295,"first pass, too easy",Andy McKay,2013-12-07T04:36:15Z,Andy McKay,Andy McKay,82,82,0
