,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,marketplace-frontend-docs,6ed7f05df0ac9a3728bd1f9f7d42a9de832bf372,"Merge pull request #1 from mozilla/mstriemer-bower-link-docs

Clarify marketplace-core-modules workflow",Mark Striemer,2015-07-20T17:13:55Z,mstriemer,mstriemer,21,15,6
1,marketplace-frontend-docs,76447b81eef0e634c8533ae2e2ed55930edb533e,Link to official `bower link` docs,Mark Striemer,2015-07-20T16:54:58Z,mstriemer,mstriemer,9,6,3
2,marketplace-frontend-docs,2130eb3c5a002e6e1cf8950d1808246f1dfe76a1,Clarify marketplace-core-modules workflow,Mark Striemer,2015-07-20T16:25:15Z,mstriemer,mstriemer,18,12,6
3,marketplace-frontend-docs,a876b8f558e3231ce6f40cb7cbd28fb2c3dbfc3a,"Revert ""update setup""

This reverts commit d10d8266c2360ac755529f9e9c89f1ee9eb27cb1.",Kevin Ngo,2015-05-14T21:48:25Z,ngokevin,ngokevin,3,2,1
4,marketplace-frontend-docs,d10d8266c2360ac755529f9e9c89f1ee9eb27cb1,update setup,Kevin Ngo,2015-05-14T21:19:29Z,ngokevin,ngokevin,3,1,2
5,marketplace-frontend-docs,d99fea689bd66a9da9c1d3934d68b5764e2d49b0,update docs about npm link and marketplace-gulp,Kevin Ngo,2015-03-31T19:47:37Z,ngokevin,ngokevin,7,5,2
6,marketplace-frontend-docs,7dd21cdc84cf6474909ed8a6ec6cc4bc6dfdbcaf,update some docs,Kevin Ngo,2015-03-20T21:40:45Z,ngokevin,ngokevin,117,65,52
7,marketplace-frontend-docs,f7b76c566cae987d48d72af6cbdf6410f50fde23,Explain how to actually run the e2e tests,Mark Striemer,2015-03-20T15:28:28Z,mstriemer,mstriemer,39,36,3
8,marketplace-frontend-docs,732e7ccb78acc4b27d5fcc48be9ff1175c2636d2,Update path to Travis settings file,Mark Striemer,2015-03-20T15:19:24Z,mstriemer,mstriemer,2,1,1
9,marketplace-frontend-docs,6164677f62ceda4a45b64f63b8093ec714e17a66,"Update e2e test docs

Remove mention of `setUp` and `tearDown` in casper tests since they aren't really useful.",Mark Striemer,2015-03-20T15:17:38Z,mstriemer,mstriemer,38,14,24
10,marketplace-frontend-docs,35cf4557d1cea7511c94a4aece0566873650489a,link to old commonplace wiki,Kevin Ngo,2015-03-09T19:11:33Z,ngokevin,ngokevin,1,1,0
11,marketplace-frontend-docs,bd98e162f4a5ecd1659436757f8e8a04117cdaf3,Update e2e test docs,Mark Striemer,2015-03-05T20:05:44Z,mstriemer,mstriemer,8,3,5
12,marketplace-frontend-docs,d1e3ec687044c0e919b6e6e8e32529a5a2c09f8c,Describe writing a unit test,Mark Striemer,2015-03-05T20:02:31Z,mstriemer,mstriemer,50,23,27
13,marketplace-frontend-docs,2997455b7d193a4df64601429f5df2b9e97b952e,Document testing libraries,Mark Striemer,2015-03-05T19:47:39Z,mstriemer,mstriemer,30,13,17
14,marketplace-frontend-docs,8ae8177122fc44ad329ed6292155fbe6818c2594,Update how to run tests,Mark Striemer,2015-03-05T18:38:51Z,mstriemer,mstriemer,22,14,8
15,marketplace-frontend-docs,37beee427a8da6416509b192436c0aafcb9814f5,coding guidelines,Kevin Ngo,2015-02-26T21:17:46Z,ngokevin,ngokevin,114,114,0
16,marketplace-frontend-docs,5320dc2b2b3b30c342994fc9ff2cf2297bd42a5c,link to packaged apps,Kevin Ngo,2015-02-24T23:04:29Z,ngokevin,ngokevin,6,6,0
17,marketplace-frontend-docs,43f8839db2ee87cbf77b8cf517ea5067275fb95f,fix format,Kevin Ngo,2015-01-28T02:35:50Z,ngokevin,ngokevin,4,2,2
18,marketplace-frontend-docs,7214b9368b94f2525b31c66cf7efc599ce6e8aaa,update e2e testing docs again,Kevin Ngo,2015-01-28T02:29:55Z,ngokevin,ngokevin,72,32,40
19,marketplace-frontend-docs,360ef9a3a68cde037a66d2e719c4227fcb7251cf,update e2e testing docs,Kevin Ngo,2015-01-22T03:50:58Z,ngokevin,ngokevin,53,42,11
20,marketplace-frontend-docs,8fcae48a5c84189735020f34435c3d4976238a59,colon,Kevin Ngo,2014-12-11T22:53:30Z,ngokevin,ngokevin,2,1,1
21,marketplace-frontend-docs,f5e585b131c0807f9ee9f0d61e1806789e070dbe,note on shimming,Kevin Ngo,2014-12-11T22:19:11Z,ngokevin,ngokevin,14,14,0
22,marketplace-frontend-docs,8d2ee4654867c7457e5aca3e0e241ab473fbdd5c,MKT_COMPILED flag,Kevin Ngo,2014-12-11T21:02:27Z,ngokevin,ngokevin,8,4,4
