,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,marketplace-gulp,9f957f661b498b2da84d7f38f4ad17d48516704b,Modify config path in index.js,Stuart Colville,2014-11-04T16:26:48Z,muffinresearch,muffinresearch,4,2,2
1,marketplace-gulp,9468c52fff9e15f2ebe9c3e45b9d01b368e67c1f,support setting project config.js path for docker,Kevin Ngo,2014-11-04T15:04:35Z,ngokevin,ngokevin,8,4,4
2,marketplace-gulp,a286ccfdf58a5379df4660aa1e99eccefab2f9c2,v1.0.82 export requireConfig and bowerCopy tasks for docker,Kevin Ngo,2014-11-04T14:45:38Z,ngokevin,ngokevin,20,18,2
3,marketplace-gulp,4750a20447b2a62649bc0634da99f06cd72b05da,v1.0.81 add ability to specify bower path for docker,Kevin Ngo,2014-11-04T11:51:17Z,ngokevin,ngokevin,4,2,2
4,marketplace-gulp,3a9da193d7e36445777bc2f50498c2e2dfdb5116,fix commonplace test,Kevin Ngo,2014-11-04T11:36:40Z,ngokevin,ngokevin,8,6,2
5,marketplace-gulp,7db72b6f1498969ff29ed9779c9391121124d148,"v1.0.7 js hint (bug 1092519)

gulp-jshint: ""1.8.6""
jshint-stylish: ""1.0.0""",Kevin Ngo,2014-11-01T13:06:12Z,ngokevin,ngokevin,22,21,1
6,marketplace-gulp,f6a1e648ac49caf61fb7566631199e4a0a3b7f73,have amdoptimize read input from stream. changes to support fireplace package build system,Kevin Ngo,2014-11-01T12:37:30Z,ngokevin,ngokevin,63,38,25
7,marketplace-gulp,cb9d7bcc69512e2e91cf404083c42b9b7b809c18,common makefile (bug 1092158),Kevin Ngo,2014-11-01T07:20:30Z,ngokevin,ngokevin,25,24,1
8,marketplace-gulp,f170ccdcd0f5db5d246c520ebc951e4108b5b315,rename to index.js for conformity,Kevin Ngo,2014-11-01T05:48:22Z,ngokevin,ngokevin,0,0,0
9,marketplace-gulp,7f1b6cf7019976212e107786fded5ba9d12e19f5,remove unused args from function callback in `imgurls-cachebust.transform`,Christopher Van,2014-10-31T23:56:22Z,cvan,cvan,2,1,1
10,marketplace-gulp,f1e7fe2fe5e5545452594a38deaf68b1db26d443,"js linting (reorder `require`s, remove unused variable)",Christopher Van,2014-10-31T23:54:22Z,cvan,cvan,26,13,13
11,marketplace-gulp,8fe1958885ccfd212913c32f15aa3b11e78da492,"Revert ""exclude l10n and test views from the js bundle""

This reverts commit c99042612a88f64ff641a9348a15d5a9e6ea76a1.",Kevin Ngo,2014-10-31T17:55:19Z,ngokevin,ngokevin,3,1,2
12,marketplace-gulp,8c630a86ebcd03edddaab9a00024a3e0288331c0,recompile all CSS when css lib file is changed,Kevin Ngo,2014-10-31T16:35:47Z,ngokevin,ngokevin,11,9,2
13,marketplace-gulp,5c3ffac9f8e443de42b0bfa11fd2a7a3427e7b18,forgot .length that was blocking css builds,Kevin Ngo,2014-10-31T16:01:24Z,ngokevin,ngokevin,4,2,2
14,marketplace-gulp,92b96c7aef798f4adb0d5bba2e5e9d1087c8aa4d,add package zips to clean,Kevin Ngo,2014-10-31T13:38:02Z,ngokevin,ngokevin,1,1,0
15,marketplace-gulp,d04e7e3b60e75c2be8dc6d35842b34d6855be10b,development tip,Kevin Ngo,2014-10-31T12:31:22Z,ngokevin,ngokevin,4,4,0
16,marketplace-gulp,c99042612a88f64ff641a9348a15d5a9e6ea76a1,exclude l10n and test views from the js bundle,Kevin Ngo,2014-10-31T05:29:14Z,ngokevin,ngokevin,1,1,0
17,marketplace-gulp,cf7eb27260dacf566794211213d088f76a3c95ea,catch stylus compile errors cleanly (bug 1091811),Kevin Ngo,2014-10-31T03:54:43Z,ngokevin,ngokevin,6,5,1
18,marketplace-gulp,d07b0c507ba992503889ba1c413e28b8f9691732,only recompile modified CSS files rather than all (bug 1091421),Kevin Ngo,2014-10-31T03:43:44Z,ngokevin,ngokevin,21,17,4
19,marketplace-gulp,6afc95372834b1a3923c9d99db72f0676ecb8a24,"default tasks to async, explicitly define sync tasks (bug 1091807)",Kevin Ngo,2014-10-31T01:54:45Z,ngokevin,ngokevin,60,42,18
20,marketplace-gulp,37502d4e5a3925be956883622c3dfd76a6283fd4,"Revert ""only compile css on serve if needed (bug 1091807)""

This reverts commit 2b728a6609d7d55643e521301ed1fb67051639b2.",Kevin Ngo,2014-10-30T21:35:55Z,ngokevin,ngokevin,11,2,9
21,marketplace-gulp,2b728a6609d7d55643e521301ed1fb67051639b2,only compile css on serve if needed (bug 1091807),Kevin Ngo,2014-10-30T19:55:12Z,ngokevin,ngokevin,11,9,2
22,marketplace-gulp,a2efbf62d0f46b40fc059d249ed37e84c28ce168,allow specify port through process.env,Kevin Ngo,2014-10-29T18:16:42Z,ngokevin,ngokevin,2,1,1
23,marketplace-gulp,587992c9b6fcaa8aa9c1bbdb5e7882b506c6222b,forgot to remove underscore dep,Kevin Ngo,2014-10-29T18:15:07Z,ngokevin,ngokevin,1,0,1
24,marketplace-gulp,fb5bb7cbe6e8e9958b7437304227d8493ab00003,read me,Kevin Ngo,2014-10-29T02:18:08Z,ngokevin,ngokevin,0,0,0
25,marketplace-gulp,f546d4a7ca52df8e66b103dd25863f71f9535a97,remove underscore dep,Kevin Ngo,2014-10-28T16:23:05Z,ngokevin,ngokevin,2,1,1
26,marketplace-gulp,f0c1635d20639331dfea54ca4a48f918f095a620,fix config path,Kevin Ngo,2014-10-28T16:22:02Z,ngokevin,ngokevin,8,4,4
27,marketplace-gulp,98acbd68ff25ed9b4b4755fa92cd702cd0807bc0,initial gulp,Kevin Ngo,2014-10-22T18:32:40Z,ngokevin,ngokevin,483,483,0
28,marketplace-gulp,5dcea34fc9656ba523a7d90efc3d59cae02f9e8a,Initial commit,Kevin Ngo,2014-10-21T19:59:32Z,ngokevin,ngokevin,363,363,0
29,marketplace-gulp,6c0e405275342edf70bdf265670d64053d1d9a43,v4.8.0,Mark Striemer,2015-09-23T02:28:13Z,mstriemer,mstriemer,2,1,1
30,marketplace-gulp,80f5d9f7635a44a9feaada452582a89db5b08e65,"Merge pull request #24 from mozilla/fail-jshint-on-failure

Fail the lint task when jshint fails",Mark Striemer,2015-09-23T02:27:42Z,mstriemer,mstriemer,3,2,1
31,marketplace-gulp,f03172e7b4df78de53d3222e4dbf1f9fa68c9c46,"Merge pull request #26 from chuckharmston/master

4.7.3 release: updates autoprefixer to get rid of the spammy deprecation notice.",Chuck Harmston,2015-08-12T16:04:55Z,chuckharmston,chuckharmston,2,1,1
32,marketplace-gulp,b26a9a4a6d75feb7b36a4e086613b898142e8a6a,4.7.3 release: updates autoprefixer to get rid of the spammy deprecation notice.,Chuck Harmston,2015-08-12T16:03:40Z,chuckharmston,chuckharmston,2,1,1
33,marketplace-gulp,d04c4cd8b0db9425501cb20f2d70d0fdd584836f,"Merge pull request #25 from chuckharmston/update-autoprefixer

Updates gulp-autoprefixer to prevent spamming of autoprefixer deprecation notice.",Chuck Harmston,2015-08-04T20:44:15Z,chuckharmston,chuckharmston,2,1,1
34,marketplace-gulp,c6cb26c2b7d3f714fcb009c2f7e5aad47f3fe5b9,Updates gulp-autoprefixer to prevent spamming of autoprefixer deprecation notice.,Chuck Harmston,2015-08-04T20:20:02Z,chuckharmston,chuckharmston,2,1,1
35,marketplace-gulp,8b881f091a70b64998218de82609d3aff614b5d7,Fail the lint task when jshint fails,Mark Striemer,2015-07-20T20:48:14Z,mstriemer,mstriemer,3,2,1
36,marketplace-gulp,d70d902c8e07350b3d07dd25761626adf2a95ccd,"v4.7.2 Revert ""no need templates for unittest""

This reverts commit 4879d8936bf193bdf0786f4d2c76671f6f5a8b83.",Mark Striemer,2015-05-05T17:07:14Z,mstriemer,mstriemer,6,3,3
37,marketplace-gulp,f7809b3fd5c33142c444d5c15f8d0d3470999327,v4.7.1 rm css log,Kevin Ngo,2015-05-01T17:49:35Z,ngokevin,ngokevin,5,1,4
38,marketplace-gulp,4879d8936bf193bdf0786f4d2c76671f6f5a8b83,no need templates for unittest,Kevin Ngo,2015-04-21T16:57:51Z,ngokevin,ngokevin,6,3,3
39,marketplace-gulp,856077e035c23bf0f79104fdd1f46f8e821ad276,v4.6.0 use gulp autoprefixer again,Kevin Ngo,2015-04-01T18:13:10Z,ngokevin,ngokevin,27,3,24
40,marketplace-gulp,6328bb5fffa108c8e323f89c48ac21aed0a3d22d,"Merge pull request #23 from chuckharmston/core_css

Use Stylus configuration from commonplace.",Chuck Harmston,2015-03-31T20:11:50Z,chuckharmston,chuckharmston,8,3,5
41,marketplace-gulp,8c7daacf087ae463660d89ab0bfc6580718cc81a,Use Stylus configuration from commonplace.,Chuck Harmston,2015-03-31T19:05:45Z,chuckharmston,chuckharmston,4,1,3
42,marketplace-gulp,0973516080723448c4b40e00b936a67f160dce95,Use Stylus configuration from commonplace.,Chuck Harmston,2015-03-31T19:05:45Z,chuckharmston,chuckharmston,4,2,2
43,marketplace-gulp,8fafeabf228c732510437dcbfba8a3809a61aeaf,v4.4.0 downgrade gulp-stylus for err catching,Kevin Ngo,2015-03-27T18:10:45Z,ngokevin,ngokevin,46,14,32
44,marketplace-gulp,7624448482791cf92c8de9a11e1ad036d3c684bf,v4.3.3 Don't set TEST_URL here,Mark Striemer,2015-03-26T20:36:49Z,mstriemer,mstriemer,4,1,3
45,marketplace-gulp,05f4f8fa547ba22bc7a1d20ae642487d66fc3091,v4.3.2,Mark Striemer,2015-03-26T19:21:00Z,mstriemer,mstriemer,2,1,1
46,marketplace-gulp,0519c45c9fd6a66d279b615aa3ca08641ca13a9d,Add gulp-util to package.json,Mark Striemer,2015-03-26T19:20:27Z,mstriemer,mstriemer,1,1,0
47,marketplace-gulp,fbac5ddcd7243db2b9afe0949450950f9ee7e2e6,v4.3.1 Set a default for TEST_URL by grepping config.js,Mark Striemer,2015-03-26T18:02:49Z,mstriemer,mstriemer,4,3,1
48,marketplace-gulp,b742f60f68b1a46f54214838428cceaf40e1e002,v4.3.0 use our own autoprefixer plugin that doesn't error,Kevin Ngo,2015-03-26T17:34:42Z,ngokevin,ngokevin,43,40,3
49,marketplace-gulp,d693a49ae5037b5d345c4de51728e874131229a0,v4.2.3 Don't include `make test-package` command,Mark Striemer,2015-03-26T17:05:56Z,mstriemer,mstriemer,6,1,5
