,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,marketpulse,7ea9cbd8de608efe26ba9e7ffe7734d2a887440a,"Merge pull request #42 from akatsoulas/forms-back-end

Forms back end",Tasos Katsoulas,2015-02-18T17:30:04Z,akatsoulas,akatsoulas,336,283,53
1,marketpulse,56995a7de7bd8912343497526ea37420a5684f2b,Initial implementation of the contribution form.,Tasos Katsoulas,2015-02-17T10:51:09Z,akatsoulas,akatsoulas,278,226,52
2,marketpulse,c300cf5dc2fb49d4ea9c190e908a958d772a705b,Create a FfxOS activity.,Tasos Katsoulas,2015-02-17T10:07:47Z,akatsoulas,akatsoulas,58,57,1
3,marketpulse,58e4e01aa3f9dd8a9c659e615b73eef619d3aeb1,"Merge pull request #35 from comzeradd/nav-menu

Top navigation menu",Nikos Roussos,2015-02-18T16:49:01Z,comzeradd,comzeradd,253,211,42
4,marketpulse,1f7417dbe2a9c4bf7ace0e79edef5578a1d676e7,Top navigation menu,Nikos Roussos,2015-02-16T19:12:39Z,comzeradd,comzeradd,253,211,42
5,marketpulse,97eecd228af38e3fdf15bfbc0361bf7b2e1e47d9,"Merge pull request #38 from johngian/fix-auth

Configure BrowserID login/logout.",John Giannelos,2015-02-18T10:24:21Z,johngian,johngian,39,35,4
6,marketpulse,427722fb20f4657a42b8460fec7af3f39f875a97,Configure BrowserID login/logout.,John Giannelos,2015-02-16T18:41:07Z,johngian,johngian,35,32,3
7,marketpulse,d82a86e0434ddf8a9928ddb067d915b6f8331ee8,Set up BROWSERID_AUDIENCES for fig and tox.,John Giannelos,2015-02-18T10:19:27Z,johngian,johngian,4,3,1
8,marketpulse,13d93ed7972e9471cdf90dacb794d7d78361d60e,"Merge pull request #39 from mozilla/footer_fixes

Fix footer for color and copy.",Pierros Papadeas,2015-02-17T15:16:09Z,ppapadeas,ppapadeas,23,18,5
9,marketpulse,7700be14ba0285c1213c0745ca198ccac58e7f6f,Fix footer for color and copy.,Pierros Papadeas,2015-02-17T15:05:55Z,ppapadeas,ppapadeas,23,18,5
10,marketpulse,e6e04be2687281c2a5d550ee572aca7ac313bc9d,"Merge pull request #37 from akatsoulas/update-jingo

Upgrade jingo in order to work with django 1.7.",Tasos Katsoulas,2015-02-17T13:24:15Z,akatsoulas,akatsoulas,13,10,3
11,marketpulse,23dc0c5de30c44f58bc7e0c1f9233bb175e7071a,Upgrade jingo in order to work with django 1.7.,Tasos Katsoulas,2015-02-17T13:15:17Z,akatsoulas,akatsoulas,13,10,3
12,marketpulse,73bdfb322501196273da73396f697f8661e16f5c,"Merge pull request #32 from johngian/21-data-export

Enable data export from /admin.",John Giannelos,2015-02-17T12:02:57Z,johngian,johngian,79,73,6
13,marketpulse,e0cd0041a1da96b9a122f53bbd16f00ee3a6b262,"Merge pull request #36 from akatsoulas/js-strict-mode

Use strict mode in js code.",Tasos Katsoulas,2015-02-17T11:49:45Z,akatsoulas,akatsoulas,12,8,4
14,marketpulse,4d9c3d0eb4bee588652f0342fd7a2d86bf2dfa0c,"Use strict mode in js code.

* Minor fixes.",Tasos Katsoulas,2015-02-17T10:55:30Z,akatsoulas,akatsoulas,12,8,4
15,marketpulse,f152eeba92a9b38ffb394a84eb504e5bfcacf74b,"Merge pull request #33 from comzeradd/map

Add Mapbox settings",Nikos Roussos,2015-02-17T11:42:13Z,comzeradd,comzeradd,17,13,4
16,marketpulse,b5a928b94a7399f235f17404a17103b5fbd9d6c6,Add Mapbox settings,Nikos Roussos,2015-02-16T17:17:38Z,comzeradd,comzeradd,17,13,4
17,marketpulse,e8ac715144d5c97bc9c4e4da81b55cf55cfb95ad,"Enable data export from /admin.

* Models exported: Activity, User, Price, Contribution
* Remove unused model definition in /admin classes.",John Giannelos,2015-02-16T13:22:07Z,johngian,johngian,79,73,6
18,marketpulse,2b89b45a556f2f64475bbd6d02c8ce38896daefd,"Merge pull request #29 from johngian/fix-settings

Fix authentication settings.",John Giannelos,2015-02-16T13:44:46Z,johngian,johngian,2,1,1
19,marketpulse,4f84c770a69fe231d4178a95150d133344fc8067,Fix authentication settings.,John Giannelos,2015-02-16T13:39:53Z,johngian,johngian,2,1,1
20,marketpulse,48ab9025b5ef8daf546a1f76ca6a573a38519196,"Merge pull request #23 from comzeradd/submit-form

First iteration on FxOS prices form",Nikos Roussos,2015-02-16T11:38:34Z,comzeradd,comzeradd,1018,1009,9
21,marketpulse,365cb33a07f879c5dfb88b3d102390fb7ff3cf28,Add Firefox OS building blocks,Nikos Roussos,2015-02-13T13:58:11Z,comzeradd,comzeradd,1020,902,118
