,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,markup,fefd46c071fcc08e01e4bfad80a106b55f59c711,fixing SSL redirect bug,brez,2011-04-07T15:17:25Z,brez,brez,1,1,0
1,markup,c28b252312f7977975ef6bcd7c53ec737351f47e,Updated vendor library.,Fred Wenzel,2011-04-07T00:23:09Z,Fred Wenzel,Fred Wenzel,2,1,1
2,markup,24d02ebfc9926202415dbc8321b914a5a918c1ad,fixing a few url related issues,Adam Miller,2011-04-06T23:16:08Z,Adam Miller,Adam Miller,16,9,7
3,markup,489fa6a4bbf800e476f11c684a1cf21f1df1e94b,Merge branch 'master' of github.com:mozilla/markup,Adam Miller,2011-04-06T22:25:55Z,Adam Miller,Adam Miller,7,4,3
4,markup,617b45e310735e1ed62e6cb72200fd9aa4f79d66,"Adding the responsys id to settings for the newsletter, and changing a few view translation things",Adam Miller,2011-04-06T22:25:48Z,Adam Miller,Adam Miller,49,25,24
5,markup,29133b665519711bded38a1ff42190e52e1867b9,Merge remote branch 'origin/master',brez,2011-04-06T22:25:43Z,brez,brez,753,393,360
6,markup,de23dc02a853e91a1c74ebfe93148285d4fe83a4,Fixing 500 indentation issue with save_mark and adding require_POST decorators where appropriate,brez,2011-04-06T22:25:31Z,brez,brez,7,4,3
7,markup,b7b0d76153e799dde3ec370181645d32d530f0d4,adding a save button to the location select dialog,Adam Miller,2011-04-06T19:43:17Z,Adam Miller,Adam Miller,753,393,360
8,markup,d59498339ea0680bdc416328cfd45894dc9c5e08,changing MIME to to proper application/json where applicable,brez,2011-04-06T14:55:55Z,brez,brez,22,11,11
9,markup,cd47e3f03fbacead643c079b09ac91ab2a5abad8,fixing an error in the about page template,Adam Miller,2011-04-05T23:20:15Z,adammiller,adammiller,6,2,4
10,markup,c1b5d85b2c56e35a991af0259d7c6640d19f9033,spriting some of the css background images,Adam Miller,2011-04-05T23:06:39Z,adammiller,adammiller,94,51,43
11,markup,b7fc4173479fd8cadb5ee9c95b289a142962505a,adding indexes for integer / datetime columns,brez,2011-04-05T22:39:26Z,brez,brez,68,65,3
12,markup,f3902bc2ccb341b48f670a180128571fca25ff06,fixing indentation error in migration,brez,2011-04-05T22:38:55Z,brez,brez,2,1,1
13,markup,91921f4bd0f528029c4ca12c923a498035bb4f9d,update for 5apr,brez,2011-04-05T21:43:01Z,brez,brez,531,341,190
14,markup,4b7ee18ffec969aca53f49f8eba21fdeaeffd8e5,removing unused templates,brez,2011-04-05T20:21:00Z,brez,brez,57,0,57
15,markup,24b766bfe31b6524163e80030f9bf73e4cf46841,update for 04apr,brez,2011-04-04T17:55:04Z,brez,brez,82,55,27
16,markup,ae0fd87c18f80a200e7434640df0870a860b3bed,Fixed manage.py file to not import django before fixing its site dir.,Fred Wenzel,2011-04-02T00:00:05Z,Fred Wenzel,Fred Wenzel,8,4,4
17,markup,d29402e57ae2ce19d74a75f82da8b0150126eee6,Added vendor library as git submodule,Fred Wenzel,2011-04-01T23:48:14Z,Fred Wenzel,Fred Wenzel,4,4,0
18,markup,a24f893e1807a52c23aad44259cf7321e96113de,Moved requirements/ dir into project dir.,Fred Wenzel,2011-04-01T23:27:56Z,Fred Wenzel,Fred Wenzel,0,0,0
19,markup,96b07d64f77c7770b1cd80050e31cedb52a0993b,"Moved app.wsgi into wsgi dir underneath main project dir, so import manage works as expected. Bug 645038.",Fred Wenzel,2011-04-01T22:45:05Z,Fred Wenzel,Fred Wenzel,0,0,0
20,markup,a2650600e6b5ee518acf704a893f4a8f29623736,fixing type-o,brez,2011-04-01T19:58:40Z,brez,brez,2,1,1
21,markup,c9e153a84574c5e7ee4ffbd69d73b950050d4948,pep8 updates,brez,2011-03-31T23:19:13Z,brez,brez,1896,1009,887
22,markup,68019f7121f33045b8691b7677ba0bdbda9daf3d,"bug fixes, image updates, etc",brez,2011-03-31T14:47:34Z,brez,brez,708,408,300
23,markup,18bf0b01a6997a633fb6caf621bb6f488fc7e94e,"Bug fixes, copy updates, general cleanup",brez,2011-03-29T22:59:01Z,brez,brez,12858,931,11927
24,markup,51a9f7c83342f6dff8d48a76b9a228613ab655e6,merging front-end updates,alex bisceglie,2011-03-25T23:09:32Z,bisceglie,bisceglie,96,48,48
25,markup,8adb8e1fcc301f34a65d00bba5cd22f4916c270c,merging in updates to initial,alex bisceglie,2011-03-24T20:09:20Z,bisceglie,bisceglie,30428,30428,0
26,markup,9883965e451c8d82e9c4f0c4c5e8a0789f4f6d27,removing depracated bits for re-commit,alex bisceglie,2011-03-24T19:57:46Z,bisceglie,bisceglie,36887,0,36887
