,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mdn-devtool,d0061b9667cc782eab131f49de7e05024f4770d7,"Merge pull request #15 from darkwing/explain-features-readme

Add simple instructions for how to run the addon",David Walsh,2015-03-23T16:39:30Z,darkwing,darkwing,11,11,0
1,mdn-devtool,b812da0110da645161fa7bc7174efdf73e0fb64e,Add simple instructions for how to run the addon,David Walsh,2015-03-23T16:37:51Z,darkwing,darkwing,11,11,0
2,mdn-devtool,da40a75b0967b3c69647974dca9c0d0aacc3892a,"Merge pull request #13 from darkowlzz/newZR

Added tests and moved some functions to separate utils module.",David Walsh,2015-03-12T15:06:45Z,darkwing,darkwing,234,174,60
3,mdn-devtool,ca508e9e4e009c56b4a9f1ee9e2ec15a4aa8dfa0,Added .travis.yml and tests for scripts.,sunny,2015-03-11T18:45:00Z,darkowlzz,darkowlzz,142,122,20
4,mdn-devtool,0c83780e487a6ca44b18db259884d4398aea52dd,Moved some functions to separate utils module.,sunny,2015-03-10T17:50:39Z,darkowlzz,darkowlzz,94,53,41
5,mdn-devtool,6535e9901dbec2ea85ba282b70dbca3721d2ed2c,"Merge pull request #12 from groovecoder/streamline-setup-11

fix #11 - streamline the setup/develop experience",David Walsh,2015-03-02T23:08:42Z,darkwing,darkwing,21,11,10
6,mdn-devtool,f0420a3a8169b19c394653a80f58848e8119905e,fix #11 - streamline the setup/develop experience,groovecoder,2015-03-02T22:57:39Z,groovecoder,groovecoder,21,11,10
7,mdn-devtool,87778e8c9ff9a67db2c5953a1498b56800638d36,Add styling for result listing,David Walsh,2015-02-24T18:08:59Z,darkwing,darkwing,35,27,8
8,mdn-devtool,e2a05f701b0d55956485cc080fa608d260c81776,Adding test zest files for local testing,David Walsh,2015-02-24T17:45:39Z,darkwing,darkwing,140,140,0
9,mdn-devtool,00c53eea5dcf8b02f9ccf07d903031f3901813bc,Add handling for results from zest script runs.,David Walsh,2015-02-24T17:33:59Z,darkwing,darkwing,57,40,17
10,mdn-devtool,6eb89637428ed3d941e1c0c4330c5ba0808d964b,Updating zest-runner version,David Walsh,2015-02-24T14:57:37Z,darkwing,darkwing,6,3,3
11,mdn-devtool,2a36ba2d0420a1f2c8b0261f75f8a76dce1a97ee,"Moving Tree creation stubs, error message",David Walsh,2015-02-19T17:45:30Z,darkwing,darkwing,76,37,39
12,mdn-devtool,dab60095bd14ea1f0674c3fdd43efbb453ef3272,"Add stubs for more functionality, show error block upon bbad zest file",David Walsh,2015-02-17T20:14:38Z,darkwing,darkwing,91,69,22
13,mdn-devtool,8a8e1c79b5c2d69698b4b18640624f88be9a377a,Add menu item to DevTools toolbar,David Walsh,2015-02-17T17:13:23Z,darkwing,darkwing,25,23,2
14,mdn-devtool,86d953ffeef6925ecf9989f7dc0647fd88710d9e,Adding new plugin structure,David Walsh,2015-02-17T17:00:19Z,darkwing,darkwing,523,523,0
15,mdn-devtool,0dcd12f5c2e6c8bc312249d2464c1f9e01b7aa81,Remove old file structure for new file structure,David Walsh,2015-02-17T16:39:00Z,darkwing,darkwing,704,0,704
16,mdn-devtool,55e92ae3fd656ca945b597be997a210621f3a8c6,"Moving out of xul namespace, not needed",David Walsh,2015-02-10T16:50:11Z,darkwing,darkwing,55,29,26
17,mdn-devtool,dad39d560f4a150cf977a267f9107484ce14006a,Add sample tree widget to the MDN DevTool,David Walsh,2015-02-09T21:34:47Z,darkwing,darkwing,24,22,2
18,mdn-devtool,e6a73cf29943f7a01aec19c733d6f5538e0ff11d,Minor updates to localization function,David Walsh,2015-01-30T17:58:03Z,darkwing,darkwing,3,1,2
19,mdn-devtool,eb0afd04ad90eb52c6a2f04e19b6f37e7f97da44,"Add file picker to the tool, add stubs for actions",David Walsh,2015-01-28T17:09:24Z,darkwing,darkwing,108,103,5
20,mdn-devtool,cbf6f47b9d92bedb8c84aaafaa14e77b9b46e8af,Add tooling to XUL,David Walsh,2015-01-14T18:23:07Z,darkwing,darkwing,9,5,4
21,mdn-devtool,6e4749ff46ead2d189a64a5d66faa7406a96d226,Adding different images for recording and scanning,David Walsh,2015-01-14T17:39:50Z,darkwing,darkwing,21,18,3
22,mdn-devtool,7d839e50a6592daeb13e8aac5d2844eef52a96a6,"Cleanups to add-on language, styles",David Walsh,2015-01-12T22:33:20Z,darkwing,darkwing,39,22,17
23,mdn-devtool,1daf9edbb87953fb75dab19c14136351cd35df8f,Add principal layout for security tab,David Walsh,2015-01-12T21:35:04Z,darkwing,darkwing,94,69,25
24,mdn-devtool,4ef432f180817ec19154e6bcf42cc0c58d5a163a,Removing the SDK Panel code.,David Walsh,2015-01-12T19:53:44Z,darkwing,darkwing,183,0,183
25,mdn-devtool,09492f8200cff39d38e046ef0ebe2e84d0293d66,Adding add-on code based on Victor's template,David Walsh,2015-01-12T19:43:59Z,darkwing,darkwing,553,553,0
26,mdn-devtool,ba8980a6f0ee9f2a9aaca400499f307f2283392f,Moving jetpack code to legacy directory in preparation for restartless-template implementation,David Walsh,2015-01-12T19:03:19Z,darkwing,darkwing,0,0,0
27,mdn-devtool,7ebb2376ffa5a214a9074246e3e1b02a734a0102,"Remove layout.xul, was never meant to be commited",David Walsh,2015-01-12T15:33:21Z,darkwing,darkwing,55,0,55
28,mdn-devtool,eea18bc020a579743d01a28cf9ae8854abca899f,Updating to progress,David Walsh,2015-01-12T15:00:08Z,darkwing,darkwing,78,74,4
29,mdn-devtool,ccacd07b0d0582407ff4176aceeeabddca3be3d0,Adding git ignore to hide node_modules,David Walsh,2015-01-12T14:59:24Z,darkwing,darkwing,6113,1,6112
30,mdn-devtool,df412d27b359d3db8774168eccf00df27a3ea7c2,Updating instructions to reflect Mozilla repo,David Walsh,2015-01-09T20:01:29Z,darkwing,darkwing,2,1,1
31,mdn-devtool,408eeb8b9b321d836449808f9f246edda020fa65,Adding chrome manifest,David Walsh,2015-01-09T19:58:52Z,darkwing,darkwing,30,22,8
32,mdn-devtool,c8682110154fbc3b0cebbb3f77e33b3bb8e92101,Various cleanups to existing tool,David Walsh,2015-01-08T20:20:10Z,darkwing,darkwing,57,34,23
33,mdn-devtool,21fac0e0e0da8b428b9af85f18c2bd9a4755dfaf,Update tab language to reflect security,David Walsh,2015-01-07T22:54:30Z,darkwing,darkwing,22,12,10
34,mdn-devtool,669551d05786a2b6519ea3ca54529c9aec6f3e85,Adding functional menu item to the Tools -> Web Developer dropdown menu,David Walsh,2015-01-07T20:56:45Z,darkwing,darkwing,6136,6133,3
35,mdn-devtool,607ccc69bc24a339ac03e22d8c4677d31e7ab502,Leverage native devtool styles,David Walsh,2015-01-07T18:34:27Z,darkwing,darkwing,6,3,3
36,mdn-devtool,bb044704dbf8e77e26735005347d2a804e3999db,Fix formatting of the README file,David Walsh,2015-01-07T18:02:33Z,darkwing,darkwing,6,3,3
37,mdn-devtool,ea14110d35f5da54d16a3a4b735c04dd83c9d2a2,"Adding initial, working MDN devtool tab",David Walsh,2015-01-07T16:26:35Z,darkwing,darkwing,123,123,0
