,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,meao,dad360d967b4a36755d173bdabdda04dbfdd335d,sre status report 7/25/2017,Dave Parfitt,2017-07-25T17:25:06Z,metadave,metadave,44,44,0
1,meao,68781b364ebc7f915c7ad89834ba498741e5898a,"Merge pull request #45 from mozilla/dp_sre_jul18

sre status for July 18 2017",Josh Mize,2017-07-18T20:37:24Z,jgmize,jgmize,28,28,0
2,meao,4052c00ea28372173edfa15a7b46519ada2a751d,sre status for July 18 2017,Dave Parfitt,2017-07-18T18:34:13Z,metadave,metadave,28,28,0
3,meao,d1fc6de35e7464d709c01757e239476786d4cfca,"Merge pull request #44 from mozilla/dp_sre_jul11

add sre status July 11 2017",Josh Mize,2017-07-12T06:50:07Z,jgmize,jgmize,30,30,0
4,meao,026b1b691d856a226e08cfd92433169d015fc2ff,add sre status July 11 2017,Dave Parfitt,2017-07-12T00:38:10Z,metadave,metadave,30,30,0
5,meao,f335d40af27a7cdcb2e3af12a812ae7754a37296,"Merge pull request #43 from jwhitlock/kuma-report-2017-06

Kuma Report, June 2017",John Whitlock,2017-07-07T02:21:53Z,jwhitlock,jwhitlock,179,179,0
6,meao,396376a7c9bdcad47c0c9f310759c23e2e68df06,"Kuma Report, June 2017",John Whitlock,2017-07-05T20:37:17Z,jwhitlock,jwhitlock,179,179,0
7,meao,d817257f1266cb090fddd8bc749b0edfae893598,"Merge pull request #42 from jwhitlock/document-drafts

Document docker-run.sh and drafts",Josh Mize,2017-07-05T19:02:05Z,jgmize,jgmize,40,33,7
8,meao,110465633ddfb5054ce923a70cc87bdf34cdcf94,Document docker-run.sh and drafts,John Whitlock,2017-07-05T16:51:26Z,jwhitlock,jwhitlock,40,33,7
9,meao,d92c3c9c282af19603558019adcfc08262837882,"Merge pull request #41 from stephaniehobson/http2

HTTP/2 on MDN",John Whitlock,2017-06-27T12:56:25Z,jwhitlock,jwhitlock,103,103,0
10,meao,fa9e237cb9cd6ec74df66e73b725415f6510df86,HTTP/2 on MDN,Stephanie Hobson,2017-06-23T20:43:36Z,stephaniehobson,stephaniehobson,103,103,0
11,meao,bc138c98d7ff67de6028fb2ad01366c90e68225d,"Merge pull request #40 from mozilla/dp_sre_june20

sre status June 20 2017",Josh Mize,2017-06-20T21:33:41Z,jgmize,jgmize,42,42,0
12,meao,c737ce7b4bfacb33e32293d91af65a3e4e730cd7,sre status June 20 2017,Dave Parfitt,2017-06-20T21:18:25Z,metadave,metadave,42,42,0
13,meao,36ef79c68711441f113a5e97667d369c0bb3b03b,"remove ""top secret stuff""",Dave Parfitt,2017-06-14T15:10:20Z,metadave,metadave,7,1,6
14,meao,e4fe98d69c89b571e1ade760acb1de17ae1e2576,"Merge pull request #39 from mozilla/dp_sre_june13

SRE status June 13th",Josh Mize,2017-06-14T00:27:13Z,jgmize,jgmize,40,40,0
15,meao,34a7a8445a87d95e064adadbf40a8f6241a925fc,SRE status June 13th,Dave Parfitt,2017-06-13T20:50:08Z,metadave,metadave,40,40,0
16,meao,1bc2d83bda6230791fd61629e27be57fbc527358,"Merge pull request #38 from mozilla/dp_sre_june6

sre status June 6 2017",Josh Mize,2017-06-06T17:59:58Z,jgmize,jgmize,47,47,0
17,meao,983b453424faad42484d7c1ec20e5f29b44311fa,sre status June 6 2017,Dave Parfitt,2017-06-06T17:50:35Z,metadave,metadave,47,47,0
18,meao,094386cb2d0661b7d885203789938f5227beeaf5,"Merge pull request #37 from jwhitlock/kuma-report-may-2017

May 2016 Kuma Report",John Whitlock,2017-06-02T22:24:38Z,jwhitlock,jwhitlock,246,246,0
19,meao,0120ee233a5aac05f5d1b47b8a2e30f90011da57,May 2016 Kuma Report,John Whitlock,2017-06-02T21:36:39Z,jwhitlock,jwhitlock,246,246,0
20,meao,39371137d4e702b66ffa970371fd5e0ca8a06225,"Merge pull request #36 from mozilla/dp_sre_may30

add MozMEAO SRE blog post for May 30th 2017",Josh Mize,2017-05-31T00:45:27Z,jgmize,jgmize,52,52,0
21,meao,66de2d82c33979d45686a05c79b2413a55c4f90e,add MozMEAO SRE blog post for May 30th 2017,Dave Parfitt,2017-05-31T00:27:55Z,metadave,metadave,52,52,0
22,meao,69ee834b4859c24c61bd06c1a316ff805b1ffbcb,"Merge pull request #35 from mozilla/dp_sre_may23_2017

SRE status update 05/23/2017",Josh Mize,2017-05-24T04:08:16Z,jgmize,jgmize,70,70,0
23,meao,b96254b5c12616c3a4cc57319a55319c6a854d7d,sre status update 05/23/2017,Dave Parfitt,2017-05-23T18:46:24Z,metadave,metadave,70,70,0
24,meao,017bf4525317560da73afc0acbd53310bf96e8bf,"Merge pull request #34 from jwhitlock/sre-status-remove-incident-reports

Remove incident report links",Josh Mize,2017-05-18T16:44:38Z,jgmize,jgmize,12,2,10
25,meao,a61a5a1d4452f0ccbad1c918d9a693e470f32c0d,"Remove incident report links

Incident reports are limited to Mozilla employees, and I don't think
they are appropriate for the general public.",John Whitlock,2017-05-18T16:29:59Z,jwhitlock,jwhitlock,12,2,10
26,meao,698af41f9c0dfba99f0d3194e1f4a82581c347b5,"Merge pull request #33 from mozilla/dp_sre_may16_2017

add MozMEAO sre status report 2017-5-16",Josh Mize,2017-05-16T20:01:53Z,jgmize,jgmize,96,96,0
27,meao,e9b1a9f92a5aec1f52df3026e34e264137e356bd,add MozMEAO sre status report 2017-5-16,Dave Parfitt,2017-05-16T18:43:32Z,metadave,metadave,96,96,0
28,meao,d7ba4335db29571794229c1877cd94aa45e317f1,"Merge pull request #32 from mozilla/dp_sre_may9

added MozMEAO SRE status update for May 9, 2017",Josh Mize,2017-05-09T21:29:46Z,jgmize,jgmize,86,86,0
29,meao,d1a8b6bcf29c53c8b5c19875392897bc1be5c086,fix formatting,Dave Parfitt,2017-05-09T19:43:57Z,metadave,metadave,2,1,1
30,meao,0410b23e92227b7684ca95d73a72b566f53f09a7,"added MozMEAO SRE status update for May 9, 2017",Dave Parfitt,2017-05-09T19:42:42Z,metadave,metadave,86,86,0
31,meao,094b1c51eb463edc22cc7cbacf62f72ea04b569b,"Merge pull request #31 from jwhitlock/kuma-report-2017-05-bugs

April Kuma report, add in missed PRs",John Whitlock,2017-05-06T16:05:39Z,jwhitlock,jwhitlock,20,20,0
32,meao,2757562860a0decc5b919d97bd544c7cfb9b1ee8,"April Kuma report, add in missed PRs

I only looked at page 1 of the 41 PRs in April. Adding in highlights
from the first 16 PRs of the month:

- stylelint
- first translation diff
- fix creating subpages of redirects
- enable Bulgarian
- Remove KS editing from Kuma",John Whitlock,2017-05-04T14:54:19Z,jwhitlock,jwhitlock,20,20,0
33,meao,a5c6f01ebc492315176b8ac22567efd3d6771343,"Merge pull request #30 from mozilla/dp_sre_may2

rough draft of SRE status post for May 2nd",Josh Mize,2017-05-02T21:25:18Z,jgmize,jgmize,87,87,0
34,meao,f3931c121485e3e0ea81f8abd5148d236f183a4a,update bedrock redirect issues note,Dave Parfitt,2017-05-02T21:08:21Z,metadave,metadave,2,1,1
35,meao,0f6a2a5541bf014d9c9286bb87eb74416e71f93d,rough draft of SRE status post for May 2nd,Dave Parfitt,2017-05-02T18:55:33Z,metadave,metadave,87,87,0
36,meao,287d5ed749de7b7d6d56952e7877e4fe2cbe29f3,"Merge pull request #29 from jwhitlock/kuma-report-2017-05

Kuma Report, April 2017",John Whitlock,2017-05-02T16:47:16Z,jwhitlock,jwhitlock,162,162,0
37,meao,75efee1144e0fb31d280f9a976678a07b769d8d2,"Kuma Report, April 2017",John Whitlock,2017-05-02T03:13:22Z,jwhitlock,jwhitlock,162,162,0
38,meao,d3ed9b0684c3692bec5e630e6c831deabb3470f3,"Merge pull request #28 from jwhitlock/kuma-report-2017-04-bugs

Fix spelling in March Kuma Report",Dave Parfitt,2017-04-04T14:05:01Z,metadave,metadave,4,2,2
39,meao,f33522b608de56b97b0a8f7a9a01a3753acdbb30,Fix spelling in March Kuma Report,John Whitlock,2017-04-04T14:02:50Z,jwhitlock,jwhitlock,4,2,2
40,meao,b365e00630c9950ce55db145430f634a75a8b341,"Merge pull request #27 from jwhitlock/kuma-2017-03

Kuma Report, March 2017",Josh Mize,2017-04-04T05:32:08Z,jgmize,jgmize,114,114,0
41,meao,8bec8a73012f86544b379e2ad468c7e4ec7bbb39,"Kuma Report, March 2017",John Whitlock,2017-04-03T18:45:35Z,jwhitlock,jwhitlock,114,114,0
42,meao,a740dcdbea5e0fe88c5bfe20f26929546bb42bc9,"Merge pull request #26 from mozilla/bedrock-post-update

Add link to slides and video for presentation",Alex Gibson,2017-03-31T20:25:26Z,alexgibson,alexgibson,2,2,0
43,meao,4c2c0287a014aeadc109ae80692e38b4c9eb6396,Add link to slides and video for presentation,Paul McLanahan,2017-03-31T20:03:15Z,pmac,pmac,2,2,0
44,meao,a5c919905c39c23cb8dc6acc6ae2e87d7b9ed6eb,Fix typo in bedrock code to production post,alexgibson,2017-03-07T18:11:11Z,alexgibson,alexgibson,2,1,1
45,meao,7ef5f86ec09736484a7d3f475e849360b6fc2d51,"Merge pull request #24 from jwhitlock/kuma_report_feb_2017

Add monthly Kuma report for February 2017",Josh Mize,2017-03-03T19:57:51Z,jgmize,jgmize,149,149,0
46,meao,6a58b5455eef5a2530836d08739526fda5e1ac5b,"Merge pull request #25 from jpetto/update-traffic-cop-post

Update Traffic Cop post to point to new Traffic Cop repo.",Josh Mize,2017-03-03T19:56:28Z,jgmize,jgmize,6,4,2
47,meao,036bd134e07a409a76ab50949bf11198e9b39046,Update Traffic Cop post to point to new Traffic Cop repo.,Jon Petto,2017-03-03T19:53:24Z,jpetto,jpetto,6,4,2
48,meao,e29ca98f81886f6ab304f9ad2c612805d2df1d01,"Merge pull request #21 from mozilla/mozorg-process-post

Add mozilla.org - from code to production post",Jon Petto,2017-03-03T15:57:49Z,jpetto,jpetto,259,246,13
49,meao,1e3e9e7d94315fded32fc5f910d2dccd82e2d506,Add conclusion paragraph to mozorg process post,alexgibson,2017-03-02T10:30:17Z,alexgibson,alexgibson,25,15,10
50,meao,7455204921449a8d3656e04acea41e18cef0c4e1,"Kuma Report, February 2017",John Whitlock,2017-03-02T21:58:28Z,jwhitlock,jwhitlock,149,149,0
51,meao,592dd849aa478e3698aca640700ff653b8ac114d,Update mozorg process post with deployment and environment details,Paul McLanahan,2017-03-01T19:53:26Z,pmac,pmac,106,73,33
52,meao,77c8fb27181bf33e8620aca08dec54144c793521,Add a docker-run.sh script to run locally with Docker,Paul McLanahan,2017-02-28T19:14:30Z,pmac,pmac,3,3,0
53,meao,4b7e79122b9e24fb024011f22cbde244fa3ddb59,Add Bedrock - code to production post,alexgibson,2017-01-31T13:15:30Z,alexgibson,alexgibson,211,198,13
54,meao,e6db6b4f612d18507e8bb9400da8e32f9842d357,"Merge pull request #23 from mozilla/dp_infra_intro

add SRE infra repo intro post",Josh Mize,2017-02-13T19:49:12Z,jgmize,jgmize,14,14,0
55,meao,4a5e3cb3e9a97ec1a1d383578e9933df48461693,.com -> .org typo,Dave Parfitt,2017-02-09T21:32:02Z,metadave,metadave,2,1,1
56,meao,55df87e09cc25d452b214d6a5437f6e2bc014fc9,add SRE infra repo intro post,Dave Parfitt,2017-02-09T18:53:20Z,metadave,metadave,14,14,0
57,meao,c9ce03d34d63b328cfe9e911544c6658b1ad8a05,"Merge pull request #20 from alexgibson/author-name

Add author names to blog posts",Alex Gibson,2017-02-03T11:31:42Z,alexgibson,alexgibson,23,14,9
58,meao,e86bf0ffe14be17aa5ea03ec45923d02f1a85c01,Add author names to blog posts,alexgibson,2017-02-03T10:56:42Z,alexgibson,alexgibson,23,14,9
59,meao,0bb22ecceba4009df615e3a714f762cbc05dddcb,Fix bullets in kuma summary,Josh Mize,2017-02-02T17:57:40Z,jgmize,jgmize,7,4,3
60,meao,5c3fcbfec69804adbf5a360172956b7e30814991,"Merge pull request #19 from jwhitlock/kuma_report_2017_01

Kuma report, January 2017",Josh Mize,2017-02-02T17:51:48Z,jgmize,jgmize,142,142,0
61,meao,ddad4a4a0fc9182a3711d54d39cc6ed1b70064c0,"Merge pull request #18 from jwhitlock/jwhitlock_photo

jwhitlock: Add six years, remove beard",Josh Mize,2017-02-02T17:50:39Z,jgmize,jgmize,0,0,0
62,meao,b38c735a11febc5f362e526ae600484e86c1df75,Giorgos did not update Bedrock,John Whitlock,2017-02-02T16:03:11Z,jwhitlock,jwhitlock,8,4,4
63,meao,c7afe98a48b3e540813c02f801cfe9623b31fc2a,"Kuma report, January 2017",John Whitlock,2017-02-01T20:47:34Z,jwhitlock,jwhitlock,142,142,0
64,meao,ee4584cde8417ad539aa58d60c4d021534becbbf,"jwhitlock: Add six years, remove beard",John Whitlock,2017-02-01T17:15:15Z,jwhitlock,jwhitlock,0,0,0
65,meao,c6ba0f87315cdb25396f790cdcd0be292dc44a4d,"Merge pull request #14 from mozilla/tweak-intro

Tweak intro",Josh Mize,2017-01-31T08:11:04Z,jgmize,jgmize,2,1,1
66,meao,32cf45446381087c29ef326abfb14411c49731c3,"Merge pull request #12 from jpetto/add-post-traffic-cop

Add Traffic Cop post.",Josh Mize,2017-01-28T20:43:06Z,jgmize,jgmize,54,54,0
67,meao,b08f3ab1ae3dc55e18c17523f122c27b2097172d,Tweak intro,Josh Mize,2017-01-28T20:37:33Z,jgmize,jgmize,2,1,1
68,meao,23f75bb7e2b79dc75302374495dfe72830c7db52,Add Traffic Cop post.,Jon Petto,2017-01-13T21:45:38Z,jpetto,jpetto,54,54,0
69,meao,38b14355c35a724084848aef27b84f19ec2ba4bb,"Merge pull request #11 from mozilla/staff-sre

Fix job title",Benjamin Sternthal,2017-01-20T22:15:41Z,bensternthal,bensternthal,2,1,1
70,meao,76c621290f42ca022c74e1e01c2fde1a8791edaa,Fix job title,Josh Mize,2017-01-20T22:09:26Z,jgmize,jgmize,2,1,1
71,meao,47b52cdb53fa638c02a8077180c06eadac017af8,"Merge pull request #10 from jpetto/add-team-github-links

Add GitHub profile links.",Benjamin Sternthal,2017-01-20T16:55:56Z,bensternthal,bensternthal,12,12,0
72,meao,51133269b74fe05d6d08275faeede835b7d7008e,Add GitHub profile links.,Jon Petto,2017-01-20T15:56:40Z,jpetto,jpetto,12,12,0
