,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,measure-noise,560c1426895f97a9cf597765501afddae90a9530,"Merge pull request #15 from mozilla/dev

Fix test",Kyle Lahnakoski,2019-08-28T21:06:01Z,Kyle Lahnakoski,Kyle Lahnakoski,3,2,1
1,measure-noise,d67ec2b6534b673801231dadf4bbc258fd21cd23,fix tests,Kyle Lahnakoski,2019-08-28T21:01:52Z,Kyle Lahnakoski,Kyle Lahnakoski,2,1,1
2,measure-noise,c99bc5658b0a4e5921cf265ca700cab9bf2138ef,include jx-python,Kyle Lahnakoski,2019-08-28T20:57:51Z,Kyle Lahnakoski,Kyle Lahnakoski,1,1,0
3,measure-noise,4ad0b24b4fdf84156a7dfa76d9fadda0b0db2909,Merge branch 'dev',Kyle Lahnakoski,2019-08-28T20:54:38Z,Kyle Lahnakoski,Kyle Lahnakoski,63,56,7
4,measure-noise,bcf61b9aea208ca5cdc1aa2bd45669dec711ccf9,update version number,Kyle Lahnakoski,2019-08-28T20:54:35Z,Kyle Lahnakoski,Kyle Lahnakoski,52,50,2
5,measure-noise,daa0540a838fcaf8849f1edad0ac5f0579b5427a,update version number,Kyle Lahnakoski,2019-08-28T16:00:28Z,Kyle Lahnakoski,Kyle Lahnakoski,4,2,2
6,measure-noise,ec541a0b8fbb4f2cd625c7162b5a18da8ae7c210,Merge branch 'master' into dev,Kyle Lahnakoski,2019-08-28T16:00:23Z,Kyle Lahnakoski,Kyle Lahnakoski,0,0,0
7,measure-noise,c3fd5efc7985107a67f916201b6ce0b9aa329e11,updates from other projects,Kyle Lahnakoski,2019-08-28T16:00:15Z,Kyle Lahnakoski,Kyle Lahnakoski,4,2,2
8,measure-noise,42feae4fba95dd4acd4aaf40ce37a282e668c3df,add test,Kyle Lahnakoski,2019-08-28T15:57:03Z,Kyle Lahnakoski,Kyle Lahnakoski,5,3,2
9,measure-noise,0c52e5c77c2ab7266534ccfe362200667c8ba091,updates from other projects,Kyle Lahnakoski,2019-08-27T19:57:36Z,Kyle Lahnakoski,Kyle Lahnakoski,6,3,3
10,measure-noise,ddb8032d9cae92f6c4a1ca8f271c4ba48c315846,Merge branch 'dev',Kyle Lahnakoski,2019-08-27T17:11:30Z,Kyle Lahnakoski,Kyle Lahnakoski,51,50,1
11,measure-noise,704b80a36e84aa0dc99aeb8acef1807f714937da,update version number,Kyle Lahnakoski,2019-08-27T17:11:12Z,Kyle Lahnakoski,Kyle Lahnakoski,2,1,1
12,measure-noise,e9d7bebc53d8bc8589bd9d0863647008ab40a39d,Merge branch 'master' into dev,Kyle Lahnakoski,2019-08-27T17:10:13Z,Kyle Lahnakoski,Kyle Lahnakoski,0,0,0
13,measure-noise,844fce722374908dcea4b4bb7fe39316974d2f8f,more tests,Kyle Lahnakoski,2019-08-27T15:47:41Z,Kyle Lahnakoski,Kyle Lahnakoski,49,49,0
14,measure-noise,937d83613c642f06d9c60671ccda8bd0680a457b,Merge branch 'dev',Kyle Lahnakoski,2019-08-27T00:29:42Z,Kyle Lahnakoski,Kyle Lahnakoski,32,25,7
15,measure-noise,c07a9bb1fa1a1b3935eb7fe9d57d1d7235638fac,update version number,Kyle Lahnakoski,2019-08-27T00:29:20Z,Kyle Lahnakoski,Kyle Lahnakoski,6,3,3
16,measure-noise,bc3f623cbb49b5cab29fc228cefded3f5f332d44,Merge branch 'master' into dev,Kyle Lahnakoski,2019-08-27T00:28:06Z,Kyle Lahnakoski,Kyle Lahnakoski,0,0,0
17,measure-noise,9b7e1462ba33ce92de59c6dd0dd62cbe535360d7,docs,Kyle Lahnakoski,2019-08-27T00:26:18Z,Kyle Lahnakoski,Kyle Lahnakoski,18,18,0
18,measure-noise,6674e11d501d9fe0cbd101176f458b765d0070ce,Merge remote-tracking branch 'origin/master',Kyle Lahnakoski,2019-08-27T00:15:21Z,Kyle Lahnakoski,Kyle Lahnakoski,0,0,0
19,measure-noise,163642424fbdf20e8617e6c6dc2501e724278e57,fix instructions,Kyle Lahnakoski,2019-08-27T00:11:02Z,Kyle Lahnakoski,Kyle Lahnakoski,14,7,7
20,measure-noise,fec625b52fcbfc347eab36dfc5ddc087a541b550,Merge branch 'dev',Kyle Lahnakoski,2019-08-27T00:08:18Z,Kyle Lahnakoski,Kyle Lahnakoski,23,21,2
21,measure-noise,02a327a7b18947eae8d30bfa7cd70a03031ba054,update version number,Kyle Lahnakoski,2019-08-27T00:08:00Z,Kyle Lahnakoski,Kyle Lahnakoski,2,1,1
22,measure-noise,3ca4fbd36b3ad7003ada9a5386e8544d9912f7cb,Merge branch 'master' into dev,Kyle Lahnakoski,2019-08-27T00:07:05Z,Kyle Lahnakoski,Kyle Lahnakoski,0,0,0
23,measure-noise,7f5862563e7915c18aa0dcfd4eeea7ea620e2ada,fie libname,Kyle Lahnakoski,2019-08-27T00:06:51Z,Kyle Lahnakoski,Kyle Lahnakoski,2,1,1
24,measure-noise,4ed27ae3ab8664c5c93bbc06eceee4f1aecd4c72,fix libname,Kyle Lahnakoski,2019-08-27T00:05:51Z,Kyle Lahnakoski,Kyle Lahnakoski,19,19,0
