,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mediawiki-bugzilla,fc6efe71747cfac1a30dbcc3661992f478107199,"Fix Undefined index: bugs in BugzillaOutput.class.php on line 85

Notice: Undefined index: bugs in /var/www/wiki/mediawiki/core/extensions/mediawiki-bugzilla/BugzillaOutput.class.php on line 85

Not got the config quite right for a different MW install

I guess the constructor of BugzillaOutput should check that the returned data is halfway valid too...

        $this->query = BugzillaQuery::create($config['type'], $options, $title);

        // Bubble up any query errors
        if( $this->query->error ) {
            $this->error = $this->query->error;
        }

Also trimmed some trailing whitespace at the same time",Reedy,2013-03-30T02:05:41Z,reedy,reedy,24,12,12
1,mediawiki-bugzilla,7f1d0a1fbef679b2232bd9eeb0d8bc10667590df,"More generic layout for caching.

- new $wgBugzillaCacheType, replaces $wgBugzillaUseCache and $wgCacheObject
  with mysql, apc, memcache, postgresql, sqlite, dummy types;
- new Bugzilla::getCacheClass() and ::getCache() static methods;
- new BugzillaCacheI::setup() abstract method, called by BugzillaCreateCache();
- new BugzillaCacheSql class, handling any generic MW SQL-backend;
  BugzillaCacheMysql is dropped;
- separate SQL CREATE TABLE definitions for MySQL, PostgreSQL and SQLite;
- base64_encode/decode cached values, fixes SQL escaping issues;
- drop cache db fetched_at column.",Romain d'Alverny,2012-08-06T15:36:17Z,rdalverny,rdalverny,368,231,137
2,mediawiki-bugzilla,fa11bbeb362699584479a83b36d7ed8a90fe5b21,"Merge pull request #15 from brandonsavage/bug729259

Allow multiple parameters and clean up the way we go about handling defa...",brandonsavage,2012-12-11T17:20:49Z,brandonsavage,brandonsavage,20,18,2
3,mediawiki-bugzilla,7ba55fd73065ebfdafb926e2694c5e95f4fcf9e1,"Merge pull request #9 from brandonsavage/caching_changes

Improving the caching mechanism, in preparation for providing a memcache...",brandonsavage,2012-12-11T16:44:28Z,brandonsavage,brandonsavage,143,103,40
4,mediawiki-bugzilla,bc3a498998899c5af964f71dfd255c517016c957,Fixing conflict.,Brandon Savage,2012-12-11T16:37:33Z,brandonsavage,brandonsavage,2,2,0
5,mediawiki-bugzilla,4621948c1d26911a1c55d3411bc19e800ed1ae60,Fixing API issues with database caching.,Brandon Savage,2012-08-14T15:27:55Z,brandonsavage,brandonsavage,74,40,34
6,mediawiki-bugzilla,e4865dd3643a74f5450c609039e55740d863dbdd,Allow multiple parameters and clean up the way we go about handling default fields.,Brandon Savage,2012-09-19T14:47:54Z,brandonsavage,brandonsavage,20,18,2
7,mediawiki-bugzilla,496349bd1de62830024af67912f6b146ba527d66,"Merge pull request #14 from AdrianGaudebert/fix-static-create-in-bugzillaquery

Fixed a warning, the create method of BuzillaQuery was not static.",brandonsavage,2012-08-21T13:50:30Z,brandonsavage,brandonsavage,2,1,1
8,mediawiki-bugzilla,51062e826ecbd3afcfeb100790495bf5ab05659c,"Fixed a warning, the create method of BuzillaQuery was not static.",Adrian Gaudebert,2012-08-21T08:43:57Z,adngdb,adngdb,2,1,1
9,mediawiki-bugzilla,e845ebdde72d99fc66de010c8a84ef0cc86a35ba,Fixing API issues with database caching.,Brandon Savage,2012-08-14T15:27:55Z,brandonsavage,brandonsavage,71,39,32
