,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,medlem,d6885b3afe9d08da3b89e4101347232a3d281dbe,Deprecate the README,Peter Bengtsson,2017-04-24T14:00:09Z,peterbe,peterbe,65,2,63
1,medlem,b227b009aab194feeb168eec810770b91b5ef154,"Merge pull request #2 from peterbe/use-json-responses-on-400-errors

use json responses on 400 errors",Peter Bengtsson,2016-02-04T21:20:02Z,peterbe,peterbe,25,14,11
2,medlem,9e5875fd6979d77d681589decf044d8bb177410b,use json responses on 400 errors,Peter Bengtsson,2016-02-04T19:51:33Z,peterbe,peterbe,25,14,11
3,medlem,2a4212c40fb3580ef16d96292d177598d5351492,not requiring hashes for dev requirements,Peter Bengtsson,2016-02-04T11:46:01Z,peterbe,peterbe,19,3,16
4,medlem,320429604f9405f96bc0e89713f117a86b5c6627,test requirements,Peter Bengtsson,2016-02-03T22:27:31Z,peterbe,peterbe,1,1,0
5,medlem,ebd6b51b2323fd3a2bd9a686b790c5368b351b79,pep8 pushup,Peter Bengtsson,2016-02-03T22:26:23Z,peterbe,peterbe,28,15,13
6,medlem,a481ff7cd4a3e2565c0f47e9ac30a3b074660e5b,"Merge pull request #1 from peterbe/readme-changes

readme changes",Peter Bengtsson,2016-02-03T21:19:42Z,peterbe,peterbe,19,19,0
7,medlem,e2924bfb2d881f622ba9075c8341f9cd2e332329,readme changes,Peter Bengtsson,2016-02-03T21:00:14Z,peterbe,peterbe,19,19,0
8,medlem,b49eb57e8e1261b2d7b4b40a2dce7898e9063257,better readme,Peter Bengtsson,2016-02-03T20:41:58Z,peterbe,peterbe,38,9,29
9,medlem,669a478d0f4ebdc22e5c93cda4e93fbd202ba2ce,settings for tests,Peter Bengtsson,2016-02-03T20:39:55Z,peterbe,peterbe,25,13,12
10,medlem,65fcca459a42f7288654985a2efea880ad9c06ec,now with tests,Peter Bengtsson,2016-02-03T20:32:17Z,peterbe,peterbe,604,399,205
11,medlem,61a88133d18afaacbed27bf1558194a70ac8f8ad,add python-ldap,Peter Bengtsson,2016-02-03T18:05:23Z,peterbe,peterbe,6,6,0
12,medlem,57fb1272c4c3114083914da74123ec1b7fc7a00c,warming up,Peter Bengtsson,2016-02-03T18:03:43Z,peterbe,peterbe,5,5,0
13,medlem,9520cc0983604a613213449892e4d25704fef315,warming up,Peter Bengtsson,2016-02-03T18:03:27Z,peterbe,peterbe,1746,1746,0
