,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mig-sandbox,379b0c00fcf2d06655b4c2b50faaa7ad67cf3e3c,"Merge pull request #13 from mozilla/rewrite_checks

Rewrite exit checks for filter loading",Guillaume Destuynder,2016-05-09T18:10:32Z,gdestuynder,gdestuynder,9,6,3
1,mig-sandbox,a55aeb09db41d279bdef53eaddc15876abf589e1,Add MPL license headers and contributor credits,kang,2016-05-09T17:58:02Z,kang,kang,64,59,5
2,mig-sandbox,3394c4ba258d5a405b060504c136c451960872cc,"Rewrite exit checks for filter loading

This issue fixes #5 - add code to check for two possible failure cases:
filter context is invalid or seccomp syscall failed",Teodora Baluta,2016-05-02T04:27:38Z,teobaluta,teobaluta,9,6,3
3,mig-sandbox,c4e8756e84bb801c74fce347c1f2181937112cb7,"Merge pull request #11 from mozilla/vet_fmt

Resolving gofmt + go vet issues.",vladimirdiaconescu,2016-02-11T20:16:50Z,vladimirdiaconescu,vladimirdiaconescu,14,6,8
4,mig-sandbox,5809df623b95fe4b8d0011476d96e587169cb995,"Resolving gofmt + go vet issues.

Issue #10",Alexandru Tudorica,2016-02-11T20:12:48Z,tudalex,tudalex,14,6,8
5,mig-sandbox,6049d0d8ecb3db90877c11d62138be4ccf17c118,Update README.md,Tudorica Constantin-Alexandru,2016-02-11T19:20:27Z,tudalex,tudalex,1,1,0
6,mig-sandbox,937cbecb87b68a6e88af95bf4a12a7cdc597133e,Fixing linux now.,Alexandru Tudorica,2016-01-21T20:00:22Z,tudalex,tudalex,4,3,1
7,mig-sandbox,c69ca07dc1c738e49f3d7a1a955cb2d144307d8c,"Updated README.md

Removed trivial MIG dependency.",vladimirdiaconescu,2016-01-21T19:54:24Z,vladimirdiaconescu,vladimirdiaconescu,1,0,1
8,mig-sandbox,5e390f6c03545fd55b4c3eb31d4b16ba7ef0db91,Fix for MacOS,Alexandru Tudorica,2016-01-21T19:52:37Z,tudalex,tudalex,26,26,0
9,mig-sandbox,a74e0e6735575dd6f447e9835f900292dfa1cb49,"Revert ""Check if seccomp is supported and do not exit""

This reverts commit 5810e1c35a31e1d747b20caa33baeb49c8bfe60d.",Alexandru Tudorica,2016-01-14T19:20:59Z,tudalex,tudalex,6,1,5
10,mig-sandbox,c7d02fa83f2c5bddf41cc2f81968e4f5db8879c0,Fixing vendoring.,Alexandru Tudorica,2016-01-14T19:13:11Z,tudalex,tudalex,5,5,0
11,mig-sandbox,5810e1c35a31e1d747b20caa33baeb49c8bfe60d,Check if seccomp is supported and do not exit,Teodora Baluta,2016-01-14T17:31:31Z,teobaluta,teobaluta,6,5,1
12,mig-sandbox,21cdd93761e4974595b94d9eb70149944f9dc214,Vendored seccomp.,Alexandru Tudorica,2016-01-14T18:28:28Z,tudalex,tudalex,1814,1814,0
13,mig-sandbox,f6ecd13270a442af7157813cecc0186de070be83,[minor] Added a short README describing the project.,Vladimir,2016-01-14T17:18:02Z,vladimirdiaconescu,vladimirdiaconescu,21,21,0
14,mig-sandbox,bc91db0807ff1a25f18bce9fe6581ca6794fbf77,"Merge pull request #1 from mozilla/separate_c_code

Moved C code to C files and headers.",vladimirdiaconescu,2016-01-07T16:57:15Z,vladimirdiaconescu,vladimirdiaconescu,622,524,98
15,mig-sandbox,005b9d1df88dbe1d431197c66fb1d12daa93a1de,Moved C code to C files and headers.,Alexandru Tudorica,2016-01-07T16:33:18Z,tudalex,tudalex,622,524,98
16,mig-sandbox,d75042ff3b73664631e9dc849ee366b27971d0b9,"Add Mozilla Public License v2 to project

Signed-off-by: Teodora Baluta <teobaluta@gmail.com>",Teodora Baluta,2015-12-30T20:18:09Z,teobaluta,teobaluta,373,373,0
17,mig-sandbox,78c6882ca9429997b8539575fd6665c2f76fa290,"Add conditions to the sandbox profile

Signed-off-by: Teodora Baluta <teobaluta@gmail.com>",Teodora Baluta,2015-12-30T12:40:10Z,teobaluta,teobaluta,27,18,9
18,mig-sandbox,5ddcc2f9576907f58cd68fa0d1d5e16d9eb38fa0,Exporting the jail call.,Alexandru Tudorica,2015-12-30T11:04:00Z,tudalex,tudalex,2,1,1
19,mig-sandbox,b05e5613c234d89d5331e40fe605411b1dbdb8a9,Initial commit.,Alexandru Tudorica,2015-12-30T10:33:57Z,tudalex,tudalex,89,89,0
