,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mig,60c477cabfcb1f5821cab3345fbcb5396ad84149,[major] MIG Agent: code refactoring for context management and logging,Julien Vehent,2014-01-26T00:47:28Z,jvehent,jvehent,670,489,181
1,mig,a861c0bc9aa86ebd6319cd2aec34394e5ea13aae,[medium] MIG Agent: extract configuration,Julien Vehent,2014-01-22T17:19:39Z,jvehent,jvehent,71,71,0
2,mig,7ec8d3e50fcd35ad8f870cf7d8188421c0f4f552,[medium] MIG PGP verification: take keyring as argument,Julien Vehent,2014-01-22T17:19:26Z,jvehent,jvehent,54,34,20
3,mig,6882706abf193506a0e0c4dff1676c9a9ad8ac4c,MIG PGP: Add convertion from armored pubkey string to keyring,Julien Vehent,2014-01-22T17:16:19Z,jvehent,jvehent,34,34,0
4,mig,e74b0020da971bb5001dcc3124e77892da016ef3,fix building script for pgp,Julien Vehent,2014-01-08T23:45:41Z,jvehent,jvehent,28,17,11
5,mig,103767891fa6bc9858e1a24211c707900a9bb344,PGP: split package in two to prevent gpgme from being linked to mig agents,Julien Vehent,2014-01-08T23:45:27Z,jvehent,jvehent,122,64,58
6,mig,9535bb81d08f1698a7ea3964e816f3374852e6b0,Mig-action-generator: use Validate() instead of doing it manually,Julien Vehent,2014-01-08T23:44:50Z,jvehent,jvehent,15,4,11
7,mig,b5fda869fe64e4bfab4f5625924cde781b1464ed,"Agent: validate actions, includes PGP signature verification",Julien Vehent,2014-01-08T23:44:23Z,jvehent,jvehent,12,10,2
8,mig,2481c5e2fba972d838d15448a86b2d09a61878cb,Action: add Validation function that verifies PGP signature,Julien Vehent,2014-01-08T23:43:57Z,jvehent,jvehent,44,31,13
9,mig,6af329b44d38daf33f60ed94f5155188507cfa87,Merge branch 'pgp',Julien Vehent,2014-01-08T18:51:51Z,jvehent,jvehent,315,188,127
10,mig,d78ca3e9c84a5e021b43915b2e5f6e1aafb89dd4,PGP: Extract signature and verification into separate package,Julien Vehent,2014-01-08T18:51:06Z,jvehent,jvehent,315,188,127
11,mig,46316892ac32ab7f56defef8173151223aadd8b8,Checks update,Julien Vehent,2014-01-08T17:56:10Z,jvehent,jvehent,24,11,13
12,mig,5de7bcd32811253b6297e71d39502caeec267d82,"Mig-Action-Generator: First shot at the action creator, with GPG signature handling using gpgme",Julien Vehent,2014-01-06T21:01:51Z,jvehent,jvehent,379,379,0
13,mig,f7459e8d9dcc1a9b2b15b1a7429f05c35ee6899c,Agent: find yer own path,Julien Vehent,2014-01-06T21:00:43Z,jvehent,jvehent,2,1,1
14,mig,d08722c7445feb2016f64a811b3c2324f108013a,Build: better default,Julien Vehent,2014-01-06T20:59:58Z,jvehent,jvehent,9,4,5
15,mig,749998fe0ebe332b76d47569f69d1874fafa63f7,"Scheduler: Happy New Year, with a massive refactoring commit.

The logic is pretty much the same as before, but this commit is a massive code
cleanup. There is now:

* proper error handling: each function uses panic internally, with a defer block
   that transform the panic into an error, and eventually logs

* syslog, log levels, asynchronous logging into LOG channel, and mig.LOG type

* configuration file, loaded into global Context, accessible to all functions

* Context initialization, with connection to database, broker, creation of channels
   and other wonders is handled in context.go

* split of the scheduler code into several files, more work to do on that front, 
   particularly for the management of the Flow in flow.go

* Action and Command are split out in their own files, with specific methods

That's about it. Did I mention Happy New Year?",Julien Vehent,2014-01-06T20:59:27Z,jvehent,jvehent,2089,1521,568
16,mig,4dde8bf498ca94c0c807fbc2180c55e1784078e6,agent: path bin change,Julien Vehent,2013-12-19T14:58:30Z,jvehent,jvehent,2,1,1
17,mig,4a061b42a77cfb37ff9892141a235fce744b1570,Filechecker: fix crash on file not found or permission error,Julien Vehent,2013-12-06T01:03:08Z,jvehent,jvehent,26,15,11
18,mig,515b7b3b8fb0ecfbee0984f05db5643eebdb6981,Reminder in build.sh,Julien Vehent,2013-12-06T01:02:44Z,jvehent,jvehent,1,1,0
19,mig,0028ecd9f055f863598fef302c5d6d23a0098e9a,Check Auditd updated,Julien Vehent,2013-12-06T01:02:31Z,jvehent,jvehent,5,3,2
20,mig,a094f3eecc76bcb10461af56f0612f33b5b00d76,Check: rename root password check,Julien Vehent,2013-12-05T16:29:55Z,jvehent,jvehent,7,4,3
21,mig,d0ff26d00fdca95fbe963e4ce55e532fb443b366,README update,Julien Vehent,2013-12-05T16:27:03Z,jvehent,jvehent,175,175,0
22,mig,23f3d208242aec0ba597a02b859481d359fe027a,Scheduler: code reorganization,Julien Vehent,2013-12-05T16:26:53Z,jvehent,jvehent,413,234,179
23,mig,f1d0938ab40cf6e734cd12b5aaa66a8d394f574f,Agent: change heartbeat freq to 5 minutes,Julien Vehent,2013-12-05T16:26:32Z,jvehent,jvehent,3,2,1
24,mig,c7400c3733e617f765d5909c6371cc91b96e2d83,Agent: add timeout on long running filechecks,Julien Vehent,2013-12-05T16:26:17Z,jvehent,jvehent,55,41,14
25,mig,e262eb6824c4bf77d3734824bf17254e10297a8e,"Scheduler: Fix empty json result bug, caused by inotify pulling the file before it is fully written to disk",Julien Vehent,2013-12-05T16:24:28Z,jvehent,jvehent,17,10,7
26,mig,25c7fde38cb8fdad42316de4d9182b7a56da4b90,Scheduler: multi-critera agent search in mongo,Julien Vehent,2013-12-05T16:23:05Z,jvehent,jvehent,8,8,0
27,mig,996953b07fc65cec51a04a70a065ac94bf4ab0e8,Scheduler: Add timestamp on action and command,Julien Vehent,2013-12-05T16:22:26Z,jvehent,jvehent,7,4,3
28,mig,64ab5884704063e7d79c7c7876f02c11fbf10de6,Scheduler: store actions in mongodb,Julien Vehent,2013-12-05T16:13:32Z,jvehent,jvehent,63,56,7
29,mig,9d36cecd3bcff54e461fa25fef7ae944d065abdf,Mozilla License added,Julien Vehent,2013-12-05T16:07:24Z,jvehent,jvehent,101,101,0
30,mig,d3b338aaa44ea6bbc77debb22b1b9bcf474df399,Auditd compliance check update,Julien Vehent,2013-12-05T16:01:17Z,jvehent,jvehent,10,8,2
31,mig,b3089758d15b93f935e11dc51d6b86d4c9730ef7,Filechecker: code cleanup and comments,Julien Vehent,2013-12-05T16:00:47Z,jvehent,jvehent,563,274,289
32,mig,482ee74afd338045d3ffab65fa69230b9f35a172,Build: exit on error,Julien Vehent,2013-11-01T20:38:58Z,jvehent,jvehent,1,1,0
33,mig,1ca6eea91b9cf5c76bc6eac8948084627b17e2e0,Scheduler: Store Actions and Commands in MongoDB,Julien Vehent,2013-11-01T20:38:36Z,jvehent,jvehent,59,44,15
34,mig,8394a70ac3203ee69cae6beb16911b0677b9d2c1,Scheduler: code prettyness,Julien Vehent,2013-11-01T20:36:04Z,jvehent,jvehent,75,39,36
35,mig,1f825149361e9c8a1296649301ac4b8976c757ae,Scheduler: refactor command loading from file in separate function,Julien Vehent,2013-11-01T20:31:47Z,jvehent,jvehent,32,24,8
36,mig,101bba4ccf2e2f928940e52972984dad520b9db1,"Scheduler: use variable for tmpdir, instead of hardcoded",Julien Vehent,2013-11-01T20:30:42Z,jvehent,jvehent,4,3,1
37,mig,7ec52e4bcbe427c4c9e66b3df951caa6216b5149,Scheduler: store commands IDs in the action structure,Julien Vehent,2013-11-01T15:57:00Z,jvehent,jvehent,27,21,6
38,mig,f46f9bbdb92ead09cc7d6c6dd2274c3089a985ae,"Rename UniqID to ID, and bump size to 64 bits with unix TS for uniqueness",Julien Vehent,2013-11-01T14:38:41Z,jvehent,jvehent,53,29,24
