,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,minion-frontend,50e3313991cc5e0323bd9c1370dbe4ef7c2171a6,Move all the controllers for sites apis to a separate file,Stefan Arentz,2013-06-24T23:28:34Z,st3fan,st3fan,186,95,91
1,minion-frontend,12420473888cee6df0f953413e9406991b19bcb7,"Merge pull request #28 from yeukhon/issue6

Shows scan creator in the summary page. See #6.",Stefan Arentz,2013-06-24T22:52:03Z,st3fan,st3fan,9,6,3
2,minion-frontend,3a9d047aac316ad36a451ddfdae2847fd75a4aad,"Shows scan creator in the summary page. See #6.

What remains to do is to add a little text to Homes to display the
creator.",Yeuk Hon Wong,2013-06-24T17:44:35Z,Yeuk Hon Wong,Yeuk Hon Wong,9,6,3
3,minion-frontend,1e257913dda27b20e6aeb5f1f5eda8d3710f8b29,Fixes #22 In the user list it should be possible to edit an existing user,Stefan Arentz,2013-06-20T21:00:58Z,st3fan,st3fan,100,100,0
4,minion-frontend,6dafa85e1de1159a255cbe7630e14eb0d17bf226,Fixes #21 In the user list it should be possible to delete a user,Stefan Arentz,2013-06-20T18:48:03Z,st3fan,st3fan,32,32,0
5,minion-frontend,00639b91ac43076b6a4c9031407dc64bfb0b947c,Fixes #23 In the sites list it should be possible to edit a site,Stefan Arentz,2013-06-20T17:46:01Z,st3fan,st3fan,97,96,1
6,minion-frontend,0172dd67d06e7fbcf023cd0fafa2b04aeb894ca6,Fixes #19 Add target url validation to the new site dialog,Stefan Arentz,2013-06-18T17:43:21Z,st3fan,st3fan,67,43,24
7,minion-frontend,c5ab6d2629d0d8e7e4adf39f6d7e1551800ddcc2,Fixes #18 Add a cancel button the new site dialog,Stefan Arentz,2013-06-18T16:32:51Z,st3fan,st3fan,1,1,0
8,minion-frontend,c73e1e726ea2478cd7147481c779d16f6c4a9762,Only reload the reports when the user has any,Stefan Arentz,2013-06-18T16:26:52Z,st3fan,st3fan,8,5,3
9,minion-frontend,532a7e09e931f5cb9d114d6cd1683ee5526fcdd0,Show an alternative view when the user has no sites in Minion.,Stefan Arentz,2013-06-18T16:03:27Z,st3fan,st3fan,9,9,0
10,minion-frontend,af94a1c0fd3a56c248c6d9f69e56bc864b8f945a,Fix for new users not being created with a valid role.,Stefan Arentz,2013-06-18T15:46:30Z,st3fan,st3fan,2,1,1
11,minion-frontend,de97a062a41c210c9b5c67008aae5006be4485e7,Added a MANIFEST.in so that web assets are included when packaged,Stefan Arentz,2013-06-17T21:08:20Z,st3fan,st3fan,1,1,0
