,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mofo-phantom,7469681614837d5de491be9f165654b255c81f50,Merge branch 'master' of github.com:mozilla/mofo-phantom,Gavin Lazar Suntop,2015-03-27T20:12:04Z,gvn,gvn,2,1,1
1,mofo-phantom,5158d3646af8abc3f49136a6e94aae1778737a8c,adding missing fields,Gavin Lazar Suntop,2015-03-27T20:11:47Z,gvn,gvn,4,4,0
2,mofo-phantom,71c79df5bfba0aa0a3d16b98baee9ab3b6ca51cb,fixing typo,Gavin Lazar Suntop,2015-03-27T20:11:34Z,gvn,gvn,2,1,1
3,mofo-phantom,18226b8c0acda8b6307f0bba65ce65dcf736d9ef,Update README.md,gavin lazar suntop,2015-03-26T19:48:26Z,gvn,gvn,2,1,1
4,mofo-phantom,597f638b25619641508b86ef966fb0c68ef87e42,adding docs,Gavin Lazar Suntop,2015-03-26T19:23:33Z,gvn,gvn,80,80,0
5,mofo-phantom,f0d2384eb0cc70f4b667597b733268ca9fc80420,1.1.1,Gavin Lazar Suntop,2015-03-26T00:26:42Z,gvn,gvn,2,1,1
6,mofo-phantom,ec237df2359fded790a82b9c8517feddb338f016,removing global dep,Gavin Lazar Suntop,2015-03-26T00:23:28Z,gvn,gvn,6,5,1
7,mofo-phantom,8be95635c7fd9c4dc716d3da5adceedf88b35e77,1.1.0,Gavin Lazar Suntop,2015-03-25T22:31:34Z,gvn,gvn,2,1,1
8,mofo-phantom,bfd45f6f8a1486c022213e8816806d5869a5dca9,Merge branch 'master' of github.com:gvn/mofo-phantom,Gavin Lazar Suntop,2015-03-25T22:12:15Z,gvn,gvn,363,363,0
9,mofo-phantom,211f8f67541f8066c616594ff4a6173ab99ad9fa,Initial commit,gavin lazar suntop,2015-03-25T22:02:29Z,gvn,gvn,363,363,0
10,mofo-phantom,dd3c9133c4552d76f72c1b8b0a8de1c1d068cd79,First!,Gavin Lazar Suntop,2015-03-25T21:50:46Z,gvn,gvn,139,139,0
