,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,monolith-aggregator,a3144a92e740b277f4649c6e16703211b349c921,split requirements onto separate lines for less conflicts and add pyes,Hanno Schlichting,2013-01-16T16:18:47Z,hannosch,hannosch,11,9,2
1,monolith-aggregator,77dc554dc7a75e68987ecd9c0a73c038e1ff6d10,fixed bad merge,Tarek Ziade,2013-01-16T15:30:08Z,tarekziade,tarekziade,1,1,0
2,monolith-aggregator,f0dab674d3a601a65ea0a846239f10026c433afe,setup,Tarek Ziade,2013-01-16T15:25:37Z,tarekziade,tarekziade,6,2,4
3,monolith-aggregator,439ce7e4ed69e4f2dbc42401b8a181c1e87f0679,started to plug things around,Tarek Ziade,2013-01-16T15:09:51Z,tarekziade,tarekziade,262,212,50
4,monolith-aggregator,5361368da002a3b8ce52d17e3ecc7ddec494b96d,spell SQLAlchemy correctly in CamelCase,Hanno Schlichting,2013-01-16T15:18:25Z,hannosch,hannosch,2,1,1
5,monolith-aggregator,8bb9d3de64d7f5984d6cd15fbc9a2c102f21b3b7,get rid of some makefile boilerplate,Hanno Schlichting,2013-01-16T15:18:13Z,hannosch,hannosch,4,1,3
6,monolith-aggregator,fb94984ae04244c2ce0f78f16906323bd12f0ad9,"no, we don't need bson",Alexis Métaireau,2013-01-16T15:08:37Z,almet,almet,2,1,1
7,monolith-aggregator,477e7cf2f1ff78bb022fafdc93a7927d6552fce5,"expand makefile, to include nose and coverage for tests",Hanno Schlichting,2013-01-16T15:02:18Z,hannosch,hannosch,34,25,9
8,monolith-aggregator,5aff22bacf66b2213c34d42c3e09290893fd38bf,"cleanup ignore file
(remove buildout things, add include/man ignores)",Hanno Schlichting,2013-01-16T14:52:01Z,hannosch,hannosch,19,4,15
9,monolith-aggregator,9d09cc80da396b86d61c1dfa1afe5466485599b3,add coverage,Hanno Schlichting,2013-01-16T14:51:51Z,hannosch,hannosch,2,1,1
