,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mortar-app-stub,90d8b529ea01d7bc2ab64cb4c447cc64bb8b6e31,"Merge pull request #9 from rodms10/master

Fixed json parsing error in manifest file.",Matthew Riley MacPherson,2014-04-09T19:32:24Z,Matthew Riley MacPherson,Matthew Riley MacPherson,4,2,2
1,mortar-app-stub,5cc5816d7bb425c58617385de6e557df4b9fccd6,Fixed json parsing error in manifest file.,Rodrigo Silveira,2014-04-09T18:06:33Z,rodms10,rodms10,4,2,2
2,mortar-app-stub,ffba60e100cec5bf49d2056af6ac4edbab2cfbc1,"remove images not used anymore, add 60px icon, and update manifest with new version number",sole,2014-03-27T16:25:26Z,sole,sole,12,3,9
3,mortar-app-stub,47832e784f5784503e212f3c7e7c780cdde1b126,not being sexist,sole,2014-03-08T17:29:59Z,sole,sole,2,1,1
4,mortar-app-stub,5b58da4713c69d53ed0a743e4c3a906d929af718,update link to documentation,sole,2014-03-08T17:29:49Z,sole,sole,2,1,1
5,mortar-app-stub,8edfc2805d9439f229c9fef22a655ffabdf141ea,"Simplifying README.md, preparing for the next MORTAR BIG UPDATE",Soledad Penades,2014-01-31T17:20:38Z,sole,sole,14,8,6
6,mortar-app-stub,85ef0f604ff5d9c3135c2782e8961f3694521f74,"Merge pull request #7 from ednapiranha/bug881784

added sample readme template; bug 881784",James Long,2013-06-12T16:26:37Z,jlongster,jlongster,32,32,0
7,mortar-app-stub,b674adcdd3678fc72ca1ec70e25bcd3241a11a48,added sample readme template; bug 881784,Jen Fong-Adwent,2013-06-11T18:42:29Z,Jen Fong-Adwent,Jen Fong-Adwent,32,32,0
8,mortar-app-stub,ae0b557d93c3836f29ecec8a0f3dcf0bdb8b85b6,"Merge pull request #6 from sole/master

Fixed typo and added link to Open Web Apps page",James Long,2013-06-11T20:38:04Z,jlongster,jlongster,4,2,2
9,mortar-app-stub,5fdfc84b7b7fb334622e4df56262754c99780d16,Add link to Open Web Apps,Soledad Penades,2013-06-06T12:32:16Z,sole,sole,2,1,1
10,mortar-app-stub,5c0fb313d3c5b35eafd003d49409fadd5c36d1a2,Correct typo,Soledad Penades,2013-06-06T11:35:39Z,sole,sole,2,1,1
11,mortar-app-stub,029aaaddc8fb4f8368c0e1f9b583cb50bf765370,update README,James Long,2013-05-23T17:45:41Z,jlongster,jlongster,2,1,1
12,mortar-app-stub,91104a637ff3e995bab867664b5319831bb0ecd0,merge sole:simplify,James Long,2013-05-23T17:43:01Z,jlongster,jlongster,89699,112,89587
13,mortar-app-stub,1cd5a6c8506ed20ca19a5fabdadf0c1a3d77bf14,Bug #872676 - Removing Zepto and the receipts verifier library. Also updating app.js to not to use zepto. WIP,Soledad Penades,2013-05-23T16:46:28Z,sole,sole,1087,19,1068
14,mortar-app-stub,abe2ce467e5cbedfe6bb9abd73dd9e880e8624fd,Bug #872676 - Making the default template a bit more dev/user-friendly. WIP,Soledad Penades,2013-05-23T15:12:37Z,sole,sole,84,68,16
15,mortar-app-stub,28e6657abb11f8ec0348739fe4617780b8fc014b,fix deprecation misspelling,James Long,2013-03-22T21:38:11Z,jlongster,jlongster,2,1,1
16,mortar-app-stub,d589dc86eb001ef3d1f2ba558870ca573789cdc4,add deprecation warning,James Long,2013-03-18T20:40:56Z,jlongster,jlongster,13,8,5
17,mortar-app-stub,9bef54fe00c2bbaf14eb9f3ec82b2effdce60a77,"drastically simplify the template by removing volo, require, and only keeping basic html/js/css",James Long,2013-03-07T16:39:42Z,jlongster,jlongster,88611,67,88544
18,mortar-app-stub,f7963a10aab539d9a08c0d24a8d0d0f113a665da,force index.html for the launch_path to fix packaged apps,James Long,2013-01-24T20:36:22Z,jlongster,jlongster,2,1,1
19,mortar-app-stub,f2c8c90b472c7a04a9fd1f6e5136c8df75bcc894,remove .htaccess,James Long,2013-01-17T15:49:20Z,jlongster,jlongster,557,0,557
20,mortar-app-stub,91a3e81c0675828c72cce265d4cead782aacf69b,honor port when passed to `volo serve`,James Long,2013-01-10T18:42:36Z,jlongster,jlongster,89,2,87
21,mortar-app-stub,9705a96f56322bb8139abfe63c9ad7c0c5d38035,Merge remote-tracking branch 'origin/master',James Long,2013-01-03T23:54:07Z,jlongster,jlongster,14,8,6
22,mortar-app-stub,33c8b90139486fe33e176d3eae0726337ce8b223,update index.html,James Long,2013-01-03T23:50:22Z,jlongster,jlongster,19,12,7
23,mortar-app-stub,0896008309203912cb9638fcf6b65e4d9fae5883,print full url when serving,James Long,2013-01-03T20:43:14Z,jlongster,jlongster,2,1,1
24,mortar-app-stub,7e3415fd5574f9d15ffbfe23290338de9a0b4dd1,"Merge pull request #3 from bensternthal/clarify-readme

Added ordered list to clarify steps in readme",Matthew Riley MacPherson,2012-12-12T01:12:37Z,Matthew Riley MacPherson,Matthew Riley MacPherson,4,2,2
25,mortar-app-stub,1746238564f0b379c0047732496c57a2c23f675d,Added ordered list to clarify steps in readme,Benjamin Sternthal,2012-12-12T01:06:32Z,bensternthal,bensternthal,4,2,2
26,mortar-app-stub,c31710133263bdbb16294ca1ed5a5e75cd88109a,update README,James Long,2012-11-21T20:27:43Z,jlongster,jlongster,5,4,1
27,mortar-app-stub,773942dee5fc3b5e4df4540d8a0053f039153af4,"Merge pull request #2 from rlr/patch-1

Update README.md",Fred Wenzel,2012-11-21T17:54:10Z,Fred Wenzel,Fred Wenzel,0,0,0
28,mortar-app-stub,4d1cb780bdb92dad2d0e53ad6108fc8ced458e82,"Merge pull request #1 from VictorBjelkholm/patch-1

Corrected git and volo address",Fred Wenzel,2012-11-21T17:53:49Z,Fred Wenzel,Fred Wenzel,5,2,3
29,mortar-app-stub,a75214b3258b353343d5c2adf16b07d3353f3713,"Update README.md

s/mortar-list-detail/mortar-app-stub/",ricky rosario,2012-11-21T15:25:08Z,rlr,rlr,5,2,3
30,mortar-app-stub,7465c3052dbc97b3a663acd4ac696d0f8b7fc871,Corrected git and volo address,Victor Bjelkholm,2012-11-19T22:39:52Z,victorb,victorb,5,2,3
31,mortar-app-stub,714abeea1ba34a2150f739dd0a1c6646bd0caa1c,update readme,James Long,2012-11-16T21:17:05Z,jlongster,jlongster,24,19,5
32,mortar-app-stub,e8d4de8545844e0d2a9f8575b5251a8120266181,fix for github pages,James Long,2012-10-31T22:29:43Z,jlongster,jlongster,2,1,1
33,mortar-app-stub,7afd50487c696f18148937975297de4fce9b187c,-fix volo build,James Long,2012-10-31T22:17:53Z,jlongster,jlongster,14,5,9
34,mortar-app-stub,46515959eadfb7118a0cddb01926e3c5636c4aaf,remove zepto dependency in install.js,James Long,2012-10-16T20:00:50Z,jlongster,jlongster,50,33,17
35,mortar-app-stub,fdbe9507bafefedd61f3cc5535b93ea6132a4653,"make this an AMD project, fix install button",James Long,2012-10-15T22:30:29Z,jlongster,jlongster,21,16,5
36,mortar-app-stub,d3989f867b2259638df018ec4d5a80fe936fe4cc,index.html tweak,James Long,2012-10-15T21:50:13Z,jlongster,jlongster,3,1,2
37,mortar-app-stub,fdc72244c1b3574a0d0271fe0b98e7ccc8c71247,update README,James Long,2012-10-15T21:46:32Z,jlongster,jlongster,5,3,2
38,mortar-app-stub,6dbb37d7bff60b209f30865827055ba52475ecd3,initial,James Long,2012-10-15T21:43:01Z,jlongster,jlongster,90270,90270,0
