,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mortar-privileged-empty-app,2907e15964314ba5780c46e80c76b796fb1120c4,"Change ""App Manager",Matthew Riley MacPherson,2014-11-24T18:11:26Z,tofumatt,tofumatt,2,1,1
1,mortar-privileged-empty-app,7c6ceb27492bba545d3b109419244fa49d22aac7,New icon,sole,2014-07-01T11:14:51Z,sole,sole,114,105,9
2,mortar-privileged-empty-app,aa8339c5101649598845b0a9bcd713d932a776b5,Update app version,sole,2014-06-12T10:57:42Z,sole,sole,2,1,1
3,mortar-privileged-empty-app,1ee6df29d25d084b2dec037b1b69be8ec229e2cb,Remove references to things we're not actually doing in this template!,sole,2014-06-12T10:45:40Z,sole,sole,2,1,1
4,mortar-privileged-empty-app,91ee629ed67cac2bcd670e566663be40ca674bfe,Bare CSS,sole,2014-06-12T10:43:18Z,sole,sole,18,18,0
5,mortar-privileged-empty-app,4572193d3050a6887358e917ab4c6fee7db47a78,Bare functionality,sole,2014-06-12T10:42:29Z,sole,sole,1659,1659,0
6,mortar-privileged-empty-app,a1077f51b7318b57e4a87f6ecc10d63ef8e344bc,Adding README file,sole,2014-06-12T09:54:05Z,sole,sole,68,68,0
7,mortar-privileged-empty-app,1b4e16f7f42b22e884c5fc8209ae10cf7633d766,All the icons,sole,2014-06-11T14:35:58Z,sole,sole,10,10,0
8,mortar-privileged-empty-app,8aa1a5d3dac977f0def08d046b69c1c7e9971bf5,+ gitignore,sole,2014-06-11T14:35:43Z,sole,sole,1,1,0
9,mortar-privileged-empty-app,13507dc9b3d952a2797799d81228eff46debc2ac,Manifest,sole,2014-06-11T14:34:40Z,sole,sole,29,29,0
10,mortar-privileged-empty-app,2d975d85e516813cb2a70b6d09fbc009916798d4,License,sole,2014-06-11T14:34:26Z,sole,sole,202,202,0
