,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mortar-tabs-component,b2359f40e45d4affdc91448d87c5110e346be80e,small correction,sole,2014-09-05T08:36:02Z,sole,sole,3,1,2
1,mortar-tabs-component,32d28979e88f4d297d24958151918000e6bfd83f,Adding tests,sole,2014-09-05T08:14:33Z,sole,sole,11189,11189,0
2,mortar-tabs-component,bdf9bf5fd31240ebcd6e653e6fec2c56f5164f02,document methods + events,sole,2014-09-04T15:11:10Z,sole,sole,50,49,1
3,mortar-tabs-component,3bef491d9bbffda4e48e393f29bb6568c4d96f9d,refactor 'show' to 'select' because it just makes more sense,sole,2014-09-04T14:20:19Z,sole,sole,23,11,12
4,mortar-tabs-component,d4b2a28ad9bca0688ec7c3ef918014387af43b1f,listening to 'show' events,sole,2014-09-04T14:06:39Z,sole,sole,44,31,13
5,mortar-tabs-component,45917d8b825cedbcf8cd537bf5a72d5a9d177097,document the code and start switching to event based instead of explicit attach methods,sole,2014-09-04T11:13:17Z,sole,sole,22,15,7
6,mortar-tabs-component,ab5a990f6dbbb1e1e1b4a80fce2c75567a7833dc,add what I was doing yesterday before the (almost deadly) crash,sole,2014-09-04T10:59:46Z,sole,sole,22,22,0
7,mortar-tabs-component,6df87e5cd87aa6eb4a97f897fd7277081e6a7d51,"hah, created the README in the wrong place",sole,2014-09-03T15:43:25Z,sole,sole,0,0,0
8,mortar-tabs-component,b84ba893e68f87d38c427ed026237ec9ae78365b,readme!,sole,2014-09-03T15:42:31Z,sole,sole,9,9,0
9,mortar-tabs-component,56997a6a0995f54910c4faadb041774f1b335ab3,+gitignore,sole,2014-09-03T15:31:30Z,sole,sole,1,1,0
10,mortar-tabs-component,769cf008de048a6794393dcc21938d39536948cd,example,sole,2014-09-03T15:25:26Z,sole,sole,128,128,0
11,mortar-tabs-component,87fd4c84897ec945ec79ec615b7b147bdf1074bd,clean up,sole,2014-09-03T15:22:26Z,sole,sole,11,3,8
12,mortar-tabs-component,29ca987b05bc26251681fde433bf78d5dc6f989c,"select the first tab if none selected, or trigger show on the first selected",sole,2014-08-28T11:29:02Z,sole,sole,34,31,3
13,mortar-tabs-component,0d56bedbe886842ac717f16bf09f6f2a3289118e,a bit better looking default tabs,sole,2014-08-28T10:58:29Z,sole,sole,9,6,3
14,mortar-tabs-component,ed03c57c05bb70090f0f352a78fa08713179eb7d,starting this again,sole,2014-08-27T21:17:47Z,sole,sole,135,135,0
