,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mortar,641510e9d00e9746422dc95796f4f8f046c96531,"Merge pull request #42 from fwenzel/hello-world

Added Hello World template.",Fred Wenzel,2015-04-20T22:51:56Z,fwenzel,fwenzel,9,6,3
1,mortar,bf83e918a7a0eb45dd94657c29a1e448aa633e91,Added Hello World template.,Fred Wenzel,2015-04-20T22:49:07Z,Fred Wenzel,Fred Wenzel,9,6,3
2,mortar,8ef2c8c1c399123dc22734ff4b08ef09522d92d4,state which templates are up to date,sole,2014-07-15T14:55:53Z,sole,sole,10,7,3
3,mortar,4f8384011397ca0a489a26ea7e008431e921f53d,updated icons,sole,2014-07-15T14:52:44Z,sole,sole,4,2,2
4,mortar,dc131e95acde413ccb41214f56d16a2d6daa24a2,Added privileged empty app,sole,2014-06-12T11:09:49Z,sole,sole,5,5,0
5,mortar,d73ea310354b7e8dde522adad358761f9f3fa82f,update privileged empty app,sole,2014-06-12T11:01:07Z,sole,sole,2,1,1
6,mortar,f1f9d77193a744638d90b427f26b3ce97a97df73,Update privileged remote app,sole,2014-06-11T12:56:11Z,sole,sole,2,1,1
7,mortar,de407da28185f253b01a5f8966e877d09453837d,update app stub with recent changes,sole,2014-06-11T12:34:00Z,sole,sole,2,1,1
8,mortar,aac82b6e84157569773ce742e97b2b7f97cc9975,Update reference to mortar-privileged-remote-app,sole,2014-06-11T11:58:00Z,sole,sole,8,4,4
9,mortar,667bd0d78d816e9f8e57eaad5170c67735eff1cd,"Update to use new privileged remote app name, also remove reference to obtaining ZIP which actually doesn't work.",sole,2014-06-11T11:53:49Z,sole,sole,4,1,3
10,mortar,f2f1430ab87a28875bffe707b88ea896e7e1b852,update app stub,sole,2014-03-27T16:53:46Z,sole,sole,2,1,1
11,mortar,cd7343c4d10171ad0f34b271565330756f146fac,updated mortar-template-template to latest version,sole,2014-03-27T16:14:45Z,sole,sole,2,1,1
12,mortar,60637572b4897e7e61e0bda3b5e62bd6e0961213,updated tab view template to latest version,sole,2014-03-27T16:12:46Z,sole,sole,4,2,2
13,mortar,a7515b8e7e2e570b85dd9a24ada8273f030f992f,Not checking in Mac tmp files,sole,2014-03-26T17:48:31Z,sole,sole,1,1,0
14,mortar,06510507b185ce4ab95f028c1659a24d1072e5d2,updated game stub,sole,2014-03-09T05:16:13Z,sole,sole,2,1,1
15,mortar,c9d379bd86cdaf202da1b64385fe12eb6cd2aaf0,more copyediting README,sole,2014-03-06T02:33:27Z,sole,sole,17,11,6
16,mortar,10b132c97babdd8b2148596cc36b4d658f170134,simplify README,sole,2014-03-06T02:27:06Z,sole,sole,19,7,12
17,mortar,5a104d59c7cdb111fe92a96e89660e2d01358493,"add license, fixes #35",sole,2014-03-06T02:19:56Z,sole,sole,202,202,0
18,mortar,0f6de36736542b9c3288dc0dfdf91c1993d60a83,adding the template template,sole,2014-03-06T01:40:51Z,sole,sole,4,4,0
19,mortar,dcf10464a1e3be8d4858ec47ad59154ce29853e9,update privileged,sole,2014-03-06T01:34:05Z,sole,sole,2,1,1
20,mortar,3f9d820122cf0fa09f39eff6396d2d4f6a628e27,updated privileged app stub to latest version,Soledad Penades,2014-02-20T23:09:37Z,sole,sole,2,1,1
21,mortar,bddf13a5ac414c9bfadb5c39b9a19074df33b105,"Fix typo, and make entry consistent with the rest of templates in the list",Soledad Penades,2014-02-20T00:35:41Z,sole,sole,2,1,1
22,mortar,602d3e661576b026a086d0b01d9ec2de4db48f1b,Add privileged app stub to the list,Soledad Penades,2014-02-20T00:32:45Z,sole,sole,5,5,0
23,mortar,8609cdb193545b0357f5c7c109c8544648394502,Point to template-template too.,Soledad Penades,2014-02-12T17:23:55Z,sole,sole,4,4,0
24,mortar,31464fd242f1b78737a9a7ad37e5869d6474f0d4,"Update the app-stub to the simplified, updated version",Soledad Penades,2014-02-12T13:44:37Z,sole,sole,2,1,1
25,mortar,4699cdb698359270a1a6776b1fae0d807b22ad08,tag new versions of templates,James Long,2013-02-01T21:16:18Z,jlongster,jlongster,8,4,4
26,mortar,137fd44eb76b11e5f494a327e3839c6e6c294455,readme tweaks,James Long,2013-01-03T23:26:52Z,jlongster,jlongster,4,2,2
27,mortar,089df9d4dd5f8c4d38d4f01506755b2f6f3afd5f,update readme,James Long,2013-01-03T23:25:46Z,jlongster,jlongster,22,21,1
28,mortar,e4cc30b9cc55952a9d6edbdda18ce568e528161f,add tab view,James Long,2012-12-11T22:57:01Z,jlongster,jlongster,9,6,3
29,mortar,fe2a526620a49075d88099c022ee4b775a70c7d6,add reference to mortar-tab-view,James Long,2012-12-07T22:32:23Z,jlongster,jlongster,4,3,1
30,mortar,53a8b4bf54ed1c89c19f03f659951daf5e256302,add the game stub,James Long,2012-11-21T21:56:53Z,jlongster,jlongster,5,5,0
31,mortar,77d8d56c30cb9681bbd034900b07997534d205b7,Update README.md,James Long,2012-11-19T22:58:35Z,jlongster,jlongster,7,3,4
32,mortar,8dace4bd0376ac127f48b1cfe2f0067204f75711,update readme,James Long,2012-11-16T21:24:08Z,jlongster,jlongster,4,2,2
33,mortar,cf477ee487301674766a58c442dddf9edd6325aa,update readme,James Long,2012-11-16T21:23:30Z,jlongster,jlongster,5,3,2
34,mortar,8e4722c31ce0de5020415af2de5c410e42eac87b,initial,James Long,2012-11-16T21:20:08Z,jlongster,jlongster,16,16,0
