,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mozdata,8a3d435704b330564d2d140eadca6750621f05e5,Fix README code block (#13),Daniel Thorn,2018-10-31T21:17:46Z,relud,relud,2,1,1
1,mozdata,46e3b5a87d3804b31da58d5c25365150eee7b995,add python write_table api (#11),Daniel Thorn,2018-10-31T19:09:57Z,relud,relud,458,458,0
2,mozdata,aa47ccc317a7d3b420355c7a4c9a66a3779a2307,Add python read_table api (#10),Daniel Thorn,2018-10-30T17:11:17Z,relud,relud,254,254,0
3,mozdata,d5e6b1f3e95dc9e2e66525d1c06236fde18380cc,implement python list_tables api (#9),Daniel Thorn,2018-10-25T15:29:20Z,relud,relud,179,178,1
4,mozdata,73cdf046458dc1a3d8e33983741af943be6de570,add python support for rdd apis,Daniel Thorn,2018-10-15T23:00:15Z,relud,relud,178,172,6
5,mozdata,8fed8300d3e2fd8734009e760713e9462287ee00,Implement describeTable in scala,Daniel Thorn,2018-07-05T20:15:03Z,relud,relud,129,124,5
6,mozdata,5fabe190c064cf2405df96acbf12af9d5c502849,fix typos in scala examples,Daniel Thorn,2018-10-15T21:52:57Z,relud,relud,16,11,5
7,mozdata,d61818904c39380f267e3f11d95407a06b5d6c45,implement python sql api,Daniel Thorn,2018-06-08T19:02:22Z,relud,relud,395,395,0
8,mozdata,c6f1ec2c094a1bbdc54d7a8ca5ee1aee566cd49f,implement scala api,Daniel Thorn,2018-06-12T19:24:01Z,relud,relud,1542,1542,0
9,mozdata,7e6804372643d17b04e0859160ed2db051ff7d58,Initial commit,Daniel Thorn,2018-05-18T18:06:53Z,relud,relud,373,373,0
