,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mozdownload,e44d57825dea0b817d2cdc10439c7aec333b23ed,"put --build-id option into Daily Build option group, where it appears to belong",Myk Melez,2012-09-07T23:59:38Z,mykmelez,mykmelez,2,1,1
1,mozdownload,15e5905c20745447fdab89b22c8299e43960023c,ignore the build/ and dist/ directories created by setup.py,Myk Melez,2012-09-07T21:19:38Z,mykmelez,mykmelez,2,2,0
2,mozdownload,3bc3138f4efeaf15785c8eb46b34657cdf508f37,Add version history and bump version to 1.2,Henrik Skupin,2012-08-16T14:00:24Z,whimboo,whimboo,16,14,2
3,mozdownload,5b864d8d5275a17018b2a3976d9dda48c9c935a7,Download of builds via build-id fails if more than one subfolder is present for that day (#19),Henrik Skupin,2012-08-16T13:40:48Z,whimboo,whimboo,13,8,5
4,mozdownload,835a866b6c5a6b817283f7c3bcec11f0c7ad549f,Bump version to 1.1,Henrik Skupin,2012-07-26T13:42:24Z,whimboo,whimboo,2,1,1
5,mozdownload,73a1eb63e1e0d8f07d192cd99dbefceddb3761c5,"Use last, not 1st .txt file in latest- dirs. Fixes issue #14.",Aleksej,2012-07-25T18:16:33Z,aleksejrs,aleksejrs,2,1,1
6,mozdownload,7762df26ddf6f3b5a7e42de7711e51ee71965d49,Combine mozdownload.py and scraper.py into a single file. Fixes issue #2,Henrik Skupin,2012-05-23T18:36:53Z,whimboo,whimboo,312,151,161
7,mozdownload,13ece96a74dec8970c2786fb1f12f4c4150031a4,Moved PacificTimezone class to separate module.,Dave Hunt,2012-05-23T18:21:52Z,davehunt,davehunt,76,42,34
8,mozdownload,41dbc781675f305f70ec13199d07385c5ae49f08,Move out DirectoryParser to its own module. Fixes issue #4,Henrik Skupin,2012-05-23T17:41:55Z,whimboo,whimboo,91,50,41
9,mozdownload,bd8872d0267a045aa33d5edf087677b842aa9593,"Merge pull request #1 from davehunt/master

Porting download.py from mozmill-automation to new repository.",Henrik Skupin,2012-05-23T17:30:05Z,whimboo,whimboo,874,874,0
