,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mozfest-program,3ec21e4e6a7011944755c9fc624bcf9c49383331,adding to the tutorial,Michelle Thorne,2015-09-17T17:52:09Z,thornet,thornet,23,14,9
1,mozfest-program,6a0ece80d77c77bae6a7194448d676e491417f34,image updating,Michelle Thorne,2015-09-17T17:47:17Z,thornet,thornet,0,0,0
2,mozfest-program,01c638fc8bca05301f4136787a00e260b0ecf168,adding imgs,Michelle Thorne,2015-09-10T14:07:56Z,thornet,thornet,69,37,32
3,mozfest-program,e79c4daf1b8f3cbb9b2da42e5d4c10060dc88f04,updating tutorial on readme.md,Michelle Thorne,2015-09-10T13:56:05Z,thornet,thornet,39,23,16
4,mozfest-program,30bf0b041e683c54b077ae83521daad8566f2a19,adding images for github tutorial,Michelle Thorne,2015-09-10T13:48:06Z,thornet,thornet,0,0,0
5,mozfest-program,40f3b2828cdc13906d9aeedb72d4ccdb4e85b830,revising readme.md,Michelle Thorne,2015-09-10T13:45:45Z,thornet,thornet,81,81,0
6,mozfest-program,ba85245321b4a31353133ff23678b434a7c71bb5,updating Readme.md with github tutorial,Michelle Thorne,2015-09-10T13:45:09Z,thornet,thornet,11,0,11
7,mozfest-program,bdb82f7c7011fd265ed91e980316a71ff19c0aa5,Update README.md,Michelle Thorne,2015-08-26T15:46:33Z,thornet,thornet,2,1,1
8,mozfest-program,31f9b935c373e04617a71bf0c23fe75dba81f9ab,Update README.md,Michelle Thorne,2015-08-26T15:43:06Z,thornet,thornet,97,96,1
9,mozfest-program,a6b35e135e3ef091ace8d86c1083a13f9020018b,Update README.md,Michelle Thorne,2015-08-26T12:13:25Z,thornet,thornet,11,5,6
10,mozfest-program,95fc02d4e001783bfeef15c9af5c1c7c0c384360,Update README.md,Sarah Allen,2015-08-26T11:11:54Z,Saallen,Saallen,8,8,0
11,mozfest-program,44aee2c8dcc06a0ff5012576ef38773e2af3a7f7,Initial commit,Michelle Thorne,2015-08-26T10:24:40Z,thornet,thornet,2,2,0
