,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mozilla-cloud-services-logger,9d2e31a1d8f88926150a2be33379cd4695aab75c,Update README.md to reflect unmaintaned status of this repo,Les Orchard,2017-11-10T16:11:02Z,lmorchard,lmorchard,2,2,0
1,mozilla-cloud-services-logger,b245a5f6e7351e28b7300ad34c6d1d53e03d73d1,"Merge pull request #4 from leplatrem/2-mozlog-msg-key

Use 'msg' key instead of 'message' (fixes #2)",Les Orchard,2017-11-10T16:07:53Z,lmorchard,lmorchard,8,4,4
2,mozilla-cloud-services-logger,c6467a7acab70bcdc65a95cf5f9f1b0588aea9f3,"Use 'msg' key instead of 'message' (fixes #2)

As stated in https://wiki.mozilla.org/Firefox/Services/Logging",Mathieu Leplatre,2017-11-09T10:33:01Z,leplatrem,leplatrem,8,4,4
3,mozilla-cloud-services-logger,850728b51af3e68e10fa826c8afe967ef69631e1,"Merge pull request #1 from willkg/tox-and-python26

Update setup.py; add tox",Les Orchard,2017-04-24T16:24:03Z,lmorchard,lmorchard,20,19,1
4,mozilla-cloud-services-logger,49cd5eaf0a3dd148f636a9ba6dfcc5a55f5c39d2,Update setup.py; add tox,Will Kahn-Greene,2017-04-21T01:45:49Z,willkg,willkg,20,19,1
5,mozilla-cloud-services-logger,07d7284417644fa75f2b46b29ab604d2bace30b1,Accidentally a comma,Les Orchard,2016-05-26T21:17:17Z,lmorchard,lmorchard,2,1,1
6,mozilla-cloud-services-logger,be44a474840d5ae7e1f2bb6d10ef8ff9d618e102,"Add missing mozilla_cloud_services_logger.django package, bump to v1.0.1",Les Orchard,2016-05-26T21:16:39Z,lmorchard,lmorchard,6,3,3
7,mozilla-cloud-services-logger,24bfc62e96ac41ef4128ad941d880621a42f4eb0,Tweak README to reflect new formatter package name,Les Orchard,2016-05-26T20:57:01Z,lmorchard,lmorchard,2,1,1
8,mozilla-cloud-services-logger,650b536ae7fee93f566a038e21e14c9e305092bf,Update travis image to reflect move to mozilla org,Les Orchard,2016-05-26T20:48:19Z,lmorchard,lmorchard,2,1,1
9,mozilla-cloud-services-logger,4f68a2f05674c3711e61ab586f46c82b058654a4,Further 1.0 pokings,Les Orchard,2016-05-26T20:42:07Z,lmorchard,lmorchard,8,5,3
10,mozilla-cloud-services-logger,2478df35c138b24b3c161a4f07a62885983b4512,v1.0 release,Les Orchard,2016-05-26T20:35:37Z,lmorchard,lmorchard,8,4,4
11,mozilla-cloud-services-logger,2c3b7035cf493fbd795b363ecf0a4fef7718b3b5,Quick tweaks to fix tests on Python 2.7,Les Orchard,2016-05-26T20:27:29Z,lmorchard,lmorchard,7,3,4
12,mozilla-cloud-services-logger,29432e1305036750e88e1731a1d0166d3bf54004,Add Travis build status image,Les Orchard,2016-05-26T20:15:47Z,lmorchard,lmorchard,2,2,0
13,mozilla-cloud-services-logger,c208297ec17de474b30ee6eb1e2ec37b7e0cd6db,"Update README, add .travis.yml",Les Orchard,2016-05-26T20:14:35Z,lmorchard,lmorchard,46,44,2
14,mozilla-cloud-services-logger,dfaefbb0f63b4851e1eb4c846d36243cbea67c8c,Initial commit,Les Orchard,2016-05-26T20:04:04Z,lmorchard,lmorchard,746,746,0
