,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mozilla-club-guides,04865c8acc1c37bb1a4a0533d2f40ca54f3d96f0,adding redirects to the new repo,Andre Alves Garzia,2016-05-17T16:58:52Z,soapdog,soapdog,902,503,399
1,mozilla-club-guides,197df1f55174cf2debbd52def15d0ce0556ef05b,"Merge pull request #11 from flukeout/markdown-file-fix

Fixed missing markdown converter file",Andre Alves Garzia,2016-05-16T23:49:49Z,soapdog,soapdog,1661,1646,15
2,mozilla-club-guides,70ee6f2f9cb50e7f7489606b06a5b935df7ff2c3,Fixed missing markdown converter file,Luke Pacholski,2016-05-16T23:28:02Z,flukeout,flukeout,1661,1646,15
3,mozilla-club-guides,c1c0a3a9ff82dac32ba8c69b89bef470a66a4370,fixing wrong markdown lib,Andre Alves Garzia,2016-04-13T21:38:28Z,soapdog,soapdog,3,2,1
4,mozilla-club-guides,0281bc9ac09208f1611f17c3a23e1d79e06c87fc,Merge branch 'gh-pages' of https://github.com/mozilla/mozilla-club-guides into gh-pages,Andre Alves Garzia,2016-04-13T21:35:54Z,soapdog,soapdog,94,94,0
5,mozilla-club-guides,57faa371a1b99f3983def0d3ccc3d85c72044ee2,removing signature need,Andre Alves Garzia,2016-04-13T21:35:43Z,soapdog,soapdog,561,475,86
6,mozilla-club-guides,1726842eea093ae636b7bf5cb5e40e81c91067db,removing signature from content,Andre Alves Garzia,2016-04-13T21:33:13Z,soapdog,soapdog,148,64,84
7,mozilla-club-guides,275d5d3ec48e1bd558d308ba1e2bf39ca2e7b4a1,proof-of-concept L10N editor,Andre Alves Garzia,2016-03-29T15:01:56Z,soapdog,soapdog,8,8,0
8,mozilla-club-guides,deb7e8464c623fec069fa193646f721580342f79,adding piece about informal learning spaces,Andre Garzia,2016-03-22T15:03:51Z,Andre Garzia,Andre Garzia,11,10,1
9,mozilla-club-guides,ae3deb0d61cc0660de1ff6ff470970d18149e961,fixed index.html for local-partnerships,Andre Garzia,2016-03-22T14:39:20Z,Andre Garzia,Andre Garzia,2,1,1
10,mozilla-club-guides,163c6e4da2a700ab78a4d31d75ac9c3389edf966,starting new club guide about local partnerships. Needs a lot of review.,Andre Garzia,2016-03-22T14:38:21Z,Andre Garzia,Andre Garzia,85,85,0
11,mozilla-club-guides,90f33cb804766da0bda6575781a4ced5bb23b17f,fixing favicon and styles,Andre Alves Garzia,2016-03-11T00:51:50Z,soapdog,soapdog,428,387,41
12,mozilla-club-guides,0208817737780c0e7336e3b66a30e56a6fc2e1a6,fixing favicon and styles,Andre Alves Garzia,2016-03-10T17:51:59Z,soapdog,soapdog,49,15,34
