,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mozilla-presentation-templates,17d7d89bf7c4e2cf91f4a2c83efe9723808d34d5,"Merge pull request #17 from peterbe/editorconfig-file

.editorconfig file",Dan Callahan,2015-09-24T17:50:53Z,callahad,callahad,9,9,0
1,mozilla-presentation-templates,48375f2eee5e29958ad8e24676fb3906d2ec7922,"Merge pull request #20 from nth10sd/disallowLangMenuInOverviewMode

Prevent the language menu from showing up in overview mode. Thanks :M…",Potch,2015-09-24T17:43:42Z,potch,potch,4,4,0
2,mozilla-presentation-templates,821ee96e7ce1b7df3bf869620e0776d56d9ec11d,"Merge pull request #19 from nth10sd/makePointerEventsWrapMenuDiv

Make pointer events wrap around language menu div. Thanks :MattN for …",Potch,2015-09-24T17:43:30Z,potch,potch,4,4,0
3,mozilla-presentation-templates,ce19efee4e28ff9bb18113fc859c4098a9f69a04,"Merge pull request #18 from nth10sd/moveNotesHigher

Move the notes portion higher up above the language menu and the prog…",Potch,2015-09-24T17:42:51Z,potch,potch,2,1,1
4,mozilla-presentation-templates,64d7d76b4693ef6bb7683b43a82e1d83c4edca6e,Prevent the language menu from showing up in overview mode. Thanks :MattN for his suggestion.,Gary Kwong,2015-09-18T01:40:27Z,nth10sd,nth10sd,4,4,0
5,mozilla-presentation-templates,04b2d4fb161097aa629d2c54bc2ba4e493fc629c,Make pointer events wrap around language menu div. Thanks :MattN for his suggestion.,Gary Kwong,2015-09-18T01:37:31Z,nth10sd,nth10sd,4,4,0
6,mozilla-presentation-templates,b7279c311a44d15cd4726d74972302bc2db6a77c,Move the notes portion higher up above the language menu and the progress bar to avoid being overlaid.,Gary Kwong,2015-09-18T01:29:13Z,nth10sd,nth10sd,2,1,1
7,mozilla-presentation-templates,ee3a27fecf408a11731db768a722a1cbbc79f782,.editorconfig file,Peter Bengtsson,2015-09-17T23:33:48Z,peterbe,peterbe,9,9,0
8,mozilla-presentation-templates,96e3e7044107682fc4f48f1051c26ebff7faba70,"Merge pull request #16 from nth10sd/removeTabs

Convert tabs to spaces in html5/scripts/script.js and html5/themes/mo…",Peter Bengtsson,2015-09-17T23:29:39Z,peterbe,peterbe,1094,554,540
9,mozilla-presentation-templates,9526e53ba936badc25cf38684098dec43ac41edf,Convert tabs to spaces in html5/scripts/script.js and html5/themes/mozilla/styles/style.css and run them each through beautifiers.,Gary Kwong,2015-08-14T06:51:05Z,nth10sd,nth10sd,1094,554,540
10,mozilla-presentation-templates,514ee76eb8bdd5a1bd5cd3d1ebbfe924e5e51a9b,"Merge pull request #10 from julienw/fix-oneline-slides-style

Fix .oneline slides style.",Christian Heilmann,2015-08-13T16:52:57Z,codepo8,codepo8,1,0,1
11,mozilla-presentation-templates,adbd3a2da385566c324ed9f5ad9876d733ffa399,"Merge pull request #12 from nth10sd/master

Support multilingual slides",Christian Heilmann,2015-08-13T16:52:40Z,codepo8,codepo8,77,74,3
12,mozilla-presentation-templates,7ac31313ac9c47878557dadb4d28f2be59bb0aae,Use the proper language code for class names in the stylesheet.,Gary Kwong,2015-08-13T02:40:36Z,nth10sd,nth10sd,32,16,16
13,mozilla-presentation-templates,8201ba46da22c1c3035e46596c5d900b6f81b09a,Add support for multilingual slides. Massive thanks to :MattN for his help.,Gary Kwong,2015-08-13T02:31:31Z,nth10sd,nth10sd,75,73,2
14,mozilla-presentation-templates,a032ef34827b5ab2eb2c15d1fb1a1c719bb8283c,"Only look for the four characters of the word ""full"" in isListMode function.",Gary Kwong,2015-08-13T02:27:42Z,nth10sd,nth10sd,2,1,1
15,mozilla-presentation-templates,dc4499c06bdad2e392ee4ee303f4da586967ebd5,"Fix .oneline slides style.

When ""oneline"" slides are too long, the text overflows out of the slide. This
simple change prevents this.",Julien Wajsberg,2014-10-12T21:37:06Z,julienw,julienw,1,0,1
16,mozilla-presentation-templates,e5bb07357d2bc21107959634b805d9f15e578ce4,"Merge pull request #11 from julienw/fix-fonts-for-latin-ext

Fix fonts for latin ext",Christian Heilmann,2014-10-13T14:56:13Z,codepo8,codepo8,19868,18329,1539
17,mozilla-presentation-templates,212170ef7c0353a9efd03e864e156faa96150a45,"we don't need fonts.zip, all fonts are available in the themes/mozilla directory",Julien Wajsberg,2014-10-12T22:43:21Z,julienw,julienw,0,0,0
18,mozilla-presentation-templates,ad44cb3052271c6eb566a923688400c2b53b33f4,update fonts to include latin-ext and better font declaration,Julien Wajsberg,2014-10-12T22:40:37Z,julienw,julienw,19868,18329,1539
19,mozilla-presentation-templates,a82d20fc8e2b10ff06fa1434874357ac0ecee9de,changed Firebug message,Chris Heilmann,2013-12-17T11:28:13Z,codepo8,codepo8,4,2,2
20,mozilla-presentation-templates,36980b5cffad05fa2dfd219249238c498dd17cf8,slides,Chris Heilmann,2013-12-11T21:31:12Z,codepo8,codepo8,3333,3333,0
21,mozilla-presentation-templates,2d7a1dcf2ef1d814a4e4accb16677e131e34bdd7,deleted;,Chris Heilmann,2013-12-11T21:30:26Z,codepo8,codepo8,3333,0,3333
22,mozilla-presentation-templates,380f26c71e42a095544d720196b0eb298fd82a78,cleanup and adding devtools info,Chris Heilmann,2013-12-11T21:16:55Z,codepo8,codepo8,6236,6236,0
23,mozilla-presentation-templates,f0c03e9332f38bb4207fbc8dec8fa3fb40c6f22a,moo,Chris Heilmann,2013-12-11T21:11:11Z,codepo8,codepo8,7532,0,7532
24,mozilla-presentation-templates,6696b170106175ab075f7a7935b25e1ddf0d4e24,devtools details added,Chris Heilmann,2013-12-11T20:38:23Z,codepo8,codepo8,358,324,34
25,mozilla-presentation-templates,5ccc54f023271762ddbd679caf0ff60a240cbcde,lots new screenshots and screencasts,Chris Heilmann,2013-12-11T20:24:37Z,codepo8,codepo8,0,0,0
26,mozilla-presentation-templates,c4a1d861d3b058f73b64354259096540de9a92e1,Added autoplay feature to video slides,Chris Heilmann,2013-11-15T20:16:41Z,codepo8,codepo8,30,30,0
27,mozilla-presentation-templates,c34e09f336398bcb0788061434c32472ab04a612,auto encoding of html samples in code,Chris Heilmann,2013-10-11T23:39:34Z,codepo8,codepo8,30,30,0
