,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mozilla-schema-generator,6dc5f1d953f316259dbd8c9432f13330a712dbe1,Use correct credentials for git push,Frank Bertsch,2019-04-30T21:23:19Z,fbertsch,fbertsch,20,17,3
1,mozilla-schema-generator,e0c7062d97761415dfe338c6dabe6ac3dd1287b9,Update whitelist,Frank Bertsch,2019-04-30T20:20:44Z,fbertsch,fbertsch,4,3,1
2,mozilla-schema-generator,90046c51f405720eb9fc50b6d940d640bcdc8a4c,Use dev branch of MPS,Frank Bertsch,2019-04-30T16:07:46Z,fbertsch,fbertsch,2,1,1
3,mozilla-schema-generator,51317e6a01d400c72ca91657c05913ccbfbc1410,Remove Avro schemas from script,Frank Bertsch,2019-04-30T14:53:18Z,fbertsch,fbertsch,5,1,4
4,mozilla-schema-generator,0adf84b08f20fd35be12b88a91d82ba7c84638a1,Use published transpiler,Frank Bertsch,2019-04-30T14:47:07Z,fbertsch,fbertsch,2,1,1
5,mozilla-schema-generator,4d9baf8a43ab6cce84b41fc5c627de3aa653a871,"Update git user and commit handling

- Use ssh key for pushing to github
- Cherry-pick commit for updated schemas
- Remove GCS handling",Frank Bertsch,2019-04-30T14:41:31Z,fbertsch,fbertsch,45,30,15
6,mozilla-schema-generator,c49a65c060a195ef913b0197dc8d949154e291e9,Add namespace/doctype whitelist,Frank Bertsch,2019-04-30T14:41:06Z,fbertsch,fbertsch,20,19,1
7,mozilla-schema-generator,639b25fb6302f4527d1b425e9e007e7f799e3cb0,Update metadata-merge with correct output,Frank Bertsch,2019-04-30T14:40:00Z,fbertsch,fbertsch,6,3,3
8,mozilla-schema-generator,e7f9d1a13ad538e46a463aced5a8ab8bcd7b40d2,Add script to generate and upload schemas,Frank Bertsch,2019-04-25T20:53:45Z,fbertsch,fbertsch,151,148,3
9,mozilla-schema-generator,086758a1aa19526bcbab34c301d334c6a7027517,"Merge pull request #14 from mozilla/app_id

Update version",Frank Bertsch,2019-04-24T18:53:29Z,fbertsch,fbertsch,2,1,1
10,mozilla-schema-generator,3f3ddc85360ec2d6eb10b5dfb09498bc048ca08d,Update version,Frank Bertsch,2019-04-24T18:51:37Z,fbertsch,fbertsch,2,1,1
11,mozilla-schema-generator,2ca490847d495d4a9addee85dd648e309b25e0d2,"Merge pull request #13 from mozilla/app_id

Write pings to directories with proper name",Frank Bertsch,2019-04-24T18:51:11Z,fbertsch,fbertsch,34,22,12
12,mozilla-schema-generator,7b5d0c6307061b8229f9e51ca5aeeb4a5769b38d,Update readme with out-dir info,Frank Bertsch,2019-04-24T18:43:12Z,fbertsch,fbertsch,2,2,0
13,mozilla-schema-generator,f62380e26d6703a579ba5f2b292ccf40693347aa,"Move pings to subdirectories

Also increments version by 1",Frank Bertsch,2019-04-24T16:42:52Z,fbertsch,fbertsch,9,5,4
14,mozilla-schema-generator,503a6e528a51890e438a427e2839d41560a34988,Write pings to directories with proper name,Frank Bertsch,2019-04-24T16:07:28Z,fbertsch,fbertsch,29,18,11
15,mozilla-schema-generator,e78bfa4a9d5569f90fd2f040ac2057f398d9b58d,"Merge pull request #11 from mozilla/glean

Pypy release and Docker container",Frank Bertsch,2019-04-22T21:01:49Z,fbertsch,fbertsch,223,157,66
16,mozilla-schema-generator,105cfec8ea6160cd9cf76c6b612e78da346569e7,Add CI deploy of container,Frank Bertsch,2019-04-19T21:34:59Z,fbertsch,fbertsch,44,42,2
17,mozilla-schema-generator,fce5b3a992091bbdeab8bc3a060ef7a92f63dfb9,Fix lint issue,Frank Bertsch,2019-04-19T21:30:08Z,fbertsch,fbertsch,1,1,0
18,mozilla-schema-generator,03b013e2ed7a9261dabecfb24a7b7a3983e54fd3,"Merge pull request #10 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Frank Bertsch,2019-04-19T21:28:23Z,fbertsch,fbertsch,15,15,0
19,mozilla-schema-generator,03b826c5b7b4d19fa3fc4a033401f6f8796d1d05,Remove labeled in config,Frank Bertsch,2019-04-19T17:54:27Z,fbertsch,fbertsch,52,13,39
20,mozilla-schema-generator,5dd4bb80516fb428da9714ee60dc7673fcae4d73,Rename docker clean command,Frank Bertsch,2019-04-19T17:54:07Z,fbertsch,fbertsch,6,3,3
21,mozilla-schema-generator,af3481f4c8c7c210bc57a306463bfb86b28d52c0,Add Docker container,Frank Bertsch,2019-04-18T20:09:35Z,fbertsch,fbertsch,88,80,8
22,mozilla-schema-generator,812dc3d8352fde5edda86c8c60a632c3f4fb7481,"Setup deploy to work correctly

- Move config files to subdirectory
- Use twine for deploy",Frank Bertsch,2019-04-17T18:12:52Z,fbertsch,fbertsch,36,20,16
23,mozilla-schema-generator,569f5220dfa7de9397aa99fbb0838dabcacf559f,"Add Mozilla Code of Conduct file

Fixes #9.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T07:12:45Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
24,mozilla-schema-generator,dc971c38e3d0e09fd779009ccda8d4ee79e62f20,"Merge pull request #8 from fbertsch/glean

Glean",Frank Bertsch,2019-03-29T17:25:40Z,fbertsch,fbertsch,736,652,84
25,mozilla-schema-generator,2e97deb2d50452600214bd25c8f5181fb8d3d294,Update README with glean info,Frank Bertsch,2019-03-28T14:48:57Z,fbertsch,fbertsch,15,14,1
26,mozilla-schema-generator,cb385d07dd84f024d4796eab8a5355b77bc86594,Use updated glean schema,Frank Bertsch,2019-03-27T15:21:51Z,fbertsch,fbertsch,30,0,30
27,mozilla-schema-generator,9d27dcc18a31c9c2061282893aeefad4771cedcf,"Add new repositories and pings

Glean now generates schemas for every repository in `repositories.yaml`,
as well as for every ping listed for in that repositories `metrics.yaml`
file.",Frank Bertsch,2019-03-27T14:43:31Z,fbertsch,fbertsch,174,147,27
28,mozilla-schema-generator,c27e0c7174a08dc1fd81c1873fddb272876ac5a9,Update Makefile and ci,Frank Bertsch,2019-03-18T17:07:37Z,fbertsch,fbertsch,7,5,2
29,mozilla-schema-generator,9db79422aca30c85a48c2e0457ae1eb6d34927e6,Include flake8 in test_requirements,Frank Bertsch,2019-03-18T17:03:33Z,fbertsch,fbertsch,3,2,1
30,mozilla-schema-generator,5098caed64f62adb4af05037c9280623e0f142c7,Use a Monostep,Frank Bertsch,2019-03-18T17:01:07Z,fbertsch,fbertsch,18,5,13
31,mozilla-schema-generator,b7dcd4c26a284d965f7315b060c0dd56e5d2b050,Add venv to ci,Frank Bertsch,2019-03-18T16:59:03Z,fbertsch,fbertsch,5,5,0
32,mozilla-schema-generator,e7bca56f45594560959cc82a4b800081510b7a30,Change circleci config extension,Frank Bertsch,2019-03-18T16:54:33Z,fbertsch,fbertsch,0,0,0
33,mozilla-schema-generator,6ad61c46b8eb3eff52e3ce6ffea24866b4854f40,"WIP: Glean full-ping creation

This isn't finalized yet, but does include pulling the existing
schema from the additionalProperties and applying it to the
metrics.

Next steps is to create a different schema for every ping that
is found in the metrics file.",Frank Bertsch,2019-03-18T16:48:29Z,fbertsch,fbertsch,277,263,14
34,mozilla-schema-generator,1c4e4278eb92427060a7fef14b2a7b06b6f9bb0c,Add Glean generation,Frank Bertsch,2019-03-14T20:36:20Z,fbertsch,fbertsch,179,179,0
35,mozilla-schema-generator,9b0acda12abebc2f09dd1ad19bd00149ffb25173,"Refactoring

* Remove circular dependencies
* Move more functionality to GenericPing",Frank Bertsch,2019-03-14T20:34:55Z,fbertsch,fbertsch,160,98,62
36,mozilla-schema-generator,8ca65129b47d7e90ad556d3d4b31ed41cc21577d,"Merge pull request #4 from fbertsch/fbertsch-patch-1

Update README to use `generated`",Frank Bertsch,2019-03-14T16:49:47Z,fbertsch,fbertsch,12,6,6
37,mozilla-schema-generator,18be32337b6dac6924ccc88f41902be330270297,Update README to use `generated`,Frank Bertsch,2019-03-14T16:49:24Z,fbertsch,fbertsch,12,6,6
38,mozilla-schema-generator,c23304473bbf98ec46896e4bcc491c1f3ad20536,"Merge pull request #3 from fbertsch/mpl

Switch to MPL",Frank Bertsch,2019-03-14T16:19:16Z,fbertsch,fbertsch,494,474,20
39,mozilla-schema-generator,befd0e4276a0a734949ebcfbe8e9612bb9a63026,Switch to MPL,Frank Bertsch,2019-03-14T16:18:21Z,fbertsch,fbertsch,494,474,20
40,mozilla-schema-generator,f397b6fa7f9b19bb0a48a4d31be2db8646de86e1,"Merge pull request #2 from fbertsch/sec_alert

Fix sec alert",Frank Bertsch,2019-03-14T16:12:07Z,fbertsch,fbertsch,2,1,1
41,mozilla-schema-generator,7a150e2ff741a926b44e04a4602db1f05c94d43c,Fix sec alert,Frank Bertsch,2019-03-14T15:48:34Z,fbertsch,fbertsch,2,1,1
42,mozilla-schema-generator,e1812909ffea205a506cd362064902c5a6bdb050,"Merge pull request #1 from fbertsch/main_ping

Main ping",Frank Bertsch,2019-03-14T15:46:49Z,fbertsch,fbertsch,2690,1623,1067
43,mozilla-schema-generator,4a62e8ae3a40f5b8a3f830e17f113903bd9e35bf,s/mozilla-schema-creator/mozilla-schema-generator/g,Frank Bertsch,2019-03-14T15:42:08Z,fbertsch,fbertsch,77,37,40
44,mozilla-schema-generator,2dd2c2e81d012a6df2e4a8e401b5bab103241fcc,Add circleci integration,Frank Bertsch,2019-03-14T15:29:23Z,fbertsch,fbertsch,94,94,0
45,mozilla-schema-generator,2311d0506985be81d4604dc648b7cb3f1fa00b01,"Update Makefile and README

Fix a few bugs when running using CLI",Frank Bertsch,2019-03-14T15:27:24Z,fbertsch,fbertsch,45,28,17
46,mozilla-schema-generator,0009bb412cf8253053239bbcd12cdee844e18edd,Remove docs,Frank Bertsch,2019-03-13T21:02:40Z,fbertsch,fbertsch,743,1,742
47,mozilla-schema-generator,a533f811443132f7649753797c0699172ee74407,"Flake8 fixes, README update, remove tox",Frank Bertsch,2019-03-13T20:59:40Z,fbertsch,fbertsch,471,121,350
48,mozilla-schema-generator,eef61ee8f3e57eec1597ac33ec6d4c0054bf346e,Update README and setup,Frank Bertsch,2019-03-13T19:58:28Z,fbertsch,fbertsch,65,47,18
49,mozilla-schema-generator,b55b336e954eebab92a92efa51b7f15bda9cb32b,Initial code+tests for main ping generation,Frank Bertsch,2019-03-13T19:58:14Z,fbertsch,fbertsch,1433,1414,19
50,mozilla-schema-generator,d56fa8a9ead1af767359583a4358da418592134e,Change readme to md,Frank Bertsch,2019-03-04T16:39:35Z,fbertsch,fbertsch,4,1,3
51,mozilla-schema-generator,70c711477a2d04bfc50aa3b5d1f1a10032d1d4e5,Initial commit - updated README,Frank Bertsch,2019-03-04T16:37:04Z,fbertsch,fbertsch,1328,1328,0
52,mozilla-schema-generator,4186f56ee56c0abaae736e0163769a124b38818e,Add tests for aliasing,Frank Bertsch,2019-08-15T20:48:28Z,fbertsch,fbertsch,144,144,0
53,mozilla-schema-generator,9211a9c27680e99a8c10fab333a7ccb6d5987e53,Fix naming,Frank Bertsch,2019-08-15T20:46:18Z,fbertsch,fbertsch,31,16,15
54,mozilla-schema-generator,a56a9f77e68b76a0d2816db4da5ddfdace49a3e6,"Add support for schema aliasing

This adds a new file which lists the schemas we want to alias.
This does not handle versions; the aliased namespace/doctype
are assumed to have the same versions as the source schemas.

This also includes a validation schema for the aliasing file,
and tests that the file is valid.",Frank Bertsch,2019-08-15T16:30:19Z,fbertsch,fbertsch,97,96,1
55,mozilla-schema-generator,0e9f3c73709d7ad851d70d0b316ef49492733128,Add first-shutdown to the disallowlist,Anthony Miyaguchi,2019-08-14T18:29:25Z,acmiyaguchi,acmiyaguchi,1,1,0
56,mozilla-schema-generator,0c766c15d68aa1f62cb5c1aaba2b1e72453dc344,Add metadata/sources to disallowlist,Frank Bertsch,2019-08-13T20:36:29Z,fbertsch,fbertsch,1,1,0
57,mozilla-schema-generator,d02d01812004a69d003e3a5515549963596c39d9,Move to disallowlist for schemas,Frank Bertsch,2019-08-13T20:26:15Z,fbertsch,fbertsch,31,8,23
58,mozilla-schema-generator,06aefb6ba0e084edd8df6e733890e0cbe6c100bc,Generate BQ schemas for fenix-nightly,Wesley Dawson,2019-08-13T02:07:34Z,whd,whd,1,1,0
59,mozilla-schema-generator,b8cb0f0dad6a17ba310c09788ccd38cb71711cef,Include errors in glean test,Frank Bertsch,2019-08-12T20:23:01Z,fbertsch,fbertsch,3,3,0
60,mozilla-schema-generator,98f5f3efd85c1330dcc1607f0615395054640b5b,Add test_probes file,Frank Bertsch,2019-08-12T16:34:16Z,fbertsch,fbertsch,163,163,0
61,mozilla-schema-generator,b0766fba425a24478e75d179832456e621c26c65,"Enable all_pings for Glean

- Allows `all_pings` for a Glean probe definition, where
  the metric is added to every ping for that app
- Correctly sorts the Glean probe definitions by date
- Move sorting of Main probes to the MainProbe class
- Update tests to fix new schema for Main probe defs
  (it now matches the probe-info-service exactly)",Frank Bertsch,2019-08-12T15:50:51Z,fbertsch,fbertsch,236,145,91
62,mozilla-schema-generator,4dc43bd759ceb809ad1d0f706065903fabaf2769,"Merge pull request #51 from mozilla/transpile_raw_schemas

Transpile payload bytes pubsub schemas",whd,2019-08-07T19:50:46Z,whd,whd,12,8,4
63,mozilla-schema-generator,5a2a3e8e05c10fc0e797d78c3dc69c286b74e562,Transpile payload bytes pubsub schemas,Wesley Dawson,2019-08-06T21:06:59Z,whd,whd,12,8,4
64,mozilla-schema-generator,7e3bcad775fe166e9557976b1d409adb76accd8c,"Merge pull request #50 from mozilla/acmiyaguchi-patch-2

Bump jsonschema-transpiler dependency to 1.3.0",Daniel Thorn,2019-08-05T22:15:40Z,relud,relud,2,1,1
65,mozilla-schema-generator,9ef1e695cd60a613204205c1f4e5213d44e45860,Bump jsonschema-transpiler dependency to 1.3.0,Anthony Miyaguchi,2019-08-05T21:49:35Z,acmiyaguchi,acmiyaguchi,2,1,1
66,mozilla-schema-generator,568fc59d0e8877021758377a87492154d6055e69,"Merge pull request #49 from mozilla/sha1rollout

Add disableSHA1rollout to specially snake-cased pings",whd,2019-08-01T20:25:38Z,whd,whd,3,2,1
67,mozilla-schema-generator,94ce3e7bae81e02e40a3212b3814345478e2e10d,Add disableSHA1rollout to specially snake-cased pings,Wesley Dawson,2019-08-01T20:15:13Z,whd,whd,3,2,1
