,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,mozillians-lib,ab760affb0eab61914163b4d378f3ac1321380f6,adding django-session-csrf,Dave Dash,2011-08-26T19:20:10Z,davedash,davedash,5,5,0
1,mozillians-lib,849708b8c4598b8c9fbb02f561476e971b55ca4d,adding funfactory,Dave Dash,2011-08-26T04:13:05Z,davedash,davedash,5,5,0
2,mozillians-lib,3cbae804bd1e7a32ebe8db079f599b73b858986b,updated tower,Dave Dash,2011-08-22T21:12:08Z,davedash,davedash,2,1,1
3,mozillians-lib,a72305bbe9e2e0281cbda57585da8acb9877576b,Merge commit 'f6c4ee0',Dave Dash,2011-08-08T23:22:57Z,davedash,davedash,2065,2065,0
4,mozillians-lib,f6c4ee06468e74fff351a9eae37b96531226f8bb,pyquery,Dave Dash,2011-08-08T23:22:32Z,davedash,davedash,2065,2065,0
5,mozillians-lib,25bf977e80bdc9f95fdb44de343c721b53457213,updating src/tower to origin/master,Dave Dash,2011-07-28T16:54:37Z,davedash,davedash,2,1,1
6,mozillians-lib,ce3e6ae7307c0696438bc2cd35094f6cc71c1cdf,Adding django_auth_ldap,Austin King,2011-07-22T20:38:07Z,ozten,ozten,2387,2387,0
7,mozillians-lib,2759de8623e77e4a2414f09c71de999438cb522c,updating src/jingo to origin/master,Dave Dash,2011-07-22T19:59:13Z,davedash,davedash,2,1,1
8,mozillians-lib,42beef46d2b924df191b1c263b3f8258a4b4bee9,updating src/django to a0dec51,Dave Dash,2011-07-22T19:58:44Z,davedash,davedash,2,1,1
9,mozillians-lib,1356985a979dcba167df9af38008d592402336e2,README link fix.,Fred Wenzel,2011-06-13T20:37:06Z,Fred Wenzel,Fred Wenzel,2,1,1
10,mozillians-lib,892fa2591ce6759eab994b3d63951e1cf1e58910,adding html5lib,Fred Wenzel,2011-06-13T20:20:44Z,Fred Wenzel,Fred Wenzel,11588,11588,0
11,mozillians-lib,ee8a6cc68060d27deba294b77278c76b1b4a5745,adding bleach,Fred Wenzel,2011-06-13T20:17:55Z,Fred Wenzel,Fred Wenzel,5,5,0
12,mozillians-lib,742a848b6ad63332c6a2822cdd94d1ba71a933c5,commonware update.,Fred Wenzel,2011-04-28T19:58:25Z,Fred Wenzel,Fred Wenzel,2,1,1
13,mozillians-lib,b465bd54d5334549f5b954f50466214461f8bab1,Updated tower for Django 1.3 support.,Fred Wenzel,2011-04-28T19:56:40Z,Fred Wenzel,Fred Wenzel,2,1,1
14,mozillians-lib,3959cf8b65900a245183f1dac21aaa3f181235d8,Updated Django to 1.3,Fred Wenzel,2011-04-28T19:53:25Z,Fred Wenzel,Fred Wenzel,2,1,1
15,mozillians-lib,f4ebd6a68f516c29ac34d11aa471d5e58e7ed3fc,Updated django-sha2 to contain bcrypt/hmac goodness.,Fred Wenzel,2011-03-29T19:41:50Z,Fred Wenzel,Fred Wenzel,2,1,1
16,mozillians-lib,bf70f6462792796ebdb1b75b7cbf5f2714df5f22,Added nuggets (for safe django forms),Fred Wenzel,2011-02-18T23:13:11Z,Fred Wenzel,Fred Wenzel,5,5,0
17,mozillians-lib,3b3181e4797eb9dc0381dc05e50921f2cd5c528f,Updated tower to enable auto-safe for gettext calls.,Fred Wenzel,2011-02-18T18:13:35Z,Fred Wenzel,Fred Wenzel,2,1,1
